Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Нурлатская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26898	1639	2210	1588	2188	1607	2191	2486	1862	2739	2478	1511	2849	51	637	525	337									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27085	1640	2230	1590	2190	1590	2225	2520	1860	2770	2505	1530	2835	100	645	520	335									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25624	1561	2120	1492	2096	1555	2102	2387	1732	2629	2265	1472	2756	51	607	498	301									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	483	29	19	50	26	2	23	24	46	27	138	36	20	0	10	7	26									
6	Число погашенных избирательных бюллетеней	978	50	91	48	68	33	100	109	82	114	102	22	59	49	28	15	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	483	29	19	50	26	2	23	24	46	27	138	36	20	0	10	7	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25614	1561	2120	1492	2096	1555	2102	2387	1732	2629	2265	1472	2756	51	597	498	301									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	26097	1590	2139	1542	2122	1557	2125	2411	1778	2656	2403	1508	2776	51	607	505	327									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	40	60	40	60	40	55	65	45	90	70	35	90	0	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	352	16	23	15	24	22	40	39	21	32	42	15	47	0	8	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	2	4	18	3	0	0	0	7	3	9	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	398	24	37	25	36	18	15	26	24	58	28	20	43	0	12	15	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	0	0	0	2	0	0	1	0	2	0	1	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	12	0	4	1	0	1	2	0	1	0	2	0	0	0	0	1	0									
		0.05%	0.00%	0.19%	0.06%	0.00%	0.06%	0.09%	0.00%	0.06%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	2	14	3	11	5	8	7	3	6	11	7	6	0	1	1	1									
		0.33%	0.13%	0.65%	0.19%	0.52%	0.32%	0.38%	0.29%	0.17%	0.23%	0.46%	0.46%	0.22%	0.00%	0.16%	0.20%	0.31%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	22	0	2	2	2	2	2	2	3	3	2	0	0	0	1	1	0									
		0.08%	0.00%	0.09%	0.13%	0.09%	0.13%	0.09%	0.08%	0.17%	0.11%	0.08%	0.00%	0.00%	0.00%	0.16%	0.20%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25323	1559	2079	1500	2042	1518	2078	2321	1727	2558	2333	1456	2695	50	596	492	319									
		97.03%	98.05%	97.19%	97.28%	96.23%	97.50%	97.79%	96.27%	97.13%	96.31%	97.09%	96.55%	97.08%	98.04%	98.19%	97.43%	97.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0									
		0.03%	0.00%	0.09%	0.00%	0.09%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	0	0	0	0	0	5	0	0	0	2	3	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.13%	0.11%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	129	3	7	6	17	5	6	14	12	13	11	10	19	0	2	3	1									
		0.49%	0.19%	0.33%	0.39%	0.80%	0.32%	0.28%	0.58%	0.67%	0.49%	0.46%	0.66%	0.68%	0.00%	0.33%	0.59%	0.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	24	2	0	0	0	1	2	0	2	5	5	2	3	0	0	1	1									
		0.09%	0.13%	0.00%	0.00%	0.00%	0.06%	0.09%	0.00%	0.11%	0.19%	0.21%	0.13%	0.11%	0.00%	0.00%	0.20%	0.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	0	2	1	2	0	0	2	0	5	2	0	0	0	0	0	0									
		0.05%	0.00%	0.09%	0.06%	0.09%	0.00%	0.00%	0.08%	0.00%	0.19%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.08%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	47	2	4	2	4	3	2	5	3	5	6	6	3	0	0	1	1									
		0.18%	0.13%	0.19%	0.13%	0.19%	0.19%	0.09%	0.21%	0.17%	0.19%	0.25%	0.40%	0.11%	0.00%	0.00%	0.20%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	315	19	21	25	32	16	19	36	20	45	19	20	31	1	5	4	2									
		1.21%	1.19%	0.98%	1.62%	1.51%	1.03%	0.89%	1.49%	1.12%	1.69%	0.79%	1.33%	1.12%	1.96%	0.82%	0.79%	0.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.09%	0.00%	0.09%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	94	3	4	2	8	5	4	17	7	13	10	0	16	0	2	1	2									
		0.36%	0.19%	0.19%	0.13%	0.38%	0.32%	0.19%	0.71%	0.39%	0.49%	0.42%	0.00%	0.58%	0.00%	0.33%	0.20%	0.61%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
