Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Уваровская городская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611					
1	"Число избирателей, внесенных в списки"	25121	1734	1902	1822	2025	1159	1486	943	1943	2379	2343	2423	1760	1598	1407	150	47					
2	"Число бюллетеней, полученных участковыми комиссиями"	25390	1800	1960	1850	2040	1160	1500	940	1950	2490	2410	2400	1770	1570	1390	110	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10446	559	863	817	944	615	512	338	653	1054	938	1186	673	688	468	93	45					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	863	18	62	31	24	43	57	27	88	46	43	46	83	74	221	0	0					
6	Число погашенных бюллетеней	14081	1223	1035	1002	1072	502	931	575	1209	1390	1429	1168	1014	808	701	17	5					
7	Число бюллетеней в переносных ящиках для голосования	863	18	62	31	24	43	57	27	88	46	43	46	83	74	221	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10443	559	863	815	944	615	511	338	653	1054	938	1186	673	688	468	93	45					
9	Число недействительных бюллетеней	180	7	15	15	26	15	11	3	16	8	14	14	16	14	5	1	0					
10	Число действительных бюллетеней	11126	570	910	831	942	643	557	362	725	1092	967	1218	740	748	684	92	45					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	15	20	20	20	15	15	15	15	20	20	20	20	20	15	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	84	4	12	7	18	4	9	2	4	6	9	4	1	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	0	3	2	4	2	0	0	2	3	0	1	1	1	0	2	16					
14	Число погашенных открепительных удостоверений	166	11	8	13	2	11	6	13	11	14	11	16	19	19	12	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	136	10	10	13	18	5	6	5	10	12	9	13	5	12	5	1	2					
		1.20%	1.73%	1.08%	1.53%	1.85%	0.75%	1.05%	1.36%	1.34%	1.09%	0.91%	1.05%	0.66%	1.57%	0.72%	1.07%	4.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	102	3	5	5	5	8	3	4	8	13	11	12	9	9	6	1	0					
		0.90%	0.51%	0.54%	0.59%	0.51%	1.21%	0.52%	1.09%	1.07%	1.18%	1.12%	0.97%	1.19%	1.18%	0.87%	1.07%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1128	79	93	134	90	106	26	15	71	116	82	152	56	41	46	12	9					
		9.97%	13.69%	10.05%	15.83%	9.29%	16.10%	4.57%	4.10%	9.58%	10.54%	8.35%	12.33%	7.40%	5.38%	6.67%	12.90%	20.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	170	6	14	10	15	4	8	6	8	17	24	29	9	9	7	2	2					
		1.50%	1.03%	1.51%	1.18%	1.54%	0.60%	1.40%	1.64%	1.07%	1.54%	2.44%	2.35%	1.19%	1.18%	1.01%	2.15%	4.44%					
22	"5. ""За Русь Святую"""	34	4	2	6	0	1	0	0	3	3	4	3	3	0	3	1	1					
		0.30%	0.69%	0.21%	0.70%	0.0%	0.15%	0.0%	0.0%	0.40%	0.27%	0.40%	0.24%	0.39%	0.0%	0.43%	1.07%	2.22%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	0	1	3	4	0	0	0	2	1	2	1	1	2	0	0	0					
		0.15%	0.0%	0.10%	0.35%	0.41%	0.0%	0.0%	0.0%	0.26%	0.09%	0.20%	0.08%	0.13%	0.26%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	2	5	7	8	4	2	0	4	8	8	4	3	3	6	0	0					
		0.56%	0.34%	0.54%	0.82%	0.82%	0.60%	0.35%	0.0%	0.53%	0.72%	0.81%	0.32%	0.39%	0.39%	0.87%	0.0%	0.0%					
