Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Белореченская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №698	УИК №699	УИК №8348									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	77485	1030	2027	1567	1939	1515	1706	901	1971	1596	2329	1676	2323	2221	1986	2071	2183	1900	2862	984	2059	2165	2408	684	910	700	1843	474	1029	633	1315	1199	439	499	325	485	937	897	570	149	217	110	1180	1334	1050	474	256	764	200	357	100	239	960	1045	959	154	100	503	660	254	119	877	996	362	485	408	505	413	577	1139	183	185	1779	1309	688	157	226	1654									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	98098	1050	2000	1580	2000	1550	1650	850	1900	1580	2200	2000	2380	2200	2000	2000	2100	2250	2825	1100	2200	2200	2370	650	955	700	1900	450	1250	650	1400	1150	500	500	350	500	850	850	550	155	205	115	1250	1300	1050	550	275	750	200	400	109	255	1200	1200	1200	150	100	520	670	260	124	880	1190	365	495	410	490	420	580	1150	190	180	1800	1270	690	210	350	20200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40451	340	605	560	555	542	571	343	659	1210	746	1283	1804	767	475	585	591	1106	792	346	657	573	703	129	463	265	1105	245	762	421	1103	758	244	263	194	364	461	457	298	70	182	62	866	768	782	356	188	564	154	229	81	68	740	828	663	92	56	386	481	191	105	698	838	299	288	292	286	216	348	991	164	145	1572	746	474	157	159	1521									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6338	172	61	53	69	47	28	17	26	65	93	166	240	69	46	60	49	93	175	43	135	104	147	67	50	99	273	34	113	100	212	237	153	86	72	68	91	104	108	67	19	24	122	82	97	118	18	65	10	66	5	130	68	62	104	35	44	77	96	38	11	72	90	38	96	61	75	42	93	57	19	26	170	185	53	0	67	11									
6	Число погашенных избирательных бюллетеней	51187	538	1334	967	1376	961	1051	490	1215	305	1361	551	336	1364	1479	1355	1460	1051	1858	711	1408	1523	1520	454	442	336	522	171	375	129	85	155	103	151	84	68	298	289	144	18	4	29	262	450	171	76	69	121	36	105	23	57	392	310	433	23	0	57	93	31	8	110	262	28	111	57	129	162	139	102	7	9	58	339	163	53	124	18546									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6460	172	61	53	69	47	28	17	26	65	93	166	240	69	46	60	49	93	175	43	135	104	147	67	50	99	273	34	113	100	212	237	153	86	72	68	91	104	108	67	19	24	122	82	97	118	18	65	10	66	5	130	68	62	104	35	44	77	96	38	11	72	90	38	96	61	75	42	93	57	19	26	170	185	53	0	67	133									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40451	340	605	560	555	542	571	343	659	1210	746	1283	1804	767	475	585	591	1106	792	346	657	573	703	129	463	265	1105	245	762	421	1103	758	244	263	194	364	461	457	298	70	182	62	866	768	782	356	188	564	154	229	81	68	740	828	663	92	56	386	481	191	105	698	838	299	288	292	286	216	348	991	164	145	1572	746	474	157	159	1521									
9	Число недействительных избирательных бюллетеней	550	6	2	16	12	8	14	7	21	11	22	5	11	17	9	3	11	18	17	14	9	9	19	6	0	6	5	8	11	6	10	0	7	0	4	0	3	4	5	8	3	1	12	17	32	5	0	10	0	6	1	0	7	7	5	0	1	10	8	3	1	0	10	4	10	1	2	9	1	10	0	0	5	3	0	6	3	13									
10	Число действительных избирательных бюллетеней	46361	506	664	597	612	581	585	353	664	1264	817	1444	2033	819	512	642	629	1181	950	375	783	668	831	190	513	358	1373	271	864	515	1305	995	390	349	262	432	549	557	401	129	198	85	976	833	847	469	206	619	164	289	85	198	801	883	762	127	99	453	569	226	115	770	918	333	374	352	359	249	440	1038	183	171	1737	928	527	151	223	1641									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	850	10	15	15	15	25	15	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	10	10	10	10	10	10	15	5	5	10	5	15	10	10	10	5	5	10	10	10	5	5	10	10	10	5	10	15	15	15	5	0	15	20	15	5	10	15	5	5	5	5	5	5	10	5	5	15	15	10	0	0	15									
