Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Маслянинская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20668	477	135	461	301	443	60	482	158	526	457	137	75	549	325	725	175	173	183	388	189	752	617	434	85	408	187	122	403	1285	1145	1463	598	1555	1412	1129	682	1203	769									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21000	480	140	480	310	450	60	500	170	550	500	150	80	540	330	740	180	170	190	400	190	760	630	440	80	420	190	120	400	1300	1160	1460	600	1570	1400	1170	680	1230	780									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9545	190	56	212	109	234	31	239	70	316	227	75	28	316	162	296	84	83	78	188	75	338	307	255	53	246	106	54	205	630	539	565	263	686	602	542	273	490	322									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	555	6	12	13	6	28	3	10	11	30	22	13	3	15	6	24	3	3	16	14	11	23	11	18	1	11	12	6	5	17	25	19	6	14	26	26	3	46	37									
6	Число погашенных избирательных бюллетеней	10900	284	72	255	195	188	26	251	89	204	251	62	49	209	162	420	93	84	96	198	104	399	312	167	26	163	72	60	190	653	596	876	331	870	772	602	404	694	421									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	555	6	12	13	6	28	3	10	11	30	22	13	3	15	6	24	3	3	16	14	11	23	11	18	1	11	12	6	5	17	25	19	6	14	26	26	3	46	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9545	190	56	212	109	234	31	239	70	316	227	75	28	316	162	296	84	83	78	188	75	338	307	255	53	246	106	54	205	630	539	565	263	686	602	542	273	490	322									
9	Число недействительных избирательных бюллетеней	216	4	0	6	1	5	0	4	3	8	6	0	0	6	11	9	1	2	2	6	5	8	3	10	1	5	4	4	7	15	8	12	4	15	9	10	7	7	8									
10	Число действительных избирательных бюллетеней	9884	192	68	219	114	257	34	245	78	338	243	88	31	325	157	311	86	84	92	196	81	353	315	263	53	252	114	56	203	632	556	572	265	685	619	558	269	529	351									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	443	9	3	9	8	9	1	12	3	10	37	6	4	10	6	14	4	3	4	8	4	14	12	8	2	8	7	2	8	25	22	28	12	30	26	24	13	23	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	265	1	1	2	8	1	0	11	0	10	37	6	4	2	1	4	4	0	0	8	4	2	9	1	0	4	7	1	4	22	12	10	8	23	7	24	9	13	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	2	2	4	3	5	1	2	2	5	3	4	5	17	2	4	4	3	1	2	3	3	7	4	2	4	4	2	3	14	15	7	4	7	25	8	1	9	8									
14	Число погашенных неиспользованных открепительных удостоверений	178	8	2	7	0	8	1	1	3	0	0	0	0	8	5	10	0	3	4	0	0	12	3	7	2	4	0	1	4	3	10	18	4	7	19	0	4	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	1	10	2	3	2	2	2	3	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	8	2	1	2	1	0	3	3	2	3	0	0	6	0	4	1	0	2	2	0	2	7	7	1	0	0	1	2	9	9	17	4	12	13	10	12	4	4									
