Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Нагорская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8566	1259	718	917	1012	223	296	366	384	71	74	219	218	255	779	379	110	118	158	1010									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8619	1250	720	920	1010	230	290	369	390	70	75	220	215	270	785	385	110	120	165	1025									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3362	463	228	353	349	94	86	110	138	44	42	110	86	95	357	170	76	75	104	382									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	601	28	29	21	43	19	33	91	81	4	5	35	13	33	41	24	4	0	5	92									
6	Число погашенных избирательных бюллетеней	4656	759	463	546	618	117	171	168	171	22	28	75	116	142	387	191	30	45	56	551									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	601	28	29	21	43	19	33	91	81	4	5	35	13	33	41	24	4	0	5	92									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3360	463	228	352	349	94	85	110	138	44	42	110	86	95	357	170	76	75	104	382									
9	Число недействительных избирательных бюллетеней	79	9	6	5	14	3	1	4	2	0	0	2	1	6	10	6	2	0	0	8									
10	Число действительных избирательных бюллетеней	3882	482	251	368	378	110	117	197	217	48	47	143	98	122	388	188	78	75	109	466									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	25	25	25	25	15	10	10	10	5	5	5	5	15	25	15	5	5	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	78	7	6	9	7	3	0	0	1	3	5	3	1	15	1	1	2	0	10	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	4	1	2	2	3	0	1	1	1	2	1	2	2	1	1	1	0	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	192	18	19	16	18	12	10	10	9	2	0	2	4	0	24	14	3	5	0	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	3	3	1	3	2	2	0	2	0	0	0	1	0	7	0	0	0	0	4									
		0.71%	0.61%	1.17%	0.27%	0.77%	1.77%	1.69%	0.00%	0.91%	0.00%	0.00%	0.00%	1.01%	0.00%	1.76%	0.00%	0.00%	0.00%	0.00%	0.84%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	152	24	10	14	21	5	8	7	8	2	0	1	4	6	4	5	2	2	10	19									
		3.84%	4.89%	3.89%	3.75%	5.36%	4.42%	6.78%	3.48%	3.65%	4.17%	0.00%	0.69%	4.04%	4.69%	1.01%	2.58%	2.50%	2.67%	9.17%	4.01%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	11	6	13	7	1	4	9	4	1	0	1	1	1	6	2	0	0	1	12									
		2.02%	2.24%	2.33%	3.49%	1.79%	0.88%	3.39%	4.48%	1.83%	2.08%	0.00%	0.69%	1.01%	0.78%	1.51%	1.03%	0.00%	0.00%	0.92%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1655	170	94	140	160	49	46	112	97	27	35	70	50	61	175	61	41	45	66	156									
		41.78%	34.62%	36.58%	37.53%	40.82%	43.36%	38.98%	55.72%	44.29%	56.25%	74.47%	48.28%	50.51%	47.66%	43.97%	31.44%	51.25%	60.00%	60.55%	32.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	4	1	1	0	1	0	0	1	0	0	1	0	0	3	2	0	0	0	2									
		0.40%	0.81%	0.39%	0.27%	0.00%	0.88%	0.00%	0.00%	0.46%	0.00%	0.00%	0.69%	0.00%	0.00%	0.75%	1.03%	0.00%	0.00%	0.00%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0									
		0.13%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	1.33%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1000	128	65	71	101	35	39	43	69	7	5	36	20	23	110	79	16	4	9	140									
		25.25%	26.07%	25.29%	19.03%	25.77%	30.97%	33.05%	21.39%	31.51%	14.58%	10.64%	24.83%	20.20%	17.97%	27.64%	40.72%	20.00%	5.33%	8.26%	29.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	1	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1									
		0.18%	0.20%	0.39%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	1	1	0	1	0	1	0	0	0	1	0	0	1	2	3	0	0	0	1									
		0.30%	0.20%	0.39%	0.00%	0.26%	0.00%	0.85%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	0.78%	0.50%	1.55%	0.00%	0.00%	0.00%	0.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2									
		0.15%	0.00%	0.78%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%									
