Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Среднеуральская городская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17471	1881	2014	1723	2242	2131	1087	2571	1792	2030									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15700	1500	2000	1500	2000	2000	1000	2500	1500	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7269	756	829	741	891	959	470	1109	709	805									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	175	7	28	29	18	30	15	12	20	16									
6	Число погашенных избирательных бюллетеней	8255	737	1143	730	1090	1011	515	1379	771	879									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	175	7	28	29	18	30	15	12	20	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7255	751	827	738	889	957	470	1109	709	805									
9	Число недействительных избирательных бюллетеней	333	21	46	36	57	42	30	40	27	34									
10	Число действительных избирательных бюллетеней	7097	737	809	731	850	945	455	1081	702	787									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	20	20	20	30	30	15	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	132	18	12	11	20	17	10	25	10	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	11	5	5	9	6	7	10	5	9									
14	Число погашенных неиспользованных открепительных удостоверений	73	2	8	9	10	13	5	5	10	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	3	3	2	11	12	0	4	5	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	8	12	14	7	19	4	24	19	7									
		1.53%	1.06%	1.40%	1.83%	0.77%	1.93%	0.82%	2.14%	2.61%	0.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	180	22	32	16	23	14	17	20	17	19									
		2.42%	2.90%	3.74%	2.09%	2.54%	1.42%	3.51%	1.78%	2.33%	2.31%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	238	18	24	28	31	35	23	28	30	21									
		3.20%	2.37%	2.81%	3.65%	3.42%	3.55%	4.74%	2.50%	4.12%	2.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2559	246	298	245	284	347	169	400	272	298									
		34.44%	32.45%	34.85%	31.94%	31.31%	35.16%	34.85%	35.68%	37.31%	36.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	106	16	8	8	15	14	8	19	8	10									
		1.43%	2.11%	0.94%	1.04%	1.65%	1.42%	1.65%	1.69%	1.10%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	9	3	0	1	2	1	9	6	2									
		0.44%	1.19%	0.35%	0.00%	0.11%	0.20%	0.21%	0.80%	0.82%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1008	106	124	109	111	128	57	160	111	102									
		13.57%	13.98%	14.50%	14.21%	12.24%	12.97%	11.75%	14.27%	15.23%	12.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	74	13	7	12	7	6	3	12	5	9									
		0.99%	1.72%	0.82%	1.56%	0.77%	0.61%	0.62%	1.07%	0.69%	1.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	67	12	8	6	6	4	2	13	6	10									
		0.90%	1.58%	0.94%	0.78%	0.66%	0.41%	0.41%	1.16%	0.82%	1.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	2	1	1	1	3	2	2	3	2									
		0.23%	0.26%	0.12%	0.13%	0.11%	0.30%	0.41%	0.18%	0.41%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	139	31	23	15	8	15	7	24	11	5									
		1.87%	4.09%	2.69%	1.96%	0.88%	1.52%	1.44%	2.14%	1.51%	0.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	854	99	107	92	123	95	55	101	65	117									
		11.49%	13.06%	12.51%	11.99%	13.56%	9.63%	11.34%	9.01%	8.92%	14.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	4	2	7	6	7	2	3	1	6									
		0.51%	0.53%	0.23%	0.91%	0.66%	0.71%	0.41%	0.27%	0.14%	0.73%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1670	151	160	178	227	256	105	266	148	179									
		22.48%	19.92%	18.71%	23.21%	25.03%	25.94%	21.65%	23.73%	20.30%	21.80%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
