Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Галичская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7285	386	186	828	290	334	139	351	174	148	625	553	703	484	399	143	195	659	282	213	193									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7396	401	192	833	292	342	140	356	177	155	629	580	710	483	400	147	198	656	295	222	188									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2514	109	63	309	122	106	57	137	79	68	183	166	237	138	127	47	99	229	96	88	54									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	817	59	16	88	2	46	10	34	9	20	112	76	77	63	30	29	20	52	20	32	22									
6	Число погашенных избирательных бюллетеней	4065	233	113	436	168	190	73	185	89	67	334	338	396	282	243	71	79	375	179	102	112									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	817	59	16	88	2	46	10	34	9	20	112	76	77	63	30	29	20	52	20	32	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2514	109	63	309	122	106	57	137	79	68	183	166	237	138	127	47	99	229	96	88	54									
9	Число недействительных избирательных бюллетеней	43	0	3	4	1	2	3	3	1	0	5	3	6	3	3	0	2	0	3	1	0									
10	Число действительных избирательных бюллетеней	3288	168	76	393	123	150	64	168	87	88	290	239	308	198	154	76	117	281	113	119	76									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	129	5	5	8	5	5	5	8	5	5	8	8	8	8	8	5	5	8	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	3	0	4	0	0	1	0	1	0	1	8	4	0	2	0	5	3	0	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	1	1	0	2	2	2	1	1	0	3	2	5	1	1	1	1	1	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	90	2	5	4	5	5	4	8	4	5	7	0	4	8	6	5	0	5	5	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	1	0	3	0	1	0	1	0	0	3	0	1	3	1	0	0	5	1	2	0									
