Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
"Наименование Избирательной комиссии:    Новосибирск, Первомайская"																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932					
1	"Число избирателей, внесенных в списки избирателей"	57094	1206	1428	1755	2412	1476	1738	2440	2183	1435	2742	1900	1324	2315	2081	1520	1612	2513	1939	1983	2026	2858	2190	2366	2647	2339	2128	2075	2463					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42200	1000	1050	1300	1800	1050	1250	1800	1800	1100	2000	1400	1050	1700	1550	1100	1200	1800	1300	1500	1500	2100	1600	1700	2000	1700	1550	1500	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28238	600	574	881	1373	649	846	1121	1146	853	1397	1159	647	1266	1001	805	946	1195	850	1032	800	1378	1046	1241	1268	1073	1030	939	1122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1467	32	53	75	42	116	34	28	31	34	49	22	39	39	42	8	25	47	177	60	97	63	73	30	41	59	36	64	51					
6	Число погашенных избирательных бюллетеней	12495	368	423	344	385	285	370	651	623	213	554	219	364	395	507	287	229	558	273	408	603	659	481	429	691	568	484	497	627					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1467	32	53	75	42	116	34	28	31	34	49	22	39	39	42	8	25	47	177	60	97	63	73	30	41	59	36	64	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28222	600	574	881	1373	649	846	1121	1144	850	1397	1158	647	1266	1001	805	946	1195	850	1032	800	1377	1043	1237	1268	1073	1028	939	1122					
9	Число недействительных избирательных бюллетеней	343	12	10	10	12	7	11	12	18	16	11	13	4	11	8	6	11	30	16	9	8	24	9	16	12	10	7	15	15					
10	Число действительных избирательных бюллетеней	29346	620	617	946	1403	758	869	1137	1157	868	1435	1167	682	1294	1035	807	960	1212	1011	1083	889	1416	1107	1251	1297	1122	1057	988	1158					
