Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Корочанская 																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643					
1	"Число избирателей, внесенных в списки"	30591	1914	1945	999	1613	352	393	861	298	613	293	343	1585	1558	402	510	847	364	407	497	234	530	498	819	330	1311	569	693	605	253	249	156	206	349	1759	417	1244	723	545	354	325	554	246	196	1399	233					
2	"Число бюллетеней, полученных участковыми комиссиями"	30474	1855	1916	1000	1622	344	390	858	293	615	293	339	1595	1577	401	510	834	365	407	497	233	522	496	818	331	1307	557	686	595	257	239	159	219	359	1763	411	1245	720	540	352	328	553	250	194	1394	235					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17167	1118	1167	559	928	231	241	516	197	333	155	194	985	983	279	273	498	247	213	320	104	257	253	481	173	625	294	362	346	128	148	61	92	197	1063	240	627	340	250	215	167	320	123	94	652	118					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3225	70	49	23	105	18	72	140	62	67	38	38	57	87	26	34	88	31	61	68	96	61	102	117	73	209	31	0	81	67	47	39	90	82	110	37	161	72	82	62	56	71	78	46	160	61					
6	Число погашенных бюллетеней	10082	667	700	418	589	95	77	202	34	215	100	107	553	507	96	203	248	87	133	109	33	204	141	220	85	473	232	324	168	62	44	59	37	80	590	134	457	308	208	75	105	162	49	54	582	56					
7	Число бюллетеней в переносных ящиках для голосования	3225	70	49	23	105	18	72	140	62	67	38	38	57	87	26	34	88	31	61	68	96	61	102	117	73	209	31	0	81	67	47	39	90	82	110	37	161	72	82	62	56	71	78	46	160	61					
8	Число бюллетеней в стационарных ящиках для голосования	17166	1117	1167	559	928	231	241	516	197	333	155	194	985	983	279	273	498	247	213	320	104	257	253	481	173	625	294	362	346	128	148	61	92	197	1063	240	627	340	250	215	167	320	123	94	652	118					
9	Число недействительных бюллетеней	658	23	27	7	30	6	2	24	11	24	11	14	24	29	12	11	21	21	13	19	9	19	10	19	5	22	11	25	18	7	3	3	4	1	21	12	24	6	20	5	22	16	5	13	25	4					
10	Число действительных бюллетеней	19733	1164	1189	575	1003	243	311	632	248	376	182	218	1018	1041	293	296	565	257	261	369	191	299	345	579	241	812	314	337	409	188	192	97	178	278	1152	265	764	406	312	272	201	375	196	127	787	175					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	32	27	30	12	2	5	4	2	2	2	2	31	21	2	4	4	2	2	4	2	2	2	3	2	5	8	4	2	5	2	2	2	2	22	8	15	4	2	2	2	2	2	2	4	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	114	14	8	9	7	1	2	2	0	0	0	0	13	14	0	3	3	0	1	0	0	0	0	1	0	1	2	3	0	2	0	0	0	0	15	2	6	0	0	1	0	1	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	3	6	2	9	4	1	3	5	3	0	2	6	3	0	0	4	7	6	0	3	9	1	0	1	6	7	5	5	0	11	3	0	0	9	0	3	5	0	4	3	2	0	6	5	0					
14	Число погашенных открепительных удостоверений	186	18	19	21	5	1	3	2	2	2	2	2	18	7	2	1	1	2	1	4	2	2	2	2	2	4	6	1	2	3	2	2	2	2	7	6	9	4	2	1	2	1	2	1	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	277	13	11	8	12	5	5	1	4	5	4	1	14	14	8	3	11	4	3	3	5	5	1	19	6	5	1	4	3	5	5	0	2	4	14	5	19	9	4	5	2	6	4	3	11	1					
		1.35%	1.09%	0.90%	1.37%	1.16%	2.00%	1.59%	0.15%	1.54%	1.25%	2.07%	0.43%	1.34%	1.30%	2.62%	0.97%	1.87%	1.43%	1.09%	0.77%	2.5%	1.57%	0.28%	3.17%	2.43%	0.59%	0.30%	1.10%	0.70%	2.56%	2.56%	0.0%	1.09%	1.43%	1.19%	1.80%	2.41%	2.18%	1.20%	1.80%	0.89%	1.53%	1.99%	2.14%	1.35%	0.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	268	19	14	18	17	5	7	6	4	0	5	2	12	7	1	2	0	1	3	5	4	11	2	8	5	18	8	4	6	1	2	0	1	6	27	5	12	3	1	2	3	0	2	2	5	2					
		1.31%	1.60%	1.15%	3.09%	1.64%	2.00%	2.23%	0.91%	1.54%	0.0%	2.59%	0.86%	1.15%	0.65%	0.32%	0.65%	0.0%	0.35%	1.09%	1.28%	2.0%	3.45%	0.56%	1.33%	2.03%	2.15%	2.46%	1.10%	1.40%	0.51%	1.02%	0.0%	0.54%	2.15%	2.30%	1.80%	1.52%	0.72%	0.30%	0.72%	1.34%	0.0%	0.99%	1.42%	0.61%	1.11%					
