Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Курская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622					
1	"Число избирателей, внесенных в список избирателей"	43279	267	1179	276	429	361	118	201	325	466	172	618	420	1398	740	1215	760	480	1565	1348	459	1968	1932	685	1654	460	274	490	866	616	1921	316	284	772	943	458	464	120	809	1462	380	354	932	198	480	362	188	509	1316	1005	142	414	1248	1059	718	515	592	1085	1018	1323	150					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38523	239	1027	252	371	322	107	167	296	408	152	545	383	1272	662	1117	684	424	1432	1193	410	1762	1632	590	1587	418	244	421	783	545	1621	279	242	698	830	404	398	105	733	1311	340	322	835	176	428	326	170	464	1199	907	129	373	1122	950	639	445	505	984	826	1179	138					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17927	104	507	106	122	108	48	80	158	213	61	225	158	527	225	410	227	158	650	397	221	1229	1207	368	1002	174	44	185	541	334	766	121	108	242	388	190	251	52	314	515	117	144	328	65	125	106	75	135	456	369	58	99	441	422	384	226	249	397	356	592	47					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4555	45	90	46	98	91	26	41	62	44	31	75	39	25	91	95	155	96	79	193	20	14	6	32	3	79	130	97	47	76	94	48	84	72	29	155	52	30	99	132	80	60	113	67	94	89	38	78	104	166	22	101	146	121	117	124	24	68	120	65	37					
6	Число погашенных избирательных бюллетеней	16041	90	430	100	151	123	33	46	76	151	60	245	186	720	346	612	302	170	703	603	169	519	419	190	582	165	70	139	195	135	761	110	50	384	413	59	95	23	320	664	143	118	394	44	209	131	57	251	639	372	49	173	535	407	138	95	232	519	350	522	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4555	45	90	46	98	91	26	41	62	44	31	75	39	25	91	95	155	96	79	193	20	14	6	32	3	79	130	97	47	76	94	48	84	72	29	155	52	30	99	132	80	60	113	67	94	89	38	78	104	166	22	101	146	121	117	124	24	68	120	65	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17927	104	507	106	122	108	48	80	158	213	61	225	158	527	225	410	227	158	650	397	221	1229	1207	368	1002	174	44	185	541	334	766	121	108	242	388	190	251	52	314	515	117	144	328	65	125	106	75	135	456	369	58	99	441	422	384	226	249	397	356	592	47					
9	Число недействительных избирательных бюллетеней	341	1	9	0	2	4	2	3	0	6	5	4	1	8	2	3	7	0	10	6	10	17	15	5	14	2	0	5	12	8	7	1	4	2	4	0	5	2	6	10	2	3	5	0	2	2	2	6	14	5	2	1	6	7	50	4	3	7	7	11	0					
10	Число действительных избирательных бюллетеней	22141	148	588	152	218	195	72	118	220	251	87	296	196	544	314	502	375	254	719	584	231	1226	1198	395	991	251	174	277	576	402	853	168	188	312	413	345	298	80	407	637	195	201	436	132	217	193	111	207	546	530	78	199	581	536	451	346	270	458	469	646	84					
