Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Мантуровская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389					
1	"Число избирателей, внесенных в списки избирателей"	4786	1069	180	319	429	419	394	128	397	174	252	342	349	334					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4775	1050	180	310	415	430	410	130	400	170	260	335	350	335					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2510	502	119	145	243	246	192	91	175	100	110	183	215	189					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	818	117	25	106	56	44	98	13	95	46	73	51	32	62					
6	Число погашенных избирательных бюллетеней	1447	431	36	59	116	140	120	26	130	24	77	101	103	84					
7	Число избирательных бюллетеней в переносных ящиках для голосования	818	117	25	106	56	44	98	13	95	46	73	51	32	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2508	502	119	145	242	246	192	91	174	100	110	183	215	189					
9	Число недействительных избирательных бюллетеней	17	1	2	2	1	1	0	1	3	0	1	0	3	2					
10	Число действительных избирательных бюллетеней	3309	618	142	249	297	289	290	103	266	146	182	234	244	249					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	66	10	4	4	5	5	7	4	5	4	4	4	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	6	3	2	2	4	6	4	3	4	3	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	47	4	4	1	7	1	6	2	4	2	5	2	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	26	4	1	2	3	1	1	0	2	0	1	4	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	161	11	12	22	5	8	27	3	15	5	10	14	7	22					
		4.84%	1.78%	8.33%	8.76%	1.68%	2.76%	9.31%	2.88%	5.58%	3.42%	5.46%	5.98%	2.83%	8.76%					
19	2.Всероссийская политическая партия «Гражданская Сила»	7	1	0	1	0	0	4	0	0	1	0	0	0	0					
		0.21%	0.16%	0.00%	0.40%	0.00%	0.00%	1.38%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	3	1	0	0	1	0	0	0	1	0	0	0	0	0					
		0.09%	0.16%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	506	82	15	27	34	71	28	15	38	18	28	22	67	61					
		15.21%	13.25%	10.42%	10.76%	11.41%	24.48%	9.66%	14.42%	14.13%	12.33%	15.30%	9.40%	27.13%	24.30%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	0	1	0	2	0	0	1	1	0	0	0	0	1					
		0.18%	0.00%	0.69%	0.00%	0.67%	0.00%	0.00%	0.96%	0.37%	0.00%	0.00%	0.00%	0.00%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	5	1	0	0	1	0	1	0	0	0	0	0	0	2					
		0.15%	0.16%	0.00%	0.00%	0.34%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%					
24	7.Политическая партия «Либерально-демократическая партия России»	259	49	11	19	21	26	19	9	29	10	16	17	15	18					
		7.79%	7.92%	7.64%	7.57%	7.05%	8.97%	6.55%	8.65%	10.78%	6.85%	8.74%	7.26%	6.07%	7.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	191	28	9	15	32	16	11	6	12	6	13	19	12	12					
		5.74%	4.52%	6.25%	5.98%	10.74%	5.52%	3.79%	5.77%	4.46%	4.11%	7.10%	8.12%	4.86%	4.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	24	6	1	2	2	3	4	0	1	0	1	3	1	0					
		0.72%	0.97%	0.69%	0.80%	0.67%	1.03%	1.38%	0.00%	0.37%	0.00%	0.55%	1.28%	0.40%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2135	437	93	160	199	162	195	69	169	106	114	158	142	131					
		64.19%	70.60%	64.58%	63.75%	66.78%	55.86%	67.24%	66.35%	62.83%	72.60%	62.30%	67.52%	57.49%	52.19%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	2	0	3	0	3	1	0	0	0	0	1	0	2					
		0.36%	0.32%	0.00%	1.20%	0.00%	1.03%	0.34%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.80%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
