Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Холм-Жирковская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
1	"Число избирателей, внесенных в списки избирателей"	9429	288	278	690	239	1700	359	227	349	216	275	296	296	285	609	1613	1709					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9232	273	268	699	231	1575	358	228	348	220	274	287	304	293	631	1595	1648					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4771	214	138	336	148	893	198	127	149	134	88	129	120	156	246	719	976					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1057	31	79	103	45	75	32	53	71	15	89	100	91	54	55	115	49					
6	Число погашенных избирательных бюллетеней	3404	28	51	260	38	607	128	48	128	71	97	58	93	83	330	761	623					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1057	31	79	103	45	75	32	53	71	15	89	100	91	54	55	115	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4767	214	138	336	148	893	198	127	149	134	88	129	120	156	246	719	972					
9	Число недействительных избирательных бюллетеней	74	3	2	1	1	10	6	0	3	1	1	1	5	1	3	13	23					
10	Число действительных избирательных бюллетеней	5750	242	215	438	192	958	224	180	217	148	176	228	206	209	298	821	998					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	10	10	22	9	49	12	8	12	8	10	10	10	10	20	49	51					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	29	0	0	0	0	4	1	1	0	1	2	1	0	0	1	9	9					
