Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Молжаниновский район								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №408					
1	"Число избирателей, внесенных в списки избирателей"	2128	2128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1025	1025					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	88	88					
6	Число погашенных избирательных бюллетеней	887	887					
7	Число избирательных бюллетеней в переносных ящиках для голосования	88	88					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1024	1024					
9	Число недействительных избирательных бюллетеней	14	14					
10	Число действительных избирательных бюллетеней	1098	1098					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	97	97					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	123	123					
14	Число погашенных неиспользованных открепительных удостоверений	57	57					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	31	31					
		2.79%	2.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	11					
		0.99%	0.99%					
20	3.Политическая партия «Демократическая партия России»	1	1					
		0.09%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	117	117					
		10.52%	10.52%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	13					
		1.17%	1.17%					
23	6.Политическая партия «Партия социальной справедливости»	6	6					
		0.54%	0.54%					
24	7.Политическая партия «Либерально-демократическая партия России»	88	88					
		7.91%	7.91%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	77	77					
		6.92%	6.92%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	12	12					
		1.08%	1.08%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	723	723					
		65.02%	65.02%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	19	19					
		1.71%	1.71%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
