Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Нововоронежская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29019	2526	2435	2497	2240	2460	2512	2265	2344	2400	2311	2291	2738									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29000	2500	2400	2500	2300	2500	2500	2300	2300	2400	2300	2300	2700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13127	1096	1094	1095	784	1113	1134	1067	1169	1109	1066	1046	1354									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	206	22	32	15	22	13	10	16	8	17	15	15	21									
6	Число погашенных избирательных бюллетеней	15667	1382	1274	1390	1494	1374	1356	1217	1123	1274	1219	1239	1325									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	206	22	32	15	22	13	10	16	8	17	15	15	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13121	1096	1094	1095	784	1110	1134	1067	1166	1109	1066	1046	1354									
9	Число недействительных избирательных бюллетеней	225	21	17	21	12	10	16	23	20	24	18	20	23									
10	Число действительных избирательных бюллетеней	13102	1097	1109	1089	794	1113	1128	1060	1154	1102	1063	1041	1352									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	20	20	28	20	20	20	20	20	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	129	9	4	13	9	7	4	5	11	14	24	15	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	8	8	21	2	4	2	3	30	5	4	7	14									
14	Число погашенных неиспользованных открепительных удостоверений	159	11	16	15	11	13	16	15	9	16	6	15	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	0	1	2	2	0	1	3	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	232	24	17	21	3	10	15	16	23	23	20	28	32									
		1.74%	2.15%	1.51%	1.89%	0.37%	0.89%	1.31%	1.48%	1.96%	2.04%	1.85%	2.64%	2.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	349	40	34	32	22	27	26	33	30	24	27	21	33									
		2.62%	3.58%	3.02%	2.88%	2.73%	2.40%	2.27%	3.05%	2.56%	2.13%	2.50%	1.98%	2.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	265	28	15	12	20	19	28	36	21	13	23	33	17									
		1.99%	2.50%	1.33%	1.08%	2.48%	1.69%	2.45%	3.32%	1.79%	1.15%	2.13%	3.11%	1.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5889	492	482	522	352	527	539	458	482	477	452	447	659									
		44.19%	44.01%	42.81%	47.03%	43.67%	46.93%	47.12%	42.29%	41.06%	42.36%	41.81%	42.13%	47.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	124	7	10	10	5	10	8	8	17	6	12	9	22									
		0.93%	0.63%	0.89%	0.90%	0.62%	0.89%	0.70%	0.74%	1.45%	0.53%	1.11%	0.85%	1.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	4	7	1	1	2	0	0	0	0	2	0	3									
		0.15%	0.36%	0.62%	0.09%	0.12%	0.18%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.22%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1921	159	159	160	111	160	167	152	165	155	143	159	231									
		14.41%	14.22%	14.12%	14.41%	13.77%	14.25%	14.60%	14.04%	14.05%	13.77%	13.23%	14.99%	16.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	108	10	8	11	6	11	5	9	10	9	13	3	13									
		0.81%	0.89%	0.71%	0.99%	0.74%	0.98%	0.44%	0.83%	0.85%	0.80%	1.20%	0.28%	0.95%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	137	9	11	13	7	11	12	9	13	8	17	9	18									
		1.03%	0.81%	0.98%	1.17%	0.87%	0.98%	1.05%	0.83%	1.11%	0.71%	1.57%	0.85%	1.31%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	1	3	1	0	2	1	0	0	2	0	2	3									
		0.11%	0.09%	0.27%	0.09%	0.00%	0.18%	0.09%	0.00%	0.00%	0.18%	0.00%	0.19%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	196	11	14	10	15	20	14	17	24	12	16	19	24									
		1.47%	0.98%	1.24%	0.90%	1.86%	1.78%	1.22%	1.57%	2.04%	1.07%	1.48%	1.79%	1.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2699	197	231	203	190	232	216	239	280	261	238	212	200									
		20.25%	17.62%	20.52%	18.29%	23.57%	20.66%	18.88%	22.07%	23.85%	23.18%	22.02%	19.98%	14.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	9	4	12	8	6	4	6	2	5	5	7	2									
		0.53%	0.81%	0.36%	1.08%	0.99%	0.53%	0.35%	0.55%	0.17%	0.44%	0.46%	0.66%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1077	106	114	81	54	76	93	77	87	107	95	92	95									
		8.08%	9.48%	10.12%	7.30%	6.70%	6.77%	8.13%	7.11%	7.41%	9.50%	8.79%	8.67%	6.91%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
