Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Гатчинская 112																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №959									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	106894	2282	2418	2343	2605	2372	1073	2665	2154	1550	2136	2221	1774	1867	2258	1730	2030	1880	2114	1939	2002	2082	1206	1624	1667	1420	2157	1986	1981	1909	1887	2333	2488	2494	2632	2363	1556	619	1822	949	417	1846	990	336	2353	2341	1835	1337	1567	873	896	1796	895	1269	2152	1153	1459	1346	1311	533	459	891	667	552	190	595	247									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106310	2350	2350	2300	2600	2350	1250	2650	2150	1550	2100	2200	1750	1850	2250	1700	2000	1900	2250	1900	2000	2050	1200	1750	1650	1400	2150	2000	1950	1900	1950	2350	2450	2500	2600	2350	1550	600	1800	950	400	1600	1000	300	2300	2300	1800	1300	1500	900	850	1800	850	1250	2150	1150	1450	1300	1300	500	400	900	750	600	210	600	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42697	889	1085	912	1244	906	581	1104	889	535	959	967	630	749	926	652	647	729	1025	615	933	498	508	751	582	704	688	716	664	759	903	970	1012	1091	1016	1083	798	210	764	455	137	443	457	89	968	665	709	424	687	333	381	922	222	417	760	445	496	498	513	189	112	392	335	362	100	471	21									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5260	148	7	19	8	18	47	5	4	3	8	14	31	7	11	16	30	11	97	59	203	21	13	123	37	7	32	16	79	11	63	212	39	15	45	66	34	42	18	23	32	364	8	139	76	199	49	188	19	242	210	344	112	110	60	28	22	285	243	58	97	184	197	102	49	22	179									
6	Число погашенных избирательных бюллетеней	58353	1313	1258	1369	1348	1426	622	1541	1257	1012	1133	1219	1089	1094	1313	1032	1323	1160	1128	1226	864	1531	679	876	1031	689	1430	1268	1207	1130	984	1168	1399	1394	1539	1201	718	348	1018	472	231	793	535	72	1256	1436	1042	688	794	325	259	534	516	723	1330	677	932	517	544	253	191	324	218	136	61	107	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5257	148	7	19	8	18	47	5	4	3	8	14	31	7	11	16	30	11	97	59	203	21	13	123	37	7	32	16	79	11	63	212	39	15	45	66	34	42	18	23	32	364	8	139	76	196	49	188	19	242	210	344	112	110	60	28	22	285	243	58	97	184	197	102	49	22	179									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42564	889	1085	911	1244	906	534	1104	889	535	959	967	629	749	923	652	647	729	1025	615	933	498	508	751	582	704	688	716	664	758	903	966	973	1089	1011	1083	770	210	764	455	137	443	457	89	968	663	709	424	687	333	381	922	222	417	760	445	496	498	513	189	112	392	335	362	100	471	21									
9	Число недействительных избирательных бюллетеней	1190	18	25	17	22	13	15	21	27	8	31	34	25	21	26	14	12	19	41	20	35	16	19	18	8	8	18	16	17	16	13	16	34	22	27	31	26	6	21	2	5	12	2	1	35	23	42	10	13	10	13	23	3	14	10	10	22	19	17	7	7	84	10	9	1	9	1									
10	Число действительных избирательных бюллетеней	46631	1019	1067	913	1230	911	566	1088	866	530	936	947	635	735	908	654	665	721	1081	654	1101	503	502	856	611	703	702	716	726	753	953	1162	978	1082	1029	1118	778	246	761	476	164	795	463	227	1009	836	716	602	693	565	578	1243	331	513	810	463	496	764	739	240	202	492	522	455	148	484	199									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1320	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	15	15	15	15	15	15	15	15	15	15	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	587	16	12	8	14	15	10	15	13	9	11	16	10	4	11	4	4	18	13	7	8	12	2	14	9	14	6	5	12	8	4	19	17	25	13	15	6	6	10	5	1	4	5	0	3	4	11	9	16	4	6	13	6	4	9	5	7	9	6	3	3	14	3	3	4	15	0									
