Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Усольская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11462	658	304	723	191	831	721	1162	655	181	816	214	1476	306	240	206	1516	526	331	405									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9400	500	250	600	150	650	600	900	550	150	700	200	1200	250	200	150	1250	450	300	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3041	232	103	182	48	214	139	247	169	60	236	79	454	56	45	64	435	124	46	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	464	10	7	58	32	12	22	26	22	15	15	19	41	6	35	18	39	19	59	9									
6	Число погашенных избирательных бюллетеней	5883	258	140	360	70	424	439	627	359	75	449	102	705	176	120	68	776	307	195	233									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	476	10	7	58	32	12	22	26	22	15	15	19	41	18	35	18	39	19	59	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3041	232	103	182	48	214	139	247	169	60	236	79	454	56	45	64	435	124	46	108									
9	Число недействительных избирательных бюллетеней	104	4	4	3	2	5	9	4	1	0	11	4	18	10	1	1	14	4	7	2									
10	Число действительных избирательных бюллетеней	3413	238	106	237	78	221	152	269	190	75	240	94	477	64	79	81	460	139	98	115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	20	20	10	10	20	20	30	20	10	20	10	30	10	10	10	30	20	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	52	4	5	0	0	3	3	4	7	2	10	3	2	0	0	0	5	0	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	17	9	15	3	11	10	9	2	4	3	8	14	0	0	4	2	2	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	278	16	15	10	10	17	17	26	13	8	10	7	28	10	10	10	25	20	9	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	1	0	0	1	0	3	2	0	1	1	0	1	1									
