Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Опаpинская																										
																										
Сводная таблица итогов голосования																										
																										
		Сумма	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №890									
1	Число избирателей, внесенных в список избирателей	9317	1474	1463	1039	1306	964	414	548	173	734	183	281	86	99	231	322									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	8715	1300	1300	900	1200	950	400	550	189	700	185	290	87	110	229	325									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещении для голосования	3980	734	547	385	509	371	175	218	99	322	104	110	40	54	191	121									
5	Число избирательных бюллетеней, выданных избирателям вне помещения для голосования	529	45	56	45	69	16	28	34	18	45	10	49	21	4	0	89									
6	Число погашенных избирательных бюллетеней	4206	521	697	470	622	563	197	298	72	333	71	131	26	52	38	115									
7	Число избирательных бюллетеней в переносных ящиках для голосования	529	45	56	45	69	16	28	34	18	45	10	49	21	4	0	89									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3980	734	547	385	509	371	175	218	99	322	104	110	40	54	191	121									
9	Число недействительных избирательных бюллетеней	36	4	8	0	4	5	4	0	3	6	0	1	0	0	1	0									
10	Число действительных избирательных бюллетеней	4473	775	595	430	574	382	199	252	114	361	114	158	61	58	190	210									
11	Число открепительных удостоверений, полученных участковой избирательной комиссией	330	30	25	25	40	20	20	20	17	20	15	20	20	15	20	23									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	160	13	9	3	40	11	7	7	14	7	6	8	0	15	20	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке	98	20	10	7	8	13	5	3	2	2	1	2	0	3	22	0									
14	Число погашенных неиспользованных открепительных удостоверений	170	17	16	22	0	9	13	13	3	13	9	12	20	0	0	23									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	5	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1084	242	145	87	152	114	49	44	17	72	26	37	6	8	31	54									
		24.04%	31.07%	24.05%	20.23%	26.30%	29.46%	24.14%	17.46%	14.53%	19.62%	22.81%	23.27%	9.84%	13.79%	16.23%	25.71%									
20	"2. Политическая партия ""Либерально-демократическая партия России"""	840	112	93	74	135	58	42	50	31	70	29	35	19	5	56	31									
		18.63%	14.38%	15.42%	17.21%	23.36%	14.99%	20.69%	19.84%	26.50%	19.07%	25.44%	22.01%	31.15%	8.62%	29.32%	14.76%									
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	8	8	8	4	3	1	4	1	1	0	2	0	0	2	3									
		0.99%	1.03%	1.33%	1.86%	0.69%	0.78%	0.49%	1.59%	0.85%	0.27%	0.00%	1.26%	0.00%	0.00%	1.05%	1.43%									
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	774	164	106	94	98	83	40	42	16	60	10	15	4	5	24	13									
		17.17%	21.05%	17.58%	21.86%	16.96%	21.45%	19.70%	16.67%	13.68%	16.35%	8.77%	9.43%	6.56%	8.62%	12.57%	6.19%									
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	22	2	4	10	2	1	3	0	0	0	1	0	0	5	1									
		1.13%	2.82%	0.33%	0.93%	1.73%	0.52%	0.49%	1.19%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	2.62%	0.48%									
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1668	226	240	161	173	122	66	109	49	157	49	67	32	40	70	107									
		36.99%	29.01%	39.80%	37.44%	29.93%	31.52%	32.51%	43.25%	41.88%	42.78%	42.98%	42.14%	52.46%	68.97%	36.65%	50.95%									
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	1	1	2	2	0	0	0	0	1	0	1	0	0	2	1									
		0.24%	0.13%	0.17%	0.47%	0.35%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.63%	0.00%	0.00%	1.05%	0.48%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
