Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    ТИК Дзержинского района г.Перми																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864					
1	"Число избирателей, внесенных в списки избирателей"	120799	2327	2067	2026	1995	2166	1379	1696	1958	1576	1614	2145	1677	1493	1684	2678	1928	1404	1663	2086	2042	1444	1762	1610	2016	1723	2608	2314	2048	1941	2444	2210	1793	2420	2273	2735	2201	2284	2374	1925	2421	2067	2301	2099	2092	2161	2082	2368	1733	1869	1607	1871	1885	2392	2442	2131	201	134	527	1624	2011	2283	206	2151	412					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	102500	1700	1500	1500	1500	2000	1000	1300	1400	1200	1200	2000	1200	1200	1200	2000	1400	1200	1200	2000	2000	1400	1500	1400	1500	1400	2000	2000	2000	1500	2000	2000	1500	2000	2000	2000	2000	2000	2000	1700	2000	1500	2000	1600	2000	1600	1600	2000	1500	1600	1300	1600	1600	2000	2000	2000	1000	1000	1000	1400	1600	2000	500	2000	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	61257	1352	1105	1195	1091	1112	709	865	926	795	830	951	910	780	854	1415	1115	715	880	1011	1144	603	879	837	1032	807	1151	953	1124	959	1248	1202	945	1245	1091	1238	1095	1006	1141	1042	1247	1085	1059	940	900	1340	1145	1225	807	811	697	926	1001	1097	1112	1032	161	134	500	705	1080	1198	164	1126	412					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1418	23	37	16	15	22	10	18	12	27	25	35	11	24	31	35	20	17	33	42	30	0	32	11	15	18	23	41	8	28	10	8	20	35	19	31	11	12	17	9	18	15	19	22	14	19	15	19	44	26	61	38	15	36	96	16	0	0	0	12	15	21	42	24	0					
6	Число погашенных избирательных бюллетеней	39820	325	358	289	394	866	281	417	462	378	345	1014	279	396	315	550	264	468	287	944	826	797	589	552	453	575	826	1006	868	513	742	790	535	719	890	731	894	982	842	649	735	400	922	638	1086	241	440	756	649	763	542	636	584	867	792	952	839	866	500	683	505	781	294	850	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1417	23	37	16	15	22	10	18	12	27	24	35	11	24	31	35	20	17	33	42	30	0	32	11	15	18	23	41	8	28	10	8	20	35	19	31	11	12	17	9	18	15	19	22	14	19	15	19	44	26	61	38	15	36	96	16	0	0	0	12	15	21	42	24	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61202	1347	1105	1195	1091	1111	709	865	926	795	830	951	910	780	854	1399	1094	714	879	1008	1144	603	878	837	1032	807	1151	953	1124	959	1248	1200	945	1245	1091	1238	1095	1006	1140	1042	1247	1085	1059	940	900	1338	1145	1225	807	810	697	926	1001	1097	1112	1032	161	134	500	705	1080	1198	164	1126	412					
9	Число недействительных избирательных бюллетеней	784	18	16	12	7	12	13	12	13	11	7	10	16	17	8	0	10	16	7	11	5	22	3	9	11	9	19	16	9	11	15	12	17	18	10	11	13	7	19	9	23	15	11	13	10	13	7	15	15	12	16	28	14	13	14	12	2	2	6	15	15	20	6	17	9					
10	Число действительных избирательных бюллетеней	61835	1352	1126	1199	1099	1121	706	871	925	811	847	976	905	787	877	1434	1104	715	905	1039	1169	581	907	839	1036	816	1155	978	1123	976	1243	1196	948	1262	1100	1258	1093	1011	1138	1042	1242	1085	1067	949	904	1344	1153	1229	836	824	742	936	1002	1120	1194	1036	159	132	494	702	1080	1199	200	1133	403					
