Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Чебоксарская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976					
1	"Число избирателей, внесенных в списки избирателей"	42301	922	663	335	611	749	412	695	570	858	400	552	446	178	544	222	1692	913	355	342	386	342	2268	2257	1932	2062	811	450	1037	657	998	301	464	677	266	491	532	923	264	1171	907	575	260	206	547	985	682	1386	674	547	818	479	1154	422	292	1394	941	284					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41250	950	640	340	480	740	430	720	570	890	420	540	440	180	550	200	1680	860	350	350	400	350	2050	2050	1750	1780	800	450	950	650	1050	320	480	650	250	470	550	980	250	1050	870	550	270	230	570	1020	700	1450	650	570	850	450	1150	350	300	1400	960	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27050	454	423	240	440	460	304	478	244	505	270	406	257	81	324	133	1082	575	190	232	238	212	1483	1440	1330	1235	465	228	726	378	608	193	351	481	194	306	370	700	127	838	501	289	151	185	406	672	406	1031	458	396	568	338	618	259	182	912	497	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3120	174	50	8	6	60	28	59	125	96	47	64	70	41	53	38	23	34	73	36	59	42	27	50	18	175	74	67	103	77	64	28	41	34	5	42	46	61	26	6	83	89	30	0	10	24	63	19	82	39	26	40	146	19	36	81	151	52					
6	Число погашенных избирательных бюллетеней	11080	322	167	92	34	220	98	183	201	289	103	70	113	58	173	29	575	251	87	82	103	96	540	560	402	370	261	155	121	195	378	99	88	135	51	122	134	219	97	206	286	172	89	45	154	324	231	400	110	135	256	72	386	72	82	407	312	68					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3120	174	50	8	6	60	28	59	125	96	47	64	70	41	53	38	23	34	73	36	59	42	27	50	18	175	74	67	103	77	64	28	41	34	5	42	46	61	26	6	83	89	30	0	10	24	63	19	82	39	26	40	146	19	36	81	151	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27048	454	423	240	440	460	304	478	244	505	270	406	257	81	324	133	1082	575	190	232	238	212	1483	1438	1330	1235	465	228	726	378	608	193	351	481	194	306	370	700	127	838	501	289	151	185	406	672	406	1031	458	396	568	338	618	259	182	912	497	180					
9	Число недействительных избирательных бюллетеней	464	9	5	10	5	15	5	8	9	8	2	9	4	0	4	4	8	13	1	2	2	5	18	18	8	37	14	6	5	10	10	1	4	8	7	4	3	52	5	4	5	3	2	4	10	8	6	11	4	6	4	2	21	5	0	19	11	1					
10	Число действительных избирательных бюллетеней	29704	619	468	238	441	505	327	529	360	593	315	461	323	122	373	167	1097	596	262	266	295	249	1492	1470	1340	1373	525	289	824	445	662	220	388	507	192	344	413	709	148	840	579	375	179	181	406	688	463	1039	536	429	590	376	743	273	218	974	637	231					
