Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Чебоксарская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987					
1	"Число избирателей, внесенных в список избирателей"	42852	913	689	331	546	786	410	691	493	793	382	537	441	175	540	223	1618	1000	349	273	376	345	2278	2324	2016	2077	878	506	1057	647	1083	314	515	732	273	508	514	913	224	1189	921	538	251	203	624	942	677	1337	770	579	819	474	1277	411	318	1463	991	298					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43500	945	700	335	650	675	430	700	500	800	375	550	450	170	590	225	1625	965	365	390	415	345	2140	2250	1895	2035	930	540	1070	660	1070	340	510	730	270	510	540	950	275	1275	970	595	285	225	620	990	700	1345	685	610	840	655	1140	430	345	1530	1030	315					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25634	429	451	235	400	440	308	473	218	436	257	413	250	84	274	142	967	564	163	226	220	173	1252	1239	1236	1084	499	277	615	355	620	196	304	499	193	319	353	602	129	804	527	327	159	180	361	631	390	953	488	276	539	304	661	246	201	972	531	189					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3008	109	81	10	13	40	17	49	107	74	38	59	48	33	86	36	37	31	56	47	41	52	27	34	8	175	46	64	112	64	55	39	34	15	11	28	35	43	32	13	89	51	20	0	18	23	69	35	150	70	21	50	143	38	45	67	171	49					
6	Число погашенных избирательных бюллетеней	14858	407	168	90	237	195	105	178	175	290	80	78	152	53	230	47	621	370	146	117	154	120	861	977	651	776	385	199	343	241	395	105	172	216	66	163	152	305	114	458	354	217	106	45	241	336	241	357	47	264	280	301	336	146	99	491	328	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3008	109	81	10	13	40	17	49	107	74	38	59	48	33	86	36	37	31	56	47	41	52	27	34	8	175	46	64	112	64	55	39	34	15	11	28	35	43	32	13	89	51	20	0	18	23	69	35	150	70	21	50	143	38	45	67	171	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25634	429	451	235	400	440	308	473	218	436	257	413	250	84	274	142	967	564	163	226	220	173	1252	1239	1236	1084	499	277	615	355	620	196	304	499	193	319	353	602	129	804	527	327	159	180	361	631	390	953	488	276	539	304	661	246	201	972	531	189					
9	Число недействительных избирательных бюллетеней	845	15	21	10	10	11	11	24	11	32	3	17	13	0	12	7	29	17	2	2	4	6	25	32	31	57	23	11	12	15	34	9	17	17	14	8	10	5	6	14	21	7	9	3	22	15	19	30	4	8	15	14	12	8	5	39	10	7					
10	Число действительных избирательных бюллетеней	27797	523	511	235	403	469	314	498	314	478	292	455	285	117	348	171	975	578	217	271	257	219	1254	1241	1213	1202	522	330	715	404	641	226	321	497	190	339	378	640	155	803	595	371	170	177	357	639	440	958	634	338	545	340	792	276	241	1000	692	231					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2942	55	45	20	40	40	25	45	30	50	25	35	30	10	65	15	95	60	20	20	45	20	100	140	115	120	55	51	65	60	65	35	30	45	15	30	40	76	25	100	75	55	40	40	35	70	60	80	40	40	50	40	70	35	30	125	70	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2291	50	45	20	40	30	25	32	30	50	25	35	30	2	65	15	30	28	20	20	44	8	48	34	36	47	55	51	65	57	21	35	20	13	5	8	40	76	25	100	66	53	36	40	16	70	60	80	32	40	28	40	70	35	30	120	70	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	583	7	6	7	41	12	7	6	4	3	3	4	5	6	11	2	12	26	5	5	6	7	28	20	31	15	4	15	13	8	4	5	8	11	2	6	5	24	8	24	16	8	4	13	3	9	7	16	13	4	6	12	15	3	1	17	11	9					
14	Число погашенных неиспользованных открепительных удостоверений	651	5	0	0	0	10	0	13	0	0	0	0	0	8	0	0	65	32	0	0	1	12	52	106	79	73	0	0	0	3	44	0	10	32	10	22	0	0	0	0	9	2	4	0	19	0	0	0	8	0	22	0	0	0	0	5	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	0	0	0	0	3	0	0	0	0	6	0	0	1	0	2	0	0	0	0	0	1	0	2	5	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4869	102	85	44	71	87	67	104	45	82	38	41	39	17	69	19	228	120	29	42	42	36	230	218	254	206	112	46	112	62	134	53	54	74	24	54	55	129	20	168	110	53	25	36	81	96	76	180	125	54	73	33	102	41	48	157	139	28					
		16.99%	18.96%	15.98%	17.96%	17.19%	18.13%	20.62%	19.92%	13.85%	16.08%	12.88%	8.69%	13.09%	14.53%	19.17%	10.67%	22.71%	20.17%	13.24%	15.38%	16.09%	16.00%	17.98%	17.12%	20.42%	16.36%	20.55%	13.49%	15.41%	14.80%	19.85%	22.55%	15.98%	14.40%	11.76%	15.56%	14.18%	20.00%	12.42%	20.56%	17.86%	14.02%	13.97%	20.00%	21.37%	14.68%	16.56%	18.22%	19.59%	15.61%	13.04%	9.32%	12.69%	14.44%	19.51%	15.11%	19.80%	11.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3238	58	56	42	54	63	32	52	36	29	14	24	36	16	28	23	101	61	40	33	10	25	143	167	153	141	63	37	66	56	59	31	36	57	23	44	28	86	21	116	66	41	13	13	33	99	35	122	93	42	48	56	95	32	40	167	61	22					
		11.31%	10.78%	10.53%	17.14%	13.08%	13.13%	9.85%	9.96%	11.08%	5.69%	4.75%	5.08%	12.08%	13.68%	7.78%	12.92%	10.06%	10.25%	18.26%	12.09%	3.83%	11.11%	11.18%	13.12%	12.30%	11.20%	11.56%	10.85%	9.08%	13.37%	8.74%	13.19%	10.65%	11.09%	11.27%	12.68%	7.22%	13.33%	13.04%	14.20%	10.71%	10.85%	7.26%	7.22%	8.71%	15.14%	7.63%	12.35%	14.58%	12.14%	8.57%	15.82%	11.82%	11.27%	16.26%	16.07%	8.69%	9.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	696	8	10	5	8	8	4	9	16	61	4	4	1	2	8	3	92	47	14	12	4	13	20	19	18	18	11	10	8	8	38	4	7	6	2	6	7	6	3	3	4	6	4	5	6	6	2	9	5	3	65	4	22	6	1	12	7	2					
		2.43%	1.49%	1.88%	2.04%	1.94%	1.67%	1.23%	1.72%	4.92%	11.96%	1.36%	0.85%	0.34%	1.71%	2.22%	1.69%	9.16%	7.90%	6.39%	4.40%	1.53%	5.78%	1.56%	1.49%	1.45%	1.43%	2.02%	2.93%	1.10%	1.91%	5.63%	1.70%	2.07%	1.17%	0.98%	1.73%	1.80%	0.93%	1.86%	0.37%	0.65%	1.59%	2.23%	2.78%	1.58%	0.92%	0.44%	0.91%	0.78%	0.87%	11.61%	1.13%	2.74%	2.11%	0.41%	1.15%	0.99%	0.84%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5628	120	79	57	91	81	47	107	66	87	38	26	60	13	82	45	188	113	35	55	55	30	323	297	328	256	128	77	147	52	143	28	49	86	28	74	100	110	39	166	117	83	32	24	95	111	108	170	92	54	133	76	150	54	37	216	122	48					
		19.65%	22.30%	14.85%	23.27%	22.03%	16.88%	14.46%	20.50%	20.31%	17.06%	12.88%	5.51%	20.13%	11.11%	22.78%	25.28%	18.73%	18.99%	15.98%	20.15%	21.07%	13.33%	25.25%	23.33%	26.37%	20.33%	23.49%	22.58%	20.22%	12.41%	21.19%	11.91%	14.50%	16.73%	13.73%	21.33%	25.77%	17.05%	24.22%	20.32%	18.99%	21.96%	17.88%	13.33%	25.07%	16.97%	23.53%	17.21%	14.42%	15.61%	23.75%	21.47%	18.66%	19.01%	15.04%	20.79%	17.38%	20.17%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	341	6	4	3	9	6	1	5	4	2	3	0	2	1	6	2	6	5	2	1	3	1	25	26	34	17	5	2	8	5	8	0	3	3	2	4	2	2	3	13	17	5	1	1	2	4	5	6	12	5	6	2	9	2	0	12	13	5					
		1.19%	1.12%	0.75%	1.22%	2.18%	1.25%	0.31%	0.96%	1.23%	0.39%	1.02%	0.00%	0.67%	0.85%	1.67%	1.12%	0.60%	0.84%	0.91%	0.37%	1.15%	0.44%	1.95%	2.04%	2.73%	1.35%	0.92%	0.59%	1.10%	1.19%	1.19%	0.00%	0.89%	0.58%	0.98%	1.15%	0.52%	0.31%	1.86%	1.59%	2.76%	1.32%	0.56%	0.56%	0.53%	0.61%	1.09%	0.61%	1.88%	1.45%	1.07%	0.56%	1.12%	0.70%	0.00%	1.15%	1.85%	2.10%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12933	228	277	84	169	223	161	217	146	215	194	359	146	68	155	79	357	231	95	127	142	114	505	509	422	556	199	157	374	221	258	108	172	269	109	156	184	304	69	335	279	181	94	95	139	321	214	466	307	180	219	169	413	140	115	435	347	125					
