Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Новотроицкая городская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	76398	929	845	1338	1743	1428	1504	1425	1487	1467	1584	1420	1365	1617	1332	1502	1597	1662	1446	1658	1513	1480	2006	1592	1376	1767	1315	2094	2301	1540	1540	1404	1554	1903	1631	1573	1434	1209	1065	691	1737	1028	1467	1294	1085	825	1378	1229	1263	258	518	1685	1386	1184	1724									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76248	935	854	1337	1754	1439	1510	1411	1480	1457	1564	1418	1376	1621	1332	1512	1596	1656	1445	1656	1491	1471	2032	1597	1364	1759	1315	2084	2293	1544	1536	1410	1560	1881	1649	1573	1422	1202	1061	686	1736	1019	1452	1270	1068	825	1381	1214	1268	253	508	1706	1386	1176	1703									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26248	267	240	405	545	439	511	594	538	537	523	394	469	604	498	511	566	547	593	649	521	557	775	605	495	655	529	805	901	546	524	578	555	776	321	448	408	363	290	221	609	344	392	358	295	237	469	495	299	90	182	617	510	366	682									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	453	3	13	6	11	7	12	6	1	6	6	6	8	19	9	15	3	4	6	3	11	8	10	7	6	8	7	3	9	14	11	9	1	1	6	6	9	6	6	9	11	6	11	9	13	7	32	11	14	15	11	9	6	2	5									
6	Число погашенных избирательных бюллетеней	49547	665	601	926	1198	993	987	811	941	914	1035	1018	899	998	825	986	1027	1105	846	1004	959	906	1247	985	863	1096	779	1276	1383	984	1001	823	1004	1104	1322	1119	1005	833	765	456	1116	669	1049	903	760	581	880	708	955	148	315	1080	870	808	1016									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	453	3	13	6	11	7	12	6	1	6	6	6	8	19	9	15	3	4	6	3	11	8	10	7	6	8	7	3	9	14	11	9	1	1	6	6	9	6	6	9	11	6	11	9	13	7	32	11	14	15	11	9	6	2	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26248	267	240	405	545	439	511	594	538	537	523	394	469	604	498	511	566	547	593	649	521	557	775	605	495	655	529	805	901	546	524	578	555	776	321	448	408	363	290	221	609	344	392	358	295	237	469	495	299	90	182	617	510	366	682									
9	Число недействительных избирательных бюллетеней	889	13	8	15	14	17	11	18	23	19	20	6	12	17	19	21	34	17	21	24	25	18	36	15	15	28	16	24	26	27	12	16	9	20	11	9	12	14	21	7	13	12	14	10	9	5	18	19	10	5	6	24	12	19	23									
10	Число действительных избирательных бюллетеней	25812	257	245	396	542	429	512	582	516	524	509	394	465	606	488	505	535	534	578	628	507	547	749	597	486	635	520	784	884	533	523	571	547	757	316	445	405	355	275	223	607	338	389	357	299	239	483	487	303	100	187	602	504	349	664									
