Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Дальнегорская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №1963					
1	"Число избирателей, внесенных в список избирателей"	40556	2142	873	1160	1842	1876	1978	1854	1979	1971	1703	1787	1938	1962	1983	1967	1887	2013	2078	1943	644	1166	463	1868	1290	189					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38800	2100	800	1100	1800	1800	1900	1800	1900	1900	1600	1700	1900	1900	1900	1900	1800	1900	2000	1800	600	1100	400	1800	1200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18354	1028	409	484	810	923	886	878	915	925	696	794	982	738	852	961	908	929	828	780	256	631	145	911	634	51					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	981	101	19	39	28	18	23	56	29	29	26	25	21	50	30	20	35	55	86	63	16	11	16	66	41	78					
6	Число погашенных избирательных бюллетеней	19465	971	372	577	962	859	991	866	956	946	878	881	897	1112	1018	919	857	916	1086	957	328	458	239	823	525	71					
7	Число избирательных бюллетеней в переносных ящиках для голосования	981	101	19	39	28	18	23	56	29	29	26	25	21	50	30	20	35	55	86	63	16	11	16	66	41	78					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18348	1028	408	484	810	923	885	878	911	925	696	794	982	738	852	961	908	929	828	780	256	631	145	911	634	51					
9	Число недействительных избирательных бюллетеней	392	17	8	12	18	24	18	20	16	12	14	3	17	15	21	18	21	26	24	18	3	22	3	20	18	4					
10	Число действительных избирательных бюллетеней	18937	1112	419	511	820	917	890	914	924	942	708	816	986	773	861	963	922	958	890	825	269	620	158	957	657	125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	620	30	20	15	25	25	25	25	30	30	25	25	35	30	30	30	25	30	30	25	10	30	10	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	296	14	10	2	14	15	19	9	27	14	9	12	24	17	11	12	11	7	9	12	2	12	4	24	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	150	8	4	1	7	8	5	6	7	2	2	4	13	14	6	2	3	9	4	6	2	3	10	6	17	1					
14	Число погашенных неиспользованных открепительных удостоверений	324	16	10	13	11	10	6	16	3	16	16	13	11	13	19	18	14	23	21	13	8	18	6	6	24	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	0	1	4	2	0	1	1	0	0	0	3	3	3	1	2	2	2	1	1	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4118	210	102	117	186	208	211	225	221	227	171	183	201	170	193	219	164	218	185	171	53	143	25	157	130	28					
		21.30%	18.60%	23.89%	22.37%	22.20%	22.10%	23.24%	24.09%	23.51%	23.79%	23.68%	22.34%	20.04%	21.57%	21.88%	22.32%	17.39%	22.15%	20.24%	20.28%	19.49%	22.27%	15.53%	16.07%	19.26%	21.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2846	141	63	73	161	138	121	137	156	162	125	123	160	99	128	126	115	178	146	156	53	72	23	94	81	15					
		14.72%	12.49%	14.75%	13.96%	19.21%	14.67%	13.33%	14.67%	16.60%	16.98%	17.31%	15.02%	15.95%	12.56%	14.51%	12.84%	12.20%	18.09%	15.97%	18.51%	19.49%	11.21%	14.29%	9.62%	12.00%	11.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	128	3	4	4	8	4	8	5	7	4	5	2	7	9	10	7	4	7	3	5	5	4	0	8	4	1					
