Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Верхошижемская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
1	"Число избирателей, внесенных в списки"	8252	1486	1179	851	230	240	283	390	464	351	542	528	859	383	466					
2	"Число бюллетеней, полученных участковыми комиссиями"	8270	1480	1186	850	230	243	294	405	460	348	542	518	866	378	470					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4506	808	644	503	82	141	178	234	298	197	235	291	448	233	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	752	49	92	40	87	29	26	35	21	66	66	74	67	39	61					
6	Число погашенных бюллетеней	3012	623	450	307	61	73	90	136	141	85	241	153	351	106	195					
7	Число бюллетеней в переносных ящиках для голосования	752	49	92	40	87	28	26	36	21	66	66	74	67	39	61					
8	Число бюллетеней в стационарных ящиках для голосования	4504	808	643	503	82	141	178	233	298	197	235	291	448	233	214					
9	Число недействительных бюллетеней	115	12	15	10	2	7	7	11	3	6	7	13	11	3	8					
10	Число действительных бюллетеней	5141	845	720	533	167	162	197	258	316	257	294	352	504	269	267					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	97	8	8	8	5	5	5	7	7	7	7	7	8	7	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	4	5	8	0	3	2	7	5	7	4	5	4	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	3	5	0	2	0	2	3	2	1	2	14	1	3					
14	Число погашенных открепительных удостоверений	39	4	3	0	5	2	3	0	2	0	3	2	4	5	6					
15	Число открепительных удостоверений выданных ТИК	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
