Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Ряжская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23606	1033	1125	1374	1138	1249	1270	1071	1147	1347	1349	1347	1113	1220	1384	988	389	224	200	200	286	174	143	290	548	538	425	238	377	614	427	239	139									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23760	960	1130	1370	1130	1260	1230	1080	1150	1290	1340	1350	1120	1230	1400	1000	390	240	200	200	300	180	150	290	550	550	440	240	380	780	440	250	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9530	258	493	521	524	319	491	554	482	566	363	356	367	463	651	397	164	125	130	58	108	91	81	137	236	280	131	117	189	516	186	112	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2090	114	29	108	7	45	112	5	24	56	189	251	49	7	48	66	13	33	18	74	81	32	30	58	78	75	143	48	74	98	59	42	24									
6	Число погашенных избирательных бюллетеней	12140	588	608	741	599	896	627	521	644	668	788	743	704	760	701	537	213	82	52	68	111	57	39	95	236	195	166	75	117	166	195	96	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2090	114	29	108	7	45	112	5	24	56	189	251	49	7	48	66	13	33	18	74	81	32	30	58	78	75	143	48	74	98	59	42	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9530	258	493	521	524	319	491	554	482	566	363	356	367	463	651	397	164	125	130	58	108	91	81	137	236	280	131	117	189	516	186	112	64									
9	Число недействительных избирательных бюллетеней	133	7	6	8	13	12	12	6	10	6	0	1	5	7	0	11	4	0	0	0	6	1	0	0	3	5	0	4	1	2	1	2	0									
10	Число действительных избирательных бюллетеней	11487	365	516	621	518	352	591	553	496	616	552	606	411	463	699	452	173	158	148	132	183	122	111	195	311	350	274	161	262	612	244	152	88									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	7	10	11	13	10	5	5	6	5	5	5	16	10	5	5	3	15	10	10	15	10	10	10	10	10	8	5	5	10	25	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	260	7	6	9	11	8	5	5	6	5	4	5	16	10	5	5	3	15	0	5	15	10	10	2	10	10	8	5	5	10	25	15	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	1	2	3	1	1	4	2	3	0	1	0	2	1	1	2	0	15	0	0	4	4	1	0	3	0	0	2	4	10	4	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	34	0	4	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	10	5	0	0	0	8	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	4	0	2	3	4	1	0	1	1	1	2	0	1	0	1	0	0	0	1	1	0	0	2	1	0	0	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	112	6	7	5	11	7	1	8	2	8	3	3	4	1	8	7	1	2	0	1	1	5	0	1	4	1	3	1	0	2	7	0	2									
		0.96%	1.61%	1.34%	0.79%	2.07%	1.92%	0.17%	1.43%	0.40%	1.29%	0.54%	0.49%	0.96%	0.21%	1.14%	1.51%	0.56%	1.27%	0.00%	0.76%	0.53%	4.07%	0.00%	0.51%	1.27%	0.28%	1.09%	0.61%	0.00%	0.33%	2.86%	0.00%	2.27%									
