Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																		
Дата голосования: 04.12.2011																																																																																																																																																		
																																																																																																																																																		
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																		
																																																																																																																																																		
Сводная таблица результатов выборов																																																																																																																																																		
																																																																																																																																																		
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №1849	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1859	УИК №1860	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1874	УИК №1875	УИК №1876	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923					
1	"Число избирателей, внесенных в список избирателей"	152373	1932	1227	1443	1938	1423	2623	826	1759	1868	2023	1375	1463	2447	1426	1711	2180	2342	1969	1489	1973	2012	1889	2281	1950	2533	1609	2408	1298	739	2534	1615	1892	2404	1090	1821	1724	832	1729	1649	1853	1797	1851	1608	1628	2271	2086	1960	1460	2040	2151	1903	2462	1742	2544	1816	2039	1967	2033	1527	2135	2489	1945	1871	1842	2246	2341	2504	2734	2866	2669	1931	2201	2778	2211	127	607	215	662	2536	2500	964	813	350	11	11	11	11	12	11	10	12	12	12	11	11	12	10	10	11	13	11	11	11	10	11	11	11	10	11	10	10	10	10	10	10	11	10	11	11	11	11	11	11	7	11	11	11	12	11	11	11	11	11	10	11	25	25	25	14					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117152	1300	800	1000	1400	1000	1600	600	1200	900	1500	1000	1100	1800	1100	1200	1500	1600	1400	1000	1300	1300	1300	1500	1300	1700	1100	1700	900	1000	1800	1100	1300	1600	800	1300	1250	1050	1350	1100	1300	1300	1300	1100	1100	1600	1600	1500	1200	1600	1800	1400	2500	1350	2150	1400	1500	1350	1700	1300	1700	1800	1500	1500	1500	1800	1600	1900	2000	1700	2000	1300	1800	2000	1800	250	1000	500	1000	2500	2500	2300	750	1000	11	11	11	11	12	11	10	12	12	12	11	11	12	10	10	11	13	11	11	11	10	11	11	11	10	11	10	10	10	10	10	10	11	10	11	11	11	11	11	11	7	11	11	11	12	11	11	11	11	11	10	11	25	25	25	14					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	89030	737	630	593	868	779	914	320	615	849	972	676	690	1118	663	821	855	1033	984	714	986	971	980	1085	1017	1231	851	1218	726	723	1180	811	911	1119	565	968	856	809	1073	873	981	1162	1031	1079	904	1512	1513	1456	971	1327	1300	1247	2361	1164	1918	1337	1197	1293	1586	1214	1385	1645	1321	1231	1242	1554	1264	1614	1545	1558	1867	1131	1592	1348	1573	127	588	215	474	1965	1936	108	740	35	10	11	11	11	12	11	10	12	12	12	11	11	12	10	10	11	13	11	11	10	10	11	11	11	10	11	9	10	10	8	10	10	11	10	11	11	11	11	11	11	7	10	11	9	12	11	6	11	11	11	10	11	25	23	25	12					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1441	8	15	7	1	10	143	5	6	9	13	8	2	15	5	9	24	10	17	16	12	16	12	21	19	26	20	23	25	15	9	15	11	14	12	35	24	23	19	16	24	20	14	21	33	30	22	9	29	20	18	34	19	41	18	30	11	20	28	13	30	16	16	13	23	21	14	22	18	28	21	22	18	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	26651	555	155	400	531	211	543	275	579	42	515	316	408	667	432	370	621	557	399	270	302	313	308	394	264	443	229	459	149	262	611	274	378	467	223	297	370	218	258	211	295	118	255	0	163	58	65	35	200	253	482	95	120	145	214	33	292	37	86	73	285	139	163	256	235	225	322	264	437	114	112	147	190	626	212	123	412	285	526	535	564	2192	10	965	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	5	0	0	0	0	0	0	2	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1436	8	15	7	1	10	143	5	6	9	13	8	2	15	0	9	24	10	17	16	12	16	12	21	19	26	20	23	25	15	9	15	11	14	12	35	24	23	19	16	24	20	14	21	33	30	22	9	29	20	18	34	19	41	18	30	11	20	28	13	30	16	16	13	23	21	14	22	18	28	21	22	18	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87491	737	629	591	867	700	914	319	613	839	972	676	690	1118	663	821	853	1033	984	714	963	969	970	1082	1016	1229	849	1215	726	723	1180	810	911	1105	565	968	856	809	1054	871	952	985	954	1047	904	1398	1513	1451	971	1148	1300	1247	2361	1153	1897	1283	1080	1097	1586	1214	1385	1645	1305	1231	1221	1554	1264	1611	1545	1306	1844	1130	1588	1328	1567	127	588	215	474	1965	1936	108	740	35	10	11	11	11	12	11	10	12	12	12	11	11	12	10	10	11	13	11	11	10	10	11	11	11	10	11	9	9	10	8	10	10	11	10	11	11	11	11	11	11	7	10	11	9	12	11	6	11	11	11	10	11	25	23	25	12					
9	Число недействительных избирательных бюллетеней	1151	12	10	4	16	9	24	9	10	0	16	16	9	15	14	32	18	15	26	17	14	14	7	23	14	21	9	13	10	15	13	8	9	23	6	49	14	9	3	21	25	17	13	21	15	30	25	24	13	16	27	18	26	13	20	18	8	10	21	10	6	21	0	8	15	22	14	12	4	31	19	0	8	25	0	0	3	0	8	0	0	0	0	0	0	1	1	0	0	0	0	2	5	0	1	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	87776	733	634	594	852	701	1033	315	609	848	969	668	683	1118	649	798	859	1028	975	713	961	971	975	1080	1021	1234	860	1225	741	723	1176	817	913	1096	571	954	866	823	1070	866	951	988	955	1047	922	1398	1510	1436	987	1152	1291	1263	2354	1181	1895	1295	1083	1107	1593	1217	1409	1640	1321	1236	1229	1553	1264	1621	1559	1303	1846	1152	1598	1323	1582	127	585	215	466	1965	1936	108	740	35	10	10	10	11	12	11	10	10	7	12	10	11	12	10	10	11	12	11	10	9	10	11	9	11	10	11	9	9	10	8	10	10	11	9	11	11	11	11	11	11	7	10	11	9	12	11	6	10	11	11	10	11	25	22	25	12					
