Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Козульская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1472	УИК №1473	УИК №1476	УИК №1477	УИК №1478	УИК №1479									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13060	1043	976	1129	755	1085	1021	130	698	165	264	252	633	358	260	582	144	473	50	991	1013	1038									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13143	1060	980	1135	755	1090	1017	140	695	158	263	251	669	355	272	584	147	466	51	993	1020	1042									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4350	370	348	385	296	428	317	95	248	35	103	74	258	97	97	267	54	205	10	197	246	220									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	764	70	48	48	12	25	34	0	49	32	2	13	37	42	8	54	31	53	19	80	56	51									
6	Число погашенных избирательных бюллетеней	8029	620	584	702	447	637	666	45	398	91	158	164	374	216	167	263	62	208	22	716	718	771									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	764	70	48	48	12	25	34	0	49	32	2	13	37	42	8	54	31	53	19	80	56	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4350	370	348	385	296	428	317	95	248	35	103	74	258	97	97	267	54	205	10	197	246	220									
9	Число недействительных избирательных бюллетеней	138	5	13	8	4	12	12	1	9	2	4	1	4	1	5	15	3	8	1	10	8	12									
10	Число действительных избирательных бюллетеней	4976	435	383	425	304	441	339	94	288	65	101	86	291	138	100	306	82	250	28	267	294	259									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	30	25	30	25	30	30	30	25	15	15	15	25	15	20	15	15	15	15	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	8	3	3	1	10	0	11	4	0	1	1	1	1	3	5	0	0	0	2	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	4	2	4	2	2	5	3	6	8	6	3	8	6	1	3	2	4	0	2	2	0									
