Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Исетская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355					
1	"Число избирателей, внесенных в список"	17851	1499	1653	2044	468	213	550	75	86	398	212	82	1416	105	131	248	1048	322	388	355	620	573	793	874	816	306	144	94	145	510	137	110	299	782	133	148	74					
2	Число полученных избирательных бюллетеней	18960	1546	1619	2147	505	224	566	81	87	410	218	88	1599	106	140	280	1139	370	424	377	639	594	812	996	868	344	148	117	163	548	144	121	327	837	145	153	78					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14442	1120	1162	1497	406	186	481	66	78	350	166	69	1018	84	108	210	919	241	318	297	555	518	668	761	669	253	137	81	121	434	124	108	281	652	102	128	74					
5	"Число избирательных бюллетеней, выданных вне помещения"	1559	65	176	88	48	19	64	9	8	32	34	13	152	13	10	17	72	62	49	29	17	49	50	109	90	37	0	10	21	53	13	0	18	81	31	20	0					
6	Число погашенных избирательных бюллетеней	2959	361	281	562	51	19	21	6	1	28	18	6	429	9	22	53	148	67	57	51	67	27	94	126	109	54	11	26	21	61	7	13	28	104	12	5	4					
7	Число избирательных бюллетеней в переносных ящиках	1559	65	176	88	48	19	64	9	8	32	34	13	152	13	10	17	72	62	49	29	17	49	50	109	90	37	0	10	21	53	13	0	18	81	31	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	14442	1120	1162	1497	406	186	481	66	78	350	166	69	1018	84	108	210	919	241	318	297	555	518	668	761	669	253	137	81	121	434	124	108	281	652	102	128	74					
9	Число недействительных избирательных бюллетеней	123	6	8	17	4	1	0	1	0	3	1	2	18	0	0	3	8	5	1	1	7	4	6	0	7	3	0	1	1	9	0	0	2	4	0	0	0					
10	Число действительных избирательных бюллетеней	15878	1179	1330	1568	450	204	545	74	86	379	199	80	1152	97	118	224	983	298	366	325	565	563	712	870	752	287	137	90	141	478	137	108	297	729	133	148	74					
