Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Горьковская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в списки избирателей"	18004	270	140	252	991	732	163	256	96	124	672	1168	1407	962	1069	401	214	165	177	97	84	90	631	136	674	77	204	786	137	864	110	576	182	402	134	206	706	188	120	142	957	333	382	123	200	204					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18279	273	140	250	1000	750	165	262	90	130	730	1100	1300	1000	1050	400	212	170	190	110	85	90	665	135	700	75	210	810	135	890	120	600	190	460	135	210	750	185	125	140	970	330	390	130	210	217					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12162	148	92	172	734	504	163	192	87	115	384	673	779	632	688	214	182	115	134	86	74	85	371	99	416	63	154	472	90	604	73	529	161	338	92	122	491	163	104	94	583	181	267	113	152	177					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1523	46	11	23	66	121	0	14	3	0	176	83	66	67	49	70	8	14	28	3	4	5	62	18	53	8	13	95	7	77	3	36	0	18	15	22	63	3	0	12	90	34	6	0	12	19					
6	Число погашенных избирательных бюллетеней	4594	79	37	55	200	125	2	56	0	15	170	344	455	301	313	116	22	41	28	21	7	0	232	18	231	4	43	243	38	209	44	35	29	104	28	66	196	19	21	34	297	115	117	17	46	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1523	46	11	23	66	121	0	14	3	0	176	83	66	67	49	70	8	14	28	3	4	5	62	18	53	8	13	95	7	77	3	36	0	18	15	22	63	3	0	12	90	34	6	0	12	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12162	148	92	172	734	504	163	192	87	115	384	673	779	632	688	214	182	115	134	86	74	85	371	99	416	63	154	472	90	604	73	529	161	338	92	122	491	163	104	94	583	181	267	113	152	177					
9	Число недействительных избирательных бюллетеней	196	1	3	1	39	10	4	6	0	1	0	5	3	7	14	8	5	1	0	1	1	1	3	1	4	0	2	1	2	16	4	4	0	9	2	0	16	5	0	4	5	0	1	3	0	3					
10	Число действительных избирательных бюллетеней	13489	193	100	194	761	615	159	200	90	114	560	751	842	692	723	276	185	128	162	88	77	89	430	116	465	71	165	566	95	665	72	561	161	347	105	144	538	161	104	102	668	215	272	110	164	193					
