Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Еланская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763					
1	"Число избирателей, внесенных в список"	27045	1544	1651	1573	1650	1707	2128	1609	1123	307	108	428	613	792	768	1081	468	1199	1153	221	846	1215	1304	472	692	622	226	258	242	271	185	589					
2	Число полученных избирательных бюллетеней	27200	1552	1665	1579	1624	1692	2127	1582	1132	320	110	434	625	798	791	1099	476	1205	1166	227	857	1227	1326	477	698	626	224	259	248	273	187	594					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15875	869	892	845	791	853	1177	690	601	266	98	252	424	605	540	793	327	456	643	198	537	814	894	305	389	405	175	176	164	207	133	356					
5	"Число избирательных бюллетеней, выданных вне помещения"	1843	40	68	64	88	126	46	132	188	18	0	97	13	31	67	12	51	197	107	6	56	92	36	34	86	24	26	39	21	12	8	58					
6	Число погашенных избирательных бюллетеней	9481	643	705	670	745	713	904	760	343	36	12	85	188	162	184	294	98	551	416	23	264	321	396	138	223	197	23	44	63	54	46	180					
7	Число избирательных бюллетеней в переносных ящиках	1843	40	68	64	88	126	46	132	188	18	0	97	13	31	67	12	51	197	107	6	56	92	36	34	86	24	26	39	21	12	8	58					
8	Число бюллетеней в стационарных ящиках для голосования	15871	867	892	845	791	853	1177	690	601	266	98	252	424	605	540	793	327	456	641	198	537	814	894	305	389	405	175	176	164	207	133	356					
9	Число недействительных избирательных бюллетеней	110	6	7	1	9	2	4	6	3	2	0	4	2	7	6	9	5	2	5	0	7	2	5	1	4	0	0	3	2	1	3	2					
10	Число действительных избирательных бюллетеней	17604	901	953	908	870	977	1219	816	786	282	98	345	435	629	601	796	373	651	743	204	586	904	925	338	471	429	201	212	183	218	138	412					
11	Число полученных открепительных  удостоверений	394	25	26	26	25	26	30	26	15	5	5	5	5	10	15	15	5	15	10	5	10	15	15	5	10	10	5	5	5	5	5	10					
12	Число выданных открепительных удостоверений	128	15	8	5	3	4	13	6	4	3	1	3	3	7	13	0	2	4	2	0	8	2	7	1	4	1	1	4	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	10	2	3	9	4	2	0	1	1	0	0	0	3	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	266	10	18	21	22	22	17	20	11	2	4	2	2	3	2	15	3	11	8	5	2	13	8	4	6	9	4	1	5	5	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	558	38	22	41	43	41	82	35	11	15	1	5	12	17	13	17	7	11	21	3	13	31	24	11	3	17	2	2	4	10	0	6					
		3.15%	4.19%	2.29%	4.51%	4.89%	4.19%	6.70%	4.26%	1.39%	5.28%	1.02%	1.43%	2.75%	2.67%	2.14%	2.11%	1.85%	1.68%	2.81%	1.47%	2.19%	3.42%	2.58%	3.24%	0.63%	3.96%	1.00%	0.93%	2.16%	4.57%	0.00%	1.45%					
19	. Малышкин Олег Александрович	541	26	40	33	14	19	41	17	17	15	0	10	7	27	11	39	5	34	27	4	12	28	18	16	11	16	3	8	13	8	4	18					
		3.05%	2.87%	4.17%	3.63%	1.59%	1.94%	3.35%	2.07%	2.15%	5.28%	0.00%	2.87%	1.60%	4.25%	1.81%	4.84%	1.32%	5.21%	3.61%	1.96%	2.02%	3.09%	1.94%	4.72%	2.32%	3.73%	1.49%	3.72%	7.03%	3.65%	2.84%	4.35%					
20	. Миронов Сергей Михайлович	83	6	6	2	9	5	8	3	1	1	0	1	1	4	1	3	1	3	4	0	0	3	3	3	2	5	2	0	0	3	2	1					
		0.47%	0.66%	0.62%	0.22%	1.02%	0.51%	0.65%	0.36%	0.13%	0.35%	0.00%	0.29%	0.23%	0.63%	0.16%	0.37%	0.26%	0.46%	0.53%	0.00%	0.00%	0.33%	0.32%	0.88%	0.42%	1.17%	1.00%	0.00%	0.00%	1.37%	1.42%	0.24%					
21	. Путин Владимир Владимирович	9450	481	536	513	500	547	668	468	322	181	44	224	262	261	394	351	266	396	362	164	216	547	545	141	238	228	151	108	51	102	73	110					
		53.35%	53.03%	55.83%	56.44%	56.88%	55.87%	54.62%	56.93%	40.81%	63.73%	44.90%	64.18%	59.95%	41.04%	64.91%	43.60%	70.37%	60.64%	48.40%	80.39%	36.42%	60.38%	58.60%	41.59%	50.11%	53.15%	75.12%	50.23%	27.57%	46.58%	51.77%	26.57%					
22	. Хакамада Ирина Муцуовна	304	30	15	13	19	24	28	14	6	8	3	7	11	12	5	15	7	12	7	1	3	16	9	1	2	9	7	2	6	2	2	8					
		1.72%	3.31%	1.56%	1.43%	2.16%	2.45%	2.29%	1.70%	0.76%	2.82%	3.06%	2.01%	2.52%	1.89%	0.82%	1.86%	1.85%	1.84%	0.94%	0.49%	0.51%	1.77%	0.97%	0.29%	0.42%	2.10%	3.48%	0.93%	3.24%	0.91%	1.42%	1.93%					
23	. Харитонов Николай Михайлович	6315	308	315	283	268	315	332	265	411	57	49	94	137	302	167	357	81	192	299	29	337	267	313	156	202	151	27	90	106	91	54	260					
		35.65%	33.96%	32.81%	31.13%	30.49%	32.18%	27.15%	32.24%	52.09%	20.07%	50.00%	26.93%	31.35%	47.48%	27.51%	44.35%	21.43%	29.40%	39.97%	14.22%	56.83%	29.47%	33.66%	46.02%	42.53%	35.20%	13.43%	41.86%	57.30%	41.55%	38.30%	62.80%					
																																						
24	Против всех	353	12	19	23	17	26	60	14	18	5	1	4	5	6	10	14	6	3	23	3	5	12	13	10	13	3	9	2	3	2	3	9					
		1.99%	1.32%	1.98%	2.53%	1.93%	2.66%	4.91%	1.70%	2.28%	1.76%	1.02%	1.15%	1.14%	0.94%	1.65%	1.74%	1.59%	0.46%	3.07%	1.47%	0.84%	1.32%	1.40%	2.95%	2.74%	0.70%	4.48%	0.93%	1.62%	0.91%	2.13%	2.17%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
