Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Порецкая																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515					
1	"Число избирателей, внесенных в списки"	13391	683	417	231	385	104	670	116	294	200	1371	73	37	304	95	99	705	184	1076	742	1097	945	1098	393	370	119	420	499	142	90	398	34					
2	"Число бюллетеней, полученных участковыми комиссиями"	12695	662	398	210	362	98	635	115	277	191	1291	70	39	281	87	93	673	175	1022	703	1031	922	1052	370	348	109	394	468	138	82	365	34					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8939	385	258	180	269	80	387	91	243	156	902	52	35	204	62	54	484	93	718	490	721	599	705	221	255	86	299	397	93	67	333	20					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	964	50	28	28	38	3	71	5	17	14	89	7	0	18	22	24	80	58	51	28	47	53	35	50	45	8	25	28	13	6	17	6					
6	Число погашенных бюллетеней	2792	227	112	2	55	15	177	19	17	21	300	11	4	59	3	15	109	24	253	185	263	270	312	99	48	15	70	43	32	9	15	8					
7	Число бюллетеней в переносных ящиках для голосования	964	50	28	28	38	3	71	5	17	14	89	7	0	18	22	24	80	58	51	28	47	53	35	50	45	8	25	28	13	6	17	6					
8	Число бюллетеней в стационарных ящиках для голосования	8939	385	258	180	269	80	387	91	243	156	902	52	35	204	62	54	484	93	718	490	721	599	705	221	255	86	299	397	93	67	333	20					
9	Число недействительных бюллетеней	278	0	7	8	0	0	26	3	5	6	18	0	0	6	4	1	5	2	27	15	10	24	12	10	3	9	4	69	0	1	3	0					
10	Число действительных бюллетеней	9625	435	279	200	307	83	432	93	255	164	973	59	35	216	80	77	559	149	742	503	758	628	728	261	297	85	320	356	106	72	347	26					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	340	17	10	6	10	3	16	3	7	5	34	2	1	7	2	2	18	5	29	20	29	26	29	9	9	3	10	11	3	2	9	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	134	10	0	1	2	0	4	1	0	0	16	0	0	1	0	0	8	0	6	7	18	24	13	3	5	0	2	10	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	2	4	6	2	2	8	4	2	1	3	1	3	4	3	1	4	1	5	1	3	0	2	3	2	3	4	6	0	2	2	2					
14	Число погашенных открепительных удостоверений	206	7	10	5	8	3	12	2	7	5	18	2	1	6	2	2	10	5	23	13	11	2	16	6	4	3	8	1	2	2	7	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
