Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Кохомская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273					
1	"Число избирателей, внесенных в список"	21430	2004	948	1773	1028	1761	1810	2084	1837	920	1051	2119	1299	2056	740					
2	Число полученных избирательных бюллетеней	20050	1900	850	1700	950	1700	1700	1900	1700	850	1000	1950	1250	1900	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9811	920	468	727	425	804	812	1036	874	440	562	913	597	949	284					
5	"Число избирательных бюллетеней, выданных вне помещения"	567	104	50	26	46	35	39	17	54	48	37	13	17	45	36					
6	Число погашенных избирательных бюллетеней	9672	876	332	947	479	861	849	847	772	362	401	1024	636	906	380					
7	Число избирательных бюллетеней в переносных ящиках	567	104	50	26	46	35	39	17	54	48	37	13	17	45	36					
8	Число бюллетеней в стационарных ящиках для голосования	9811	920	468	727	425	804	812	1036	874	440	562	913	597	949	284					
9	Число недействительных избирательных бюллетеней	70	6	2	11	2	6	4	4	9	8	0	9	2	4	3					
10	Число действительных избирательных бюллетеней	10308	1018	516	742	469	833	847	1049	919	480	599	917	612	990	317					
11	Число полученных открепительных  удостоверений	180	15	10	15	10	15	15	15	15	10	10	15	10	15	10					
12	Число выданных открепительных удостоверений	79	7	2	12	3	4	8	8	6	9	3	5	5	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	16	2	1	7	5	7	7	5	6	8	2	4	7	4					
14	Число неиспользованных открепительных удостоверений	101	8	8	3	7	11	7	7	9	1	7	10	5	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	464	54	17	34	14	36	37	66	51	19	19	44	28	36	9					
		4.47%	5.27%	3.28%	4.52%	2.97%	4.29%	4.35%	6.27%	5.50%	3.89%	3.17%	4.75%	4.56%	3.62%	2.81%					
19	. Малышкин Олег Александрович	277	35	8	18	11	31	29	36	22	8	6	30	7	26	10					
		2.67%	3.42%	1.54%	2.39%	2.34%	3.69%	3.41%	3.42%	2.37%	1.64%	1.00%	3.24%	1.14%	2.62%	3.12%					
20	. Миронов Сергей Михайлович	85	11	5	4	0	6	6	4	7	6	12	4	8	10	2					
		0.82%	1.07%	0.97%	0.53%	0.00%	0.72%	0.71%	0.38%	0.75%	1.23%	2.00%	0.43%	1.30%	1.01%	0.62%					
21	. Путин Владимир Владимирович	7596	769	400	571	373	590	599	725	661	364	460	655	463	719	247					
		73.19%	75.10%	77.22%	75.83%	79.19%	70.32%	70.39%	68.85%	71.23%	74.59%	76.79%	70.73%	75.41%	72.33%	77.19%					
22	. Хакамада Ирина Муцуовна	355	31	9	25	9	42	29	49	39	15	20	33	16	31	7					
		3.42%	3.03%	1.74%	3.32%	1.91%	5.01%	3.41%	4.65%	4.20%	3.07%	3.34%	3.56%	2.61%	3.12%	2.19%					
23	. Харитонов Николай Михайлович	1191	92	67	65	45	92	116	117	104	55	72	120	76	134	36					
		11.48%	8.98%	12.93%	8.63%	9.55%	10.97%	13.63%	11.11%	11.21%	11.27%	12.02%	12.96%	12.38%	13.48%	11.25%					
																					
24	Против всех	340	26	10	25	17	36	31	52	35	13	10	31	14	34	6					
		3.28%	2.54%	1.93%	3.32%	3.61%	4.29%	3.64%	4.94%	3.77%	2.66%	1.67%	3.35%	2.28%	3.42%	1.88%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
