Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Дигорская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №349									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14933	1514	1821	1427	1157	1741	1111	799	790	873	1050	748	564	1259	79									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14500	1430	1740	1400	1100	1700	1100	800	800	850	1000	700	500	1300	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12288	1345	1469	1203	821	1431	964	770	604	708	865	660	255	1114	79									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	530	23	48	36	37	55	23	21	24	60	63	32	17	91	0									
6	Число погашенных избирательных бюллетеней	1682	62	223	161	242	214	113	9	172	82	72	8	228	95	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	530	23	48	36	37	55	23	21	24	60	63	32	17	91	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12288	1345	1469	1203	821	1431	964	770	604	708	865	660	255	1114	79									
9	Число недействительных избирательных бюллетеней	90	7	14	3	4	11	15	3	6	0	3	3	7	10	4									
10	Число действительных избирательных бюллетеней	12728	1361	1503	1236	854	1475	972	788	622	768	925	689	265	1195	75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	9	6	9	9	10	9	7	9	5	7	5	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	1	0	4	2	4	4	6	7	5	6	5	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	0	4	2	2	5	2	2	1	0	5	2	5	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	49	8	6	5	7	6	5	1	2	0	1	0	4	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	2	1	0	0	0	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	260	24	42	29	2	10	75	20	3	10	8	3	7	27	0									
		2.03%	1.75%	2.77%	2.34%	0.23%	0.67%	7.60%	2.53%	0.48%	1.30%	0.86%	0.43%	2.57%	2.24%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	177	2	90	16	4	7	36	7	0	0	10	0	4	0	1									
		1.38%	0.15%	5.93%	1.29%	0.47%	0.47%	3.65%	0.88%	0.00%	0.00%	1.08%	0.00%	1.47%	0.00%	1.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	63	3	11	5	1	3	15	4	0	0	5	0	3	11	2									
		0.49%	0.22%	0.73%	0.40%	0.12%	0.20%	1.52%	0.51%	0.00%	0.00%	0.54%	0.00%	1.10%	0.91%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7770	899	867	720	553	880	497	448	418	511	529	464	126	803	55									
		60.62%	65.72%	57.15%	58.11%	64.45%	59.22%	50.35%	56.64%	66.56%	66.54%	57.00%	67.05%	46.32%	66.64%	69.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	1	0	0	3	2	0	3	0	0	2	0	0	0	0									
		0.09%	0.07%	0.00%	0.00%	0.35%	0.13%	0.00%	0.38%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	3	0	6	4	4	0	4	0	0	3	0	0	0	0									
		0.19%	0.22%	0.00%	0.48%	0.47%	0.27%	0.00%	0.51%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	194	15	42	8	9	7	42	19	4	7	11	5	8	15	2									
		1.51%	1.10%	2.77%	0.65%	1.05%	0.47%	4.26%	2.40%	0.64%	0.91%	1.19%	0.72%	2.94%	1.24%	2.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	6	0	33	2	3	0	2	0	13	1	0	0	0	0									
		0.47%	0.44%	0.00%	2.66%	0.23%	0.20%	0.00%	0.25%	0.00%	1.69%	0.11%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	2	0	3	2	2	0	5	0	7	2	0	0	0	0									
		0.18%	0.15%	0.00%	0.24%	0.23%	0.13%	0.00%	0.63%	0.00%	0.91%	0.22%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	4	0	0	3	1	3	1	0	8	4	0	0	0	0									
		0.19%	0.29%	0.00%	0.00%	0.35%	0.07%	0.30%	0.13%	0.00%	1.04%	0.43%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	47	7	11	4	3	3	6	4	0	0	4	0	1	4	0									
		0.37%	0.51%	0.73%	0.32%	0.35%	0.20%	0.61%	0.51%	0.00%	0.00%	0.43%	0.00%	0.37%	0.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2344	157	188	274	213	350	123	160	127	121	201	146	20	260	4									
		18.29%	11.48%	12.39%	22.11%	24.83%	23.55%	12.46%	20.23%	20.22%	15.76%	21.66%	21.10%	7.35%	21.58%	5.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	944	140	126	49	21	100	94	58	51	76	67	54	82	20	6									
		7.36%	10.23%	8.31%	3.95%	2.45%	6.73%	9.52%	7.33%	8.12%	9.90%	7.22%	7.80%	30.15%	1.66%	7.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	787	98	126	89	34	103	81	53	19	15	78	17	14	55	5									
		6.14%	7.16%	8.31%	7.18%	3.96%	6.93%	8.21%	6.70%	3.03%	1.95%	8.41%	2.46%	5.15%	4.56%	6.33%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
