Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Искитимская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327					
1	"Число избирателей, внесенных в списки избирателей"	53877	1730	1484	1368	1872	1526	1957	1335	1429	1491	1452	1450	976	1041	435	616	196	377	310	1023	1319	301	201	1220	701	255	126	221	120	1116	989	214	418	517	123	244	134	633	121	147	153	688	206	89	243	513	158	253	269	581	1557	739	674	109	1702	1044	675	372	1602	1172	176	152	170	1836	694	495	143	1456	473	211	317	306	640	563	323	144	463	247	194	557	330					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	51991	1650	1450	1350	1800	1500	1550	1300	1400	1450	1450	1400	950	1000	400	600	150	350	300	1000	1300	250	150	1200	700	250	100	200	100	1100	950	200	400	500	100	211	150	600	100	150	150	650	200	96	200	800	150	250	250	550	1550	700	650	100	1700	1000	650	350	1600	1100	150	150	150	1800	650	450	139	1450	450	200	300	300	600	550	300	145	450	200	200	550	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31877	947	961	860	1181	899	863	879	923	805	887	883	609	712	326	336	124	203	198	654	788	201	118	582	421	172	68	137	93	647	451	149	344	378	89	192	99	459	78	106	119	398	144	64	143	451	84	148	171	319	1016	429	382	76	894	457	313	220	908	539	111	84	119	924	229	234	78	780	293	172	197	204	420	374	250	107	309	151	143	359	242					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2692	70	27	18	21	16	482	20	22	30	17	17	40	31	16	51	12	25	17	27	101	9	17	29	43	0	5	12	0	61	121	11	11	27	0	12	27	10	10	7	22	33	6	7	8	62	6	13	12	52	76	52	39	2	41	36	30	10	37	88	13	11	0	80	38	101	11	46	11	7	29	9	48	42	27	14	23	9	14	23	32					
6	Число погашенных избирательных бюллетеней	17422	633	462	472	598	585	205	401	455	615	546	500	301	257	58	213	14	122	85	319	411	40	15	589	236	78	27	51	7	392	378	40	45	95	11	7	24	131	12	37	9	219	50	25	49	287	60	89	67	179	458	219	229	22	765	507	307	120	655	473	26	55	31	796	383	115	50	624	146	21	74	87	132	134	23	24	118	40	43	168	76					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2691	70	27	18	21	16	482	20	22	30	17	17	40	31	16	51	12	25	17	27	101	9	17	29	43	0	5	12	0	60	121	11	11	27	0	12	27	10	10	7	22	33	6	7	8	62	6	13	12	52	76	52	39	2	41	36	30	10	37	88	13	11	0	80	38	101	11	46	11	7	29	9	48	42	27	14	23	9	14	23	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31863	947	959	860	1181	899	863	879	923	805	887	880	607	712	326	336	124	203	198	654	788	201	117	582	421	172	68	137	93	647	451	149	344	378	89	192	99	459	78	106	119	398	144	64	143	451	84	148	171	319	1016	429	382	76	891	457	313	220	908	539	111	84	119	924	229	234	78	780	293	172	197	204	420	372	249	107	309	151	143	359	242					
9	Число недействительных избирательных бюллетеней	447	18	9	10	15	18	25	14	11	15	8	9	5	11	0	3	0	2	6	14	8	5	0	8	4	1	0	2	0	14	12	1	2	7	0	4	5	4	0	3	1	3	2	1	7	5	2	2	2	2	3	5	16	2	11	3	3	0	13	3	0	2	0	11	2	4	0	6	6	0	7	5	8	8	1	5	7	4	5	6	1					
10	Число действительных избирательных бюллетеней	34107	999	977	868	1187	897	1320	885	934	820	896	888	642	732	342	384	136	226	209	667	881	205	134	603	460	171	73	147	93	693	560	159	353	398	89	200	121	465	88	110	140	428	148	70	144	508	88	159	181	369	1089	476	405	76	921	490	340	230	932	624	124	93	119	993	265	331	89	820	298	179	219	208	460	406	275	116	325	156	152	376	273					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	643	5	12	9	14	9	10	14	8	7	10	7	5	9	10	4	2	3	3	10	14	3	2	6	11	1	2	3	0	15	5	3	0	15	1	3	45	3	3	2	2	17	12	8	3	7	2	3	9	4	24	5	5	2	9	7	6	4	7	5	2	7	2	29	5	14	2	20	4	2	0	3	13	14	3	0	19	5	2	36	32					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	604	5	12	9	14	9	9	13	8	6	10	7	5	9	10	4	2	3	0	10	14	3	2	4	11	1	2	3	0	15	5	3	0	15	1	3	45	3	3	2	2	17	12	8	3	7	0	3	9	4	24	5	5	0	9	7	3	4	7	5	2	6	2	16	1	14	2	20	4	2	0	3	12	14	3	0	19	4	2	32	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	367	8	3	6	15	3	4	6	8	1	12	6	3	12	2	7	4	4	2	3	8	1	1	15	4	4	5	2	0	11	13	3	2	7	0	1	4	5	0	1	1	6	1	1	2	6	2	5	4	1	7	1	1	5	8	3	3	0	7	11	2	2	2	5	2	8	2	29	1	0	1	1	10	7	1	2	5	2	1	5	8					
14	Число погашенных неиспользованных открепительных удостоверений	39	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	13	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
18	1.Политическая партия «Аграрная партия России»	708	21	18	12	21	12	19	17	14	15	17	17	18	29	4	11	2	4	1	17	9	13	1	14	17	4	1	4	0	16	14	3	3	10	1	0	3	5	2	0	4	6	4	2	3	16	3	3	6	8	21	15	12	0	20	8	4	1	31	20	2	2	3	15	2	2	0	24	8	6	2	4	1	15	2	9	2	4	24	2	3					
		2.05%	2.06%	1.83%	1.37%	1.75%	1.31%	1.41%	1.89%	1.48%	1.80%	1.88%	1.90%	2.78%	3.90%	1.17%	2.84%	1.47%	1.75%	0.47%	2.50%	1.01%	6.19%	0.75%	2.29%	3.66%	2.33%	1.37%	2.68%	0.00%	2.26%	2.45%	1.88%	0.85%	2.47%	1.12%	0.00%	2.38%	1.07%	2.27%	0.00%	2.84%	1.39%	2.67%	2.82%	1.99%	3.12%	3.33%	1.86%	3.28%	2.16%	1.92%	3.12%	2.85%	0.00%	2.15%	1.62%	1.17%	0.43%	3.28%	3.19%	1.61%	2.11%	2.52%	1.49%	0.75%	0.60%	0.00%	2.91%	2.63%	3.35%	0.88%	1.88%	0.21%	3.62%	0.72%	7.44%	0.60%	2.50%	15.29%	0.52%	1.09%					
19	2.Всероссийская политическая партия «Гражданская Сила»	169	5	11	4	14	6	8	10	7	5	7	6	4	4	0	1	1	1	1	5	2	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	0	3	0	0	0	5	2	1	0	2	6	1	0	1	5	4	1	0	1	8	1	2	0	0	2	0	2	2	2	5	1	1	0	0	0	0	0					
		0.49%	0.49%	1.12%	0.46%	1.16%	0.66%	0.59%	1.11%	0.74%	0.60%	0.77%	0.67%	0.62%	0.54%	0.00%	0.26%	0.74%	0.44%	0.47%	0.73%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.35%	0.00%	0.28%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.71%	0.23%	0.67%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	1.35%	0.18%	0.21%	0.00%	2.56%	0.64%	0.20%	0.00%	0.43%	0.53%	0.64%	0.81%	0.00%	0.84%	0.80%	0.37%	0.60%	0.00%	0.00%	0.66%	0.00%	0.88%	0.94%	0.43%	1.21%	0.36%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	55	2	2	5	1	1	4	2	3	0	2	4	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	2	0	0	0	2	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	1	0					
		0.16%	0.20%	0.20%	0.57%	0.08%	0.11%	0.30%	0.22%	0.32%	0.00%	0.22%	0.45%	0.00%	0.00%	0.00%	0.26%	0.74%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.16%	0.22%	0.58%	0.00%	0.00%	0.00%	0.28%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.62%	0.00%	0.00%	0.09%	0.21%	0.00%	0.00%	0.00%	0.20%	0.29%	0.00%	0.11%	0.32%	0.00%	0.00%	0.00%	0.20%	0.37%	0.00%	1.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.43%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4230	129	130	105	135	115	145	148	124	85	87	87	83	76	21	38	12	31	18	121	170	33	28	107	62	37	1	4	1	146	79	17	27	27	13	14	9	54	13	2	18	71	8	5	22	31	18	14	14	24	131	51	37	7	121	56	15	24	128	114	8	5	44	174	52	20	15	123	28	17	24	28	60	52	15	4	27	13	18	33	27					
		12.24%	12.68%	13.18%	11.96%	11.23%	12.57%	10.78%	16.46%	13.12%	10.18%	9.62%	9.70%	12.83%	10.23%	6.14%	9.82%	8.82%	13.60%	8.37%	17.77%	19.12%	15.71%	20.90%	17.51%	13.36%	21.51%	1.37%	2.68%	1.08%	20.65%	13.81%	10.63%	7.61%	6.67%	14.61%	6.86%	7.14%	11.51%	14.77%	1.77%	12.77%	16.47%	5.33%	7.04%	14.57%	6.04%	20.00%	8.70%	7.65%	6.47%	11.99%	10.60%	8.79%	8.97%	12.98%	11.36%	4.37%	10.43%	13.54%	18.18%	6.45%	5.26%	36.97%	17.33%	19.48%	5.97%	16.85%	14.89%	9.21%	9.50%	10.62%	13.15%	12.82%	12.56%	5.43%	3.31%	8.13%	8.13%	11.46%	8.64%	9.85%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	278	15	5	17	19	15	17	18	9	15	15	11	6	0	1	8	0	2	5	7	1	0	0	3	2	0	1	0	0	2	3	0	0	1	1	0	0	0	0	1	0	22	0	0	0	9	0	0	0	1	2	1	0	0	0	4	2	0	0	2	1	1	1	0	0	2	0	12	1	0	1	0	4	2	0	0	3	2	1	2	2					
		0.80%	1.47%	0.51%	1.94%	1.58%	1.64%	1.26%	2.00%	0.95%	1.80%	1.66%	1.23%	0.93%	0.00%	0.29%	2.07%	0.00%	0.88%	2.33%	1.03%	0.11%	0.00%	0.00%	0.49%	0.43%	0.00%	1.37%	0.00%	0.00%	0.28%	0.52%	0.00%	0.00%	0.25%	1.12%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	5.10%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.27%	0.18%	0.21%	0.00%	0.00%	0.00%	0.81%	0.58%	0.00%	0.00%	0.32%	0.81%	1.05%	0.84%	0.00%	0.00%	0.60%	0.00%	1.45%	0.33%	0.00%	0.44%	0.00%	0.85%	0.48%	0.00%	0.00%	0.90%	1.25%	0.64%	0.52%	0.73%					
23	6.Политическая партия «Партия социальной справедливости»	62	1	2	1	5	2	2	1	3	2	4	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	5	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	3	1	0	2	3	0	1	0	3	0	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	1					
		0.18%	0.10%	0.20%	0.11%	0.42%	0.22%	0.15%	0.11%	0.32%	0.24%	0.44%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.16%	0.00%	0.58%	0.00%	0.67%	0.00%	0.71%	0.35%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.24%	0.00%	0.11%	0.61%	0.29%	0.00%	0.21%	0.48%	0.00%	1.05%	0.00%	0.30%	0.00%	0.30%	0.00%	0.00%	0.33%	0.56%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.36%					
24	7.Политическая партия «Либерально-демократическая партия России»	3376	120	121	127	155	127	244	119	105	90	117	101	61	60	15	33	9	12	16	64	56	11	9	45	44	21	6	17	9	33	36	7	15	31	2	17	13	33	10	10	2	46	5	5	8	26	1	22	22	24	132	42	36	4	76	51	48	35	70	45	7	6	2	100	24	22	4	81	40	13	20	15	37	43	8	4	26	17	30	32	24					
