Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Морозовская районная																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1148	УИК №1243	УИК №2539	УИК №2540					
1	"Число избирателей, внесенных в списки избирателей"	35610	1300	1310	1480	1294	1635	1119	1575	1649	2292	1641	1581	1680	1730	855	480	548	443	79	1069	322	185	375	227	426	301	317	665	108	64	100	513	542	687	363	471	703	247	388	994	431	506	1353	1268	82	212					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31707	1172	1158	1309	1160	1418	982	1423	1502	1771	1462	1367	1526	1463	774	438	495	406	81	968	293	167	347	231	396	278	285	606	112	62	99	470	503	621	331	442	645	224	351	910	393	453	1193	1122	86	212					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24446	853	950	950	835	788	708	1220	1144	1552	1168	1214	975	1112	654	363	319	345	67	516	293	109	327	210	291	219	256	500	108	46	82	388	454	493	287	361	505	163	303	808	281	386	898	721	76	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2128	135	54	106	60	51	68	59	126	160	37	76	6	117	64	27	126	12	0	91	0	38	10	0	38	17	11	50	0	10	2	19	28	71	23	18	65	35	9	50	70	41	58	63	2	25					
6	Число погашенных избирательных бюллетеней	5133	184	154	253	265	579	206	144	232	59	257	77	545	234	56	48	50	49	14	361	0	20	10	21	67	42	18	56	4	6	15	63	21	57	21	63	75	26	39	52	42	26	237	338	8	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2128	135	54	106	60	51	68	59	126	160	37	76	6	117	64	27	126	12	0	91	0	38	10	0	38	17	11	50	0	10	2	19	28	71	23	18	65	35	9	50	70	41	58	63	2	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24378	853	950	950	835	786	708	1161	1141	1552	1168	1214	975	1109	654	363	319	345	67	515	293	109	327	210	291	219	256	500	108	46	82	388	454	493	287	361	505	163	303	808	281	386	898	721	76	148					
9	Число недействительных избирательных бюллетеней	111	6	1	1	6	3	7	8	9	8	0	7	14	3	0	0	1	3	0	0	5	0	0	0	1	1	0	5	0	0	0	7	0	6	0	2	0	0	1	2	0	1	1	1	0	1					
10	Число действительных избирательных бюллетеней	26395	982	1003	1055	889	834	769	1212	1258	1704	1205	1283	967	1223	718	390	444	354	67	606	288	147	337	210	328	235	267	545	108	56	84	400	482	558	310	377	570	198	311	856	351	426	955	783	78	172					
