Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Полярнозоринская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
1	"Число избирателей, внесенных в списки избирателей"	15295	1642	1829	1045	1159	1305	1501	1522	1611	1431	825	381	1044					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11250	1200	1300	750	850	1000	1100	1100	1200	1100	600	300	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8234	892	1019	535	553	667	810	818	944	847	417	219	513					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	263	13	21	94	12	30	13	16	12	10	17	8	17					
6	Число погашенных избирательных бюллетеней	2753	295	260	121	285	303	277	266	244	243	166	73	220					
7	Число избирательных бюллетеней в переносных ящиках для голосования	263	13	21	94	12	30	13	16	12	10	17	8	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8231	892	1019	535	553	666	809	818	943	847	417	219	513					
9	Число недействительных избирательных бюллетеней	78	7	14	3	6	2	11	7	9	10	4	1	4					
10	Число действительных избирательных бюллетеней	8416	898	1026	626	559	694	811	827	946	847	430	226	526					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	240	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	66	2	17	6	6	8	2	9	5	6	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	28	0	12	0	3	2	0	2	3	2	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	174	18	3	14	14	12	18	11	15	14	17	19	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	4	4	1	0	1	1	1	2	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	206	24	20	7	16	22	16	26	31	19	11	6	8					
		2.43%	2.65%	1.92%	1.11%	2.83%	3.16%	1.95%	3.12%	3.25%	2.22%	2.53%	2.64%	1.51%					
19	2.Всероссийская политическая партия «Гражданская Сила»	141	25	32	4	10	8	7	11	23	18	2	1	0					
		1.66%	2.76%	3.08%	0.64%	1.77%	1.15%	0.85%	1.32%	2.41%	2.10%	0.46%	0.44%	0.00%					
20	3.Политическая партия «Демократическая партия России»	12	4	2	0	1	1	1	0	1	1	0	0	1					
		0.14%	0.44%	0.19%	0.00%	0.18%	0.14%	0.12%	0.00%	0.10%	0.12%	0.00%	0.00%	0.19%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	765	82	86	76	54	62	76	77	74	80	31	11	56					
		9.01%	9.06%	8.27%	12.08%	9.56%	8.91%	9.25%	9.23%	7.75%	9.33%	7.14%	4.85%	10.57%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	63	7	6	3	7	3	7	6	10	8	1	0	5					
		0.74%	0.77%	0.58%	0.48%	1.24%	0.43%	0.85%	0.72%	1.05%	0.93%	0.23%	0.00%	0.94%					
23	6.Политическая партия «Партия социальной справедливости»	30	8	5	1	2	2	2	1	0	4	2	0	3					
		0.35%	0.88%	0.48%	0.16%	0.35%	0.29%	0.24%	0.12%	0.00%	0.47%	0.46%	0.00%	0.57%					
24	7.Политическая партия «Либерально-демократическая партия России»	806	82	113	52	60	64	84	68	84	70	45	18	66					
		9.49%	9.06%	10.87%	8.27%	10.62%	9.20%	10.22%	8.15%	8.80%	8.17%	10.37%	7.93%	12.45%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1022	125	115	83	62	88	91	85	107	111	62	23	70					
		12.03%	13.81%	11.06%	13.20%	10.97%	12.64%	11.07%	10.19%	11.20%	12.95%	14.29%	10.13%	13.21%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	107	8	5	5	5	10	12	20	19	15	2	1	5					
		1.26%	0.88%	0.48%	0.79%	0.88%	1.44%	1.46%	2.40%	1.99%	1.75%	0.46%	0.44%	0.94%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5082	503	616	384	325	420	495	527	573	501	269	163	306					
		59.83%	55.58%	59.23%	61.05%	57.52%	60.34%	60.22%	63.19%	60.00%	58.46%	61.98%	71.81%	57.74%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	182	30	26	11	17	14	20	6	24	20	5	3	6					
		2.14%	3.31%	2.50%	1.75%	3.01%	2.01%	2.43%	0.72%	2.51%	2.33%	1.15%	1.32%	1.13%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
