Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Любимская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10014	295	1217	760	1200	907	725	195	535	348	121	176	159	420	918	125	184	256	168	232	117	163	432	163	198									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9550	300	1200	750	1200	900	700	200	500	300	100	150	150	350	900	100	150	250	150	200	100	150	400	150	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3844	128	424	264	548	367	262	77	198	102	50	26	54	161	481	50	75	100	74	61	60	48	118	44	72									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1157	53	52	45	34	30	27	37	119	101	30	33	41	52	22	22	49	39	12	66	25	44	132	52	40									
6	Число погашенных избирательных бюллетеней	4549	119	724	441	618	503	411	86	183	97	20	91	55	137	397	28	26	111	64	73	15	58	150	54	88									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1157	53	52	45	34	30	27	37	119	101	30	33	41	52	22	22	49	39	12	66	25	44	132	52	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3843	128	424	264	547	367	262	77	198	102	50	26	54	161	481	50	75	100	74	61	60	48	118	44	72									
9	Число недействительных избирательных бюллетеней	113	2	12	5	10	11	10	1	12	2	2	0	2	6	15	1	1	4	5	2	1	0	4	0	5									
10	Число действительных избирательных бюллетеней	4887	179	464	304	571	386	279	113	305	201	78	59	93	207	488	71	123	135	81	125	84	92	246	96	107									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	177	7	9	10	15	8	5	5	10	5	10	5	5	5	8	5	5	5	5	5	15	15	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	7	4	8	8	6	5	5	7	4	10	1	5	1	5	5	5	1	1	5	15	15	5	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	0	2	3	4	2	4	1	8	4	2	2	5	4	4	1	3	4	1	2	2	1	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	39	0	5	2	7	2	0	0	3	1	0	4	0	4	3	0	0	4	4	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	1	0	1	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	181	9	7	11	28	17	9	4	11	15	3	6	7	7	10	6	6	2	3	0	2	2	3	8	5									
		3.62%	4.97%	1.47%	3.56%	4.82%	4.28%	3.11%	3.51%	3.47%	7.39%	3.75%	10.17%	7.37%	3.29%	1.99%	8.33%	4.84%	1.44%	3.49%	0.00%	2.35%	2.17%	1.20%	8.33%	4.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	159	6	20	8	15	10	10	3	5	6	3	2	3	6	22	0	3	8	4	2	4	1	6	7	5									
		3.18%	3.31%	4.20%	2.59%	2.58%	2.52%	3.46%	2.63%	1.58%	2.96%	3.75%	3.39%	3.16%	2.82%	4.37%	0.00%	2.42%	5.76%	4.65%	1.57%	4.71%	1.09%	2.40%	7.29%	4.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	124	6	15	5	17	14	8	3	12	5	0	2	1	3	10	1	2	7	1	2	1	2	1	3	3									
		2.48%	3.31%	3.15%	1.62%	2.93%	3.53%	2.77%	2.63%	3.79%	2.46%	0.00%	3.39%	1.05%	1.41%	1.99%	1.39%	1.61%	5.04%	1.16%	1.57%	1.18%	2.17%	0.40%	3.13%	2.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2180	77	214	111	225	145	96	54	157	106	51	26	51	92	145	33	62	61	50	72	41	60	161	35	55									
		43.60%	42.54%	44.96%	35.92%	38.73%	36.52%	33.22%	47.37%	49.53%	52.22%	63.75%	44.07%	53.68%	43.19%	28.83%	45.83%	50.00%	43.88%	58.14%	56.69%	48.24%	65.22%	64.40%	36.46%	49.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	1	3	1	4	0	2	0	4	0	0	0	0	1	4	0	0	0	3	2	0	0	2	2	1									
