Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Сланцевская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
1	"Число избирателей, внесенных в список избирателей"	37928	838	1322	953	555	1460	1370	1454	1411	1402	1295	1446	1554	1516	1464	1276	1580	1680	1537	1591	1568	1464	1346	1504	1540	1670	340	595	890	656	103	452	96					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26805	570	930	615	380	1020	970	1030	990	990	915	1015	1100	1070	1030	910	1110	1175	1090	1120	1100	1040	955	1070	1080	1190	265	440	605	460	80	340	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16502	358	624	240	175	684	616	734	686	693	574	585	703	740	696	623	721	797	738	752	490	589	524	699	516	613	132	270	369	302	52	207	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1425	70	116	153	42	17	31	26	12	25	43	20	39	19	22	28	32	18	10	25	35	29	32	19	23	133	37	86	85	41	18	43	96					
6	Число погашенных избирательных бюллетеней	8877	142	190	222	163	319	323	270	292	271	298	410	358	311	312	259	357	360	342	343	575	422	399	352	541	444	96	84	151	117	10	90	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1425	70	116	153	42	17	31	26	12	25	43	20	39	19	22	28	32	18	10	25	35	29	32	19	23	133	37	86	85	41	18	43	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16495	358	624	240	175	684	616	734	686	687	574	585	703	740	696	623	721	797	737	752	490	589	524	699	516	613	132	270	369	302	52	207	0					
9	Число недействительных избирательных бюллетеней	389	13	12	3	7	21	20	7	18	13	11	16	22	27	20	4	10	11	12	15	12	14	9	8	15	22	0	9	12	11	2	9	4					
10	Число действительных избирательных бюллетеней	17531	415	728	390	210	680	627	753	680	699	606	589	720	732	698	647	743	804	735	762	513	604	547	710	524	724	169	347	442	332	68	241	92					
