Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Кузнецкая																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659					
1	"Число избирателей, внесенных в список избирателей"	29738	121	420	217	112	613	92	205	1428	1175	1278	1201	415	435	487	1622	594	296	1510	1423	163	207	1025	598	86	1640	416	387	199	775	1092	532	150	147	1268	990	1680	1845	1784	1110					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29983	111	427	218	117	623	86	297	1432	1188	1281	1226	425	451	594	1643	575	277	1488	1447	166	210	1035	590	83	1618	422	389	199	789	1068	537	152	148	1281	970	1679	1855	1802	1084					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19553	67	267	123	77	331	79	187	722	649	641	842	273	356	462	791	310	209	831	1083	103	144	728	341	69	1412	299	304	161	660	934	428	100	84	1001	760	1250	870	917	688					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2190	24	48	29	12	84	5	18	108	47	280	81	30	22	25	127	84	41	86	101	25	17	61	89	10	124	30	27	15	25	37	54	17	34	14	17	20	133	108	81					
6	Число погашенных избирательных бюллетеней	8239	20	112	66	28	208	2	92	602	492	360	303	122	73	107	725	181	27	571	263	38	49	246	160	4	82	93	58	23	104	97	55	35	30	266	193	409	851	777	315					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2190	24	48	29	12	84	5	18	108	47	280	81	30	22	25	127	84	41	86	101	25	17	61	89	10	124	30	27	15	25	37	54	17	34	14	17	20	133	108	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19552	67	267	123	77	331	79	187	722	649	641	842	273	356	462	791	310	209	831	1082	103	144	728	341	69	1412	299	304	161	660	934	428	100	84	1001	760	1250	870	917	688					
9	Число недействительных избирательных бюллетеней	545	0	4	0	4	3	0	4	6	3	19	5	1	0	2	13	7	2	8	14	0	0	8	4	12	14	0	21	0	90	228	0	0	0	0	43	12	8	6	4					
10	Число действительных избирательных бюллетеней	21197	91	311	152	85	412	84	201	824	693	902	918	302	378	485	905	387	248	909	1169	128	161	781	426	67	1522	329	310	176	595	743	482	117	118	1015	734	1258	995	1019	765					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	395	4	8	3	5	10	2	10	8	8	20	15	5	5	8	30	5	5	18	20	3	3	15	5	3	15	5	5	3	10	15	10	2	2	10	5	20	30	30	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	227	0	7	0	5	10	1	7	8	8	4	6	5	4	0	26	3	1	18	6	2	3	6	1	0	15	1	2	3	9	15	0	1	0	3	5	7	8	16	11					
