Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Североморская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №163	УИК №164	УИК №421	УИК №730	УИК №731	УИК №770	УИК №771									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44970	244	2712	1938	623	2576	1213	2491	497	2640	1857	1135	1265	2945	1500	1656	2260	2798	727	2628	772	413	1509	2293	548	1595	2936	45	412	634	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37615	254	2110	1800	774	2100	431	1778	570	1420	1318	2130	1100	2300	1300	1390	1810	2230	702	2300	740	292	1240	1627	428	1247	2866	50	450	750	108									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21593	107	1109	1055	427	1139	430	1136	208	1403	771	1133	433	1137	582	773	863	905	392	1101	268	141	600	937	323	936	2236	21	297	622	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	226	0	8	3	0	4	1	9	1	17	11	2	4	7	6	1	12	7	0	14	6	0	3	5	9	1	0	16	79	0	0									
6	Число погашенных избирательных бюллетеней	15795	147	993	742	346	957	0	633	361	0	536	995	663	1156	712	616	935	1318	310	1185	466	151	637	685	96	310	630	13	74	128	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	225	0	8	3	0	4	1	9	1	17	11	2	4	7	6	1	12	7	0	14	5	0	3	5	9	1	0	16	79	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21498	107	1105	1045	426	1130	430	1132	207	1383	767	1129	432	1132	582	772	856	904	391	1099	266	140	600	936	323	934	2222	21	297	622	108									
9	Число недействительных избирательных бюллетеней	454	0	11	18	10	15	3	31	7	20	12	12	2	26	12	6	10	6	7	15	6	5	18	27	4	21	100	2	9	39	0									
10	Число действительных избирательных бюллетеней	21269	107	1102	1030	416	1119	428	1110	201	1380	766	1119	434	1113	576	767	858	905	384	1098	265	135	585	914	328	914	2122	35	367	583	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	372	2	10	5	10	22	15	30	2	20	15	20	10	22	15	20	15	10	16	22	10	4	20	23	4	10	20	0	0	0	0									
