Выборы Президента Российской Федерации																																																																															
																																																																															
"Наименование Избирательной комиссии:    Челябинск, Курчатовская"																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в список"	136943	1780	2378	2193	1622	1631	1854	2367	2452	1587	1553	1973	1815	1933	1735	1575	1618	1565	1879	1677	1995	2019	2249	2530	2308	2374	2336	2354	2305	2250	1994	2448	1850	2005	2392	2120	1911	1604	2265	1855	1064	1324	1062	1562	1823	2151	1787	1970	1964	2439	1883	1944	1821	2075	1832	1582	1889	2194	1707	1522	2518	949	790	2199	2558	2041	2004	1716	2208	1867	1681	510	1956					
2	Число полученных избирательных бюллетеней	122730	1610	2090	1990	1440	1460	1640	2120	2100	1440	1330	1820	1630	1740	1560	1390	1450	1400	1700	1520	1800	1840	2170	2260	2070	2110	2060	2110	2060	1980	1810	2150	1670	1800	2140	1900	1750	1430	2030	1670	960	1170	950	1380	1650	1970	1590	1760	1750	2150	1660	1720	1630	1860	1630	1430	1700	2000	1530	1350	2260	850	740	1950	2320	1810	1780	1540	1980	1690	1520	460	1750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80505	1013	1258	1172	842	987	1041	1349	1309	950	819	1097	1057	1139	1015	934	967	870	1167	960	1219	1170	1446	1439	1394	1328	1279	1299	1368	1327	1141	1430	1162	1162	1429	1273	1116	927	1385	1129	639	833	674	899	1074	1204	1107	1127	1108	1378	1029	1132	1130	1241	1200	1029	1227	1310	971	892	1141	411	423	1373	1597	1213	1268	1112	1436	1199	1036	193	1530					
5	"Число избирательных бюллетеней, выданных вне помещения"	3066	35	81	47	29	38	42	39	117	67	29	34	38	49	34	29	40	31	32	43	54	61	40	66	57	43	50	35	38	49	29	18	27	60	52	68	70	39	62	36	16	20	12	46	41	45	25	23	37	32	33	36	23	45	39	44	20	29	33	46	127	89	44	14	16	27	61	39	25	41	26	100	4					
6	Число погашенных избирательных бюллетеней	39159	562	751	771	569	435	557	732	674	423	482	689	535	552	511	427	443	499	501	517	527	609	684	755	619	739	731	776	654	604	640	702	481	578	659	559	564	464	583	505	305	317	264	435	535	721	458	610	605	740	598	552	477	574	391	357	453	661	526	412	992	350	273	563	707	570	451	389	519	450	458	167	216					
7	Число избирательных бюллетеней в переносных ящиках	3066	35	81	47	29	38	42	39	117	67	29	34	38	49	34	29	40	31	32	43	54	61	40	66	57	43	50	35	38	49	29	18	27	60	52	68	70	39	62	36	16	20	12	46	41	45	25	23	37	32	33	36	23	45	39	44	20	29	33	46	127	89	44	14	16	27	61	39	25	41	26	100	4					
8	Число бюллетеней в стационарных ящиках для голосования	80446	1013	1257	1172	842	985	1041	1349	1307	950	819	1097	1057	1139	1015	933	967	869	1167	960	1218	1170	1446	1439	1394	1328	1277	1299	1368	1327	1141	1429	1135	1162	1427	1273	1114	926	1385	1129	638	833	673	897	1074	1203	1107	1127	1108	1378	1029	1131	1129	1241	1199	1029	1227	1310	971	892	1140	411	421	1373	1597	1213	1268	1111	1435	1198	1036	191	1530					
9	Число недействительных избирательных бюллетеней	648	6	12	23	14	5	11	6	7	9	10	8	6	14	7	13	8	8	8	6	13	13	16	3	8	6	9	12	16	13	9	8	10	13	9	13	8	4	13	6	8	4	6	10	13	12	9	3	0	6	12	5	5	5	12	11	13	4	4	6	14	4	6	21	17	5	10	8	5	13	9	1	4					
10	Число действительных избирательных бюллетеней	82864	1042	1326	1196	857	1018	1072	1382	1417	1008	838	1123	1089	1174	1042	949	999	892	1191	997	1259	1218	1470	1502	1443	1365	1318	1322	1390	1363	1161	1439	1152	1209	1470	1328	1176	961	1434	1159	646	849	679	933	1102	1236	1123	1147	1145	1404	1050	1162	1147	1281	1226	1062	1234	1335	1000	932	1253	496	459	1366	1596	1235	1319	1142	1455	1226	1053	290	1530					
11	Число полученных открепительных  удостоверений	2530	30	40	40	30	30	30	40	40	40	30	40	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	40	40	40	30	40	30	30	40	40	30	30	40	30	30	30	30	30	30	40	30	30	30	40	30	30	30	40	30	30	40	40	30	30	40	20	20	40	50	30	30	30	40	30	30	20	130					
