Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Козловская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12932	540	668	421	411	417	669	669	620	602	487	397	284	411	116	199	194	124	168	530	355	137	161	323	141	261	404	289	132	93	310	242	222	465	376	447	181	224	109	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12850	530	645	415	405	400	650	655	620	585	490	385	280	410	118	195	185	133	171	505	350	140	162	327	145	265	405	285	134	90	325	250	222	460	390	455	180	234	112	142									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9321	344	439	327	300	265	418	460	417	393	336	214	204	328	67	165	128	99	123	408	264	90	115	249	121	202	297	254	113	80	252	196	175	329	270	340	154	197	81	107									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1102	32	31	11	13	36	27	18	16	16	51	31	41	54	32	17	45	18	25	62	15	15	11	48	12	35	46	22	17	10	55	39	47	20	37	43	10	20	12	12									
6	Число погашенных избирательных бюллетеней	2427	154	175	77	92	99	205	177	187	176	103	140	35	28	19	13	12	16	23	35	71	35	36	30	12	28	62	9	4	0	18	15	0	111	83	72	16	17	19	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1102	32	31	11	13	36	27	18	16	16	51	31	41	54	32	17	45	18	25	62	15	15	11	48	12	35	46	22	17	10	55	39	47	20	37	43	10	20	12	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9321	344	439	327	300	265	418	460	417	393	336	214	204	328	67	165	128	99	123	408	264	90	115	249	121	202	297	254	113	80	252	196	175	329	270	340	154	197	81	107									
9	Число недействительных избирательных бюллетеней	408	14	18	11	9	6	20	16	11	17	14	12	11	17	1	8	4	2	6	16	17	0	1	10	7	18	17	15	4	1	3	7	14	19	10	21	5	12	12	2									
10	Число действительных избирательных бюллетеней	10015	362	452	327	304	295	425	462	422	392	373	233	234	365	98	174	169	115	142	454	262	105	125	287	126	219	326	261	126	89	304	228	208	330	297	362	159	205	81	117									
