Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Козловская 																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045					
1	"Число избирателей, внесенных в списки"	18146	1004	1270	1422	1469	783	826	1608	344	503	180	214	177	808	298	451	208	220	670	459	570	393	201	159	638	366	177	852	658	246	272	358	185	157					
2	"Число бюллетеней, полученных участковыми комиссиями"	16778	907	1161	1279	1319	720	751	1481	310	463	178	202	173	760	274	421	195	201	623	445	536	370	192	180	596	340	177	785	588	229	252	332	188	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10218	531	683	873	828	443	482	780	126	272	97	127	139	461	177	276	141	146	400	266	307	268	141	83	327	239	91	428	320	157	130	251	131	97					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	677	23	17	17	8	8	9	28	37	41	35	13	5	19	5	27	8	0	21	30	37	17	16	27	23	1	20	40	24	7	41	37	17	19					
6	Число погашенных бюллетеней	5883	353	461	389	483	269	260	673	147	150	46	62	29	280	92	118	46	55	202	149	192	85	35	70	246	100	66	317	244	65	81	44	40	34					
7	Число бюллетеней в переносных ящиках для голосования	677	23	17	17	8	8	9	28	37	41	35	13	5	19	5	27	8	0	21	30	37	17	16	27	23	1	20	40	24	7	41	37	17	19					
8	Число бюллетеней в стационарных ящиках для голосования	10218	531	683	873	828	443	482	780	126	272	97	127	139	461	177	276	141	146	400	266	307	268	141	83	327	239	91	428	320	157	130	251	131	97					
9	Число недействительных бюллетеней	479	18	23	23	19	20	21	27	3	11	10	13	14	18	5	12	9	6	22	16	11	10	6	2	39	16	5	7	13	7	16	27	26	4					
10	Число действительных бюллетеней	10416	536	677	867	817	431	470	781	160	302	122	127	130	462	177	291	140	140	399	280	333	275	151	108	311	224	106	461	331	157	155	261	122	112					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	448	24	33	38	38	22	22	37	9	9	4	5	4	22	7	11	5	5	17	11	14	10	5	4	15	9	4	21	15	6	6	9	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	6	6	7	9	4	5	5	1	0	1	2	1	2	0	0	1	3	5	0	1	5	2	2	4	1	2	10	5	1	1	0	0	1					
