Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    ТИК Правобережной части г.Владикавказа																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в списки избирателей"	93564	1727	193	1024	713	1548	1802	1890	916	1440	1015	1240	1527	205	2342	1915	838	2589	825	88	115	713	1532	1893	2741	1099	1688	733	1192	727	15	2320	2545	2457	1530	1490	1166	1000	2140	1853	1577	1674	1532	2316	433	263	1004	875	1774	1015	955	1758	1825	1725	2010	1700	607	2104	103	1535	1914	88	72	111	1672	2075	2068	221	1774	1079	1630	1289					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	83712	1050	192	780	1370	1160	1350	1870	660	1350	900	1920	1130	200	1700	1610	640	1940	690	90	100	420	1130	1460	1980	830	2030	520	960	680	30	1840	1770	1750	1580	1160	1750	1100	1725	1360	1940	1140	1140	1900	540	300	920	660	1220	1140	1720	1320	2120	1660	2000	2000	1000	2100	110	1480	2040	100	140	115	1250	1400	2150	500	1440	1190	1400	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	202	0	0	0	22	0	0	0	0	0	0	0	72	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	2	106	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48863	639	147	451	655	632	769	1195	386	826	509	1205	602	193	989	1199	341	1624	383	88	74	350	690	861	1199	529	1638	361	542	405	15	1080	1057	918	864	618	1158	684	909	926	976	628	549	836	418	190	408	332	763	597	919	848	1293	837	841	1027	590	1017	103	671	1356	88	70	90	561	804	1538	203	333	619	1050	597					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1838	27	45	26	43	27	29	17	20	25	15	18	15	0	96	37	31	82	19	0	0	28	37	19	35	35	28	26	24	38	0	37	26	21	1	2	8	47	18	46	28	29	17	17	15	0	29	14	32	24	34	34	61	29	61	74	17	48	0	28	4	0	0	0	38	32	17	18	22	20	29	19					
6	Число погашенных избирательных бюллетеней	32436	384	0	303	672	501	552	658	254	499	376	697	513	7	615	370	268	234	288	2	26	42	201	580	746	266	342	133	394	237	15	723	687	811	643	540	584	355	798	388	936	483	574	1048	107	109	483	311	425	519	766	438	766	794	1097	951	393	1035	7	781	480	12	70	25	651	562	489	279	1085	551	321	184					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2336	27	45	26	43	27	29	17	20	25	15	18	15	0	96	41	31	82	19	0	0	28	239	19	35	35	50	26	24	38	0	37	26	21	73	2	8	61	18	46	28	29	17	17	15	0	29	14	32	24	34	18	61	29	61	74	17	48	0	28	204	0	0	0	38	32	17	18	22	20	29	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48480	639	147	451	655	632	769	1195	386	826	509	1202	598	193	986	1199	341	1624	383	88	74	350	688	861	1199	529	1638	361	542	405	15	1080	1057	918	862	616	1158	684	909	926	976	628	549	832	418	190	408	332	763	597	919	709	1171	837	841	953	590	1017	103	671	1356	88	70	90	560	804	1511	203	333	619	1050	597					
9	Число недействительных избирательных бюллетеней	1327	9	5	30	33	34	29	21	26	39	12	30	41	5	37	21	15	10	14	6	1	19	0	12	0	14	60	0	28	32	1	2	27	40	10	6	33	29	0	0	0	0	32	36	12	6	8	7	32	10	30	33	0	0	23	51	30	41	8	14	24	7	4	10	17	28	40	19	36	10	7	21					
10	Число действительных избирательных бюллетеней	49489	657	187	447	665	625	769	1191	380	812	512	1190	572	188	1045	1219	357	1696	388	82	73	359	927	868	1234	550	1628	387	538	411	14	1115	1056	899	925	612	1133	716	927	972	1004	657	534	813	421	184	429	339	763	611	923	694	1232	866	879	976	577	1024	95	685	1536	81	66	80	581	808	1488	202	319	629	1072	595					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4507	37	0	50	100	100	70	100	30	80	40	50	100	0	50	30	60	100	50	0	0	20	30	80	100	60	200	30	50	30	0	200	100	50	100	30	50	10	50	40	200	100	30	100	30	0	100	50	100	20	100	100	50	150	150	100	50	80	110	20	20	100	0	0	50	150	30	20	70	50	70	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1080	12	0	3	12	19	6	23	5	27	7	14	7	0	26	15	16	20	6	0	0	4	18	16	29	4	22	5	10	7	0	28	28	25	11	14	10	2	18	20	11	16	14	38	30	0	11	11	13	9	0	19	16	18	21	24	24	17	103	14	2	88	0	0	4	20	6	0	1	21	21	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	753	0	0	1	0	2	0	3	2	10	3	0	3	0	25	3	8	12	10	0	74	0	6	16	5	7	22	4	12	1	15	6	8	14	10	7	0	51	0	5	11	0	1	16	8	0	6	6	10	12	0	3	4	0	10	5	28	9	0	6	11	88	70	28	6	20	0	0	1	17	29	3					
14	Число погашенных неиспользованных открепительных удостоверений	3427	25	0	47	88	81	64	77	25	53	33	36	93	0	24	15	44	80	44	0	0	16	12	64	71	56	178	25	40	23	0	172	72	25	89	16	40	8	32	20	189	84	16	62	0	0	89	39	87	11	100	81	34	132	129	76	26	63	7	6	18	12	0	0	46	130	24	20	69	29	49	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	946	11	7	10	11	13	5	10	3	12	7	15	10	1	22	21	7	0	15	2	1	4	0	7	18	23	6	0	11	11	0	0	22	25	2	9	14	6	10	50	19	48	14	20	9	3	13	9	16	20	20	15	2	22	24	58	16	25	1	20	18	0	1	1	6	12	6	4	10	12	53	48					
		1.86%	1.65%	3.65%	2.10%	1.58%	1.97%	0.63%	0.83%	0.74%	1.41%	1.34%	1.23%	1.63%	0.52%	2.03%	1.69%	1.88%	0.00%	3.73%	2.27%	1.35%	1.06%	0.00%	0.80%	1.46%	4.08%	0.36%	0.00%	1.94%	2.48%	0.00%	0.00%	2.03%	2.66%	0.21%	1.46%	1.20%	0.81%	1.08%	5.14%	1.89%	7.31%	2.47%	2.36%	2.08%	1.58%	2.97%	2.60%	2.01%	3.22%	2.10%	2.06%	0.16%	2.54%	2.66%	5.65%	2.64%	2.35%	0.97%	2.86%	1.15%	0.00%	1.43%	1.11%	1.00%	1.44%	0.39%	1.81%	2.82%	1.88%	4.91%	7.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	300	3	3	6	4	6	4	4	4	7	3	6	6	1	11	7	5	10	0	1	1	1	0	6	6	7	4	0	5	8	0	0	6	6	5	9	5	4	0	0	0	7	4	5	3	1	8	0	4	0	4	6	0	5	7	6	9	5	1	4	9	0	3	0	9	13	4	1	3	7	5	3					
