Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Зуевская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19028	893	1032	958	759	1437	1129	1008	1110	1022	899	766	419	923	338	1283	185	802	156	301	264	662	841	271	186	175	160	632	417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14100	650	750	700	550	1100	800	750	800	750	650	550	300	650	250	950	150	600	150	250	200	500	600	200	150	150	150	500	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7207	304	343	383	189	558	522	422	367	323	311	235	179	243	132	554	73	350	47	85	77	287	398	98	77	77	93	317	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1251	24	36	57	39	71	56	21	30	29	47	41	32	135	42	105	4	49	28	81	68	93	30	44	16	16	1	15	41									
6	Число погашенных избирательных бюллетеней	5642	322	371	260	322	471	222	307	403	398	292	274	89	272	76	291	73	201	75	84	55	120	172	58	57	57	56	168	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1251	24	36	57	39	71	56	21	30	29	47	41	32	135	42	105	4	49	28	81	68	93	30	44	16	16	1	15	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7207	304	343	383	189	558	522	422	367	323	311	235	179	243	132	554	73	350	47	85	77	287	398	98	77	77	93	317	163									
9	Число недействительных избирательных бюллетеней	180	8	0	15	5	25	2	19	16	2	10	7	8	7	1	6	2	9	3	2	1	7	9	3	0	1	1	9	2									
10	Число действительных избирательных бюллетеней	8278	320	379	425	223	604	576	424	381	350	348	269	203	371	173	653	75	390	72	164	144	373	419	139	93	92	93	323	202									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	30	30	30	20	30	30	30	30	30	30	20	20	30	10	30	10	20	10	10	10	20	20	10	10	10	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	220	7	5	7	4	16	13	19	5	1	3	0	3	7	7	22	5	4	10	10	10	20	7	5	1	3	3	20	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	4	6	2	2	4	7	1	2	1	0	1	1	2	2	4	3	8	5	2	5	5	1	11	0	1	1	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	360	23	25	23	16	14	17	11	25	29	27	20	17	23	3	8	5	16	0	0	0	0	13	5	9	7	7	0	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	4	1	0	4	4	3	1	2	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	6	0	6	0	8	11	7	1	3	4	2	3	2	1	6	1	0	0	1	0	5	5	0	1	2	1	1	0									
		0.91%	1.83%	0.00%	1.36%	0.00%	1.27%	1.90%	1.58%	0.25%	0.85%	1.12%	0.72%	1.42%	0.53%	0.57%	0.91%	1.30%	0.00%	0.00%	0.60%	0.00%	1.32%	1.17%	0.00%	1.08%	2.15%	1.06%	0.30%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	231	11	8	11	6	22	15	15	12	3	9	13	6	12	3	1	3	8	6	1	2	10	15	0	1	7	5	21	5									
		2.73%	3.35%	2.11%	2.50%	2.63%	3.50%	2.60%	3.39%	3.02%	0.85%	2.51%	4.71%	2.84%	3.17%	1.72%	0.15%	3.90%	2.01%	8.00%	0.60%	1.38%	2.63%	3.50%	0.00%	1.08%	7.53%	5.32%	6.33%	2.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	183	6	7	9	8	19	14	11	12	2	8	3	1	8	7	10	2	13	2	4	3	11	7	0	1	1	1	7	6									
		2.16%	1.83%	1.85%	2.05%	3.51%	3.02%	2.42%	2.48%	3.02%	0.57%	2.23%	1.09%	0.47%	2.12%	4.02%	1.52%	2.60%	3.26%	2.67%	2.41%	2.07%	2.89%	1.64%	0.00%	1.08%	1.08%	1.06%	2.11%	2.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3792	110	148	149	84	253	211	161	136	260	152	129	78	184	104	371	28	189	26	103	81	179	175	85	39	48	59	152	98									
		44.83%	33.54%	39.05%	33.86%	36.84%	40.22%	36.51%	36.34%	34.26%	73.86%	42.46%	46.74%	36.97%	48.68%	59.77%	56.30%	36.36%	47.37%	34.67%	62.05%	55.86%	47.11%	40.89%	59.86%	41.94%	51.61%	62.77%	45.78%	48.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	2	0	0	1	0	4	2	1	1	0	1	0	1	0	3	0	3	0	0	0	1	3	1	0	0	0	0	0									
