Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Ульяновская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26937	2529	1430	1325	2191	1014	1564	517	1799	1146	224	184	700	1693	330	607	436	1610	126	205	1325	651	562	601	705	1906	78	686	211	163	419									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28300	2500	1500	1300	2200	1000	1600	570	1800	1200	240	210	800	1800	380	670	490	1700	150	230	1370	700	600	670	790	1900	190	850	240	170	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15926	1507	753	872	1159	511	1220	299	909	610	167	130	473	822	185	388	246	742	98	150	839	469	265	451	491	1127	77	445	167	120	234									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1650	57	33	111	116	58	109	64	60	62	17	28	45	112	42	39	26	114	12	9	29	32	123	46	90	93	0	24	11	13	75									
6	Число погашенных избирательных бюллетеней	10724	936	714	317	925	431	271	207	831	528	56	52	282	866	153	243	218	844	40	71	502	199	212	173	209	680	113	381	62	37	171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1650	57	33	111	116	58	109	64	60	62	17	28	45	112	42	39	26	114	12	9	29	32	123	46	90	93	0	24	11	13	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15917	1505	749	872	1159	511	1220	299	909	610	167	130	473	822	185	388	246	742	98	150	836	469	265	451	491	1127	77	445	167	120	234									
9	Число недействительных избирательных бюллетеней	412	48	12	28	55	15	47	5	18	13	6	1	7	21	1	7	8	18	0	7	24	7	6	1	0	35	3	5	6	2	6									
10	Число действительных избирательных бюллетеней	17155	1514	770	955	1220	554	1282	358	951	659	178	157	511	913	226	420	264	838	110	152	841	494	382	496	581	1185	74	464	172	131	303									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1120	40	20	20	35	15	55	30	35	30	15	25	55	50	30	40	45	70	15	25	50	40	20	60	80	75	10	45	35	10	45									
