Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Тобольская городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81779	1511	1567	1693	1702	1094	1174	2251	2526	1698	2129	2367	1124	1384	2508	2745	2502	1243	1275	1932	2101	2643	1300	1323	1828	1961	1579	1334	1849	1704	1708	2253	1736	2844	1815	1014	1977	1102	828	124	659	526	861	1355	1060	1872	1391	864	933	1300	1188	1789	533									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74400	1400	1500	1500	1600	1000	1000	2000	2300	1600	2300	2100	1000	1300	2200	2500	2300	1100	1100	1700	1900	2400	1200	1300	1700	1800	1500	1200	1700	1500	1500	2000	1500	2500	1500	900	1600	1000	700	100	600	500	700	1200	1000	1700	1400	800	900	1100	1000	1700	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54133	1112	1101	1237	1012	638	656	1230	1959	1350	1559	1347	834	1049	1430	1822	1795	864	721	1119	1254	2120	1020	895	1488	1206	1147	858	1199	1292	1153	1289	932	1890	1261	708	1411	876	665	52	463	380	409	878	559	933	927	485	733	807	710	1046	252									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	639	4	5	11	6	6	1	5	6	7	6	3	5	3	1	4	2	1	3	3	7	4	7	16	1	7	3	11	3	6	10	4	4	9	3	28	9	16	3	2	10	6	5	3	2	5	19	23	13	7	6	24	281									
6	Число погашенных избирательных бюллетеней	19628	284	394	252	582	356	343	765	335	243	735	750	161	248	769	674	503	235	376	578	639	276	173	389	211	587	350	331	498	202	337	707	564	601	236	164	180	108	32	46	127	114	286	319	439	762	454	292	154	286	284	630	267									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	639	4	5	11	6	6	1	5	6	7	6	3	5	3	1	4	2	1	3	3	7	4	7	16	1	7	3	11	3	6	10	4	4	9	3	28	9	16	3	2	10	6	5	3	2	5	19	23	13	7	6	24	281									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54117	1112	1101	1236	1012	638	656	1230	1959	1350	1559	1347	834	1049	1430	1822	1795	864	721	1115	1254	2120	1020	895	1488	1205	1147	858	1199	1292	1153	1289	932	1890	1261	708	1411	876	665	52	463	380	409	878	559	933	927	485	733	797	710	1046	252									
9	Число недействительных избирательных бюллетеней	637	0	24	6	3	20	9	32	4	23	7	20	0	0	5	22	12	9	10	36	28	22	4	5	6	7	25	2	15	0	28	43	15	49	22	3	21	9	10	1	4	4	17	2	0	7	0	8	0	7	2	21	8									
10	Число действительных избирательных бюллетеней	54119	1116	1082	1241	1015	624	648	1203	1961	1334	1558	1330	839	1052	1426	1804	1785	856	714	1082	1233	2102	1023	906	1483	1205	1125	867	1187	1298	1135	1250	921	1850	1242	733	1399	883	658	53	469	382	397	879	561	931	946	500	746	797	714	1049	525									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2482	45	50	50	55	35	35	66	75	60	75	70	35	45	75	85	75	35	40	60	65	80	40	40	55	60	50	40	55	50	50	65	50	85	50	30	55	35	25	5	20	15	25	40	30	55	45	25	30	40	35	71	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	784	9	7	7	9	5	15	26	30	51	20	22	7	12	20	20	19	3	17	21	18	40	13	10	5	19	6	15	19	20	13	18	11	37	22	8	10	3	10	3	9	6	8	13	4	11	13	3	7	6	17	67	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	543	9	5	5	3	3	5	21	13	12	21	13	22	8	15	19	22	7	7	15	6	10	6	15	10	8	9	0	19	20	22	23	11	14	14	6	18	13	6	6	3	4	8	6	7	1	17	7	6	2	10	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	1698	36	43	43	46	30	20	40	45	9	55	48	28	33	55	65	56	32	23	39	47	40	27	30	50	41	44	25	36	30	37	47	39	48	28	22	45	32	15	2	11	9	17	27	26	44	32	22	23	34	18	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	94	1	0	0	1	1	1	2	5	1	3	3	1	1	4	2	2	2	3	1	1	9	5	3	4	4	2	1	2	3	1	2	1	5	1	3	3	1	0	0	0	0	0	0	1	1	3	1	0	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	471	3	10	11	7	5	14	13	10	12	10	17	4	5	33	31	2	4	6	14	12	7	2	7	6	4	5	19	18	16	10	9	19	19	10	4	14	9	0	1	8	1	7	2	2	4	14	1	6	2	2	17	3									
		0.86%	0.27%	0.90%	0.88%	0.69%	0.78%	2.13%	1.05%	0.51%	0.88%	0.64%	1.26%	0.48%	0.48%	2.31%	1.70%	0.11%	0.46%	0.83%	1.25%	0.95%	0.33%	0.19%	0.77%	0.40%	0.33%	0.43%	2.19%	1.50%	1.23%	0.86%	0.70%	2.03%	1.00%	0.79%	0.54%	0.99%	1.01%	0.00%	1.85%	1.69%	0.26%	1.69%	0.23%	0.36%	0.43%	1.48%	0.20%	0.80%	0.25%	0.28%	1.59%	0.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	798	10	17	9	31	17	13	33	14	23	32	14	5	17	25	45	4	27	10	32	22	14	0	8	5	9	6	14	32	5	23	29	14	32	2	16	27	11	2	3	7	12	7	15	1	7	19	9	16	13	12	27	1									
		1.46%	0.90%	1.54%	0.72%	3.05%	2.64%	1.98%	2.67%	0.71%	1.69%	2.04%	1.04%	0.60%	1.62%	1.75%	2.46%	0.22%	3.12%	1.38%	2.86%	1.74%	0.66%	0.00%	0.88%	0.34%	0.74%	0.52%	1.61%	2.66%	0.39%	1.98%	2.24%	1.50%	1.69%	0.16%	2.17%	1.90%	1.23%	0.30%	5.56%	1.48%	3.11%	1.69%	1.70%	0.18%	0.75%	2.01%	1.77%	2.14%	1.62%	1.68%	2.52%	0.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	779	14	13	23	19	11	15	24	15	25	21	14	1	20	18	63	5	6	12	27	22	10	2	7	8	8	11	26	24	16	30	24	25	34	6	15	42	2	0	0	9	5	7	4	9	14	5	9	5	13	2	28	11									
		1.42%	1.25%	1.18%	1.84%	1.87%	1.71%	2.28%	1.94%	0.76%	1.84%	1.34%	1.04%	0.12%	1.90%	1.26%	3.45%	0.28%	0.69%	1.66%	2.42%	1.74%	0.47%	0.19%	0.77%	0.54%	0.66%	0.96%	2.99%	1.99%	1.23%	2.58%	1.86%	2.67%	1.79%	0.47%	2.04%	2.96%	0.22%	0.00%	0.00%	1.90%	1.30%	1.69%	0.45%	1.60%	1.49%	0.53%	1.77%	0.67%	1.62%	0.28%	2.62%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31088	784	630	782	441	361	361	559	1033	827	965	753	428	643	679	950	1157	572	368	471	716	1507	699	511	837	763	630	496	516	763	624	609	434	978	632	446	777	561	467	19	283	237	190	616	328	606	650	301	376	422	461	492	377									
		56.78%	70.25%	56.96%	62.71%	43.32%	56.06%	54.95%	45.26%	52.57%	60.94%	61.66%	55.78%	51.01%	61.12%	47.45%	52.03%	64.39%	66.13%	50.83%	42.13%	56.78%	70.95%	68.06%	56.09%	56.21%	62.95%	54.78%	57.08%	42.93%	58.78%	53.65%	47.10%	46.37%	51.50%	50.00%	60.60%	54.72%	62.89%	69.91%	35.19%	59.83%	61.40%	45.89%	69.92%	58.47%	64.61%	68.71%	59.25%	50.40%	52.49%	64.39%	45.98%	70.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	282	0	5	5	7	4	7	14	4	7	4	4	3	3	3	13	2	3	1	15	11	9	1	3	6	5	5	6	11	9	6	10	10	18	1	8	10	7	0	0	2	0	3	0	1	2	6	2	0	7	3	7	9									
		0.52%	0.00%	0.45%	0.40%	0.69%	0.62%	1.07%	1.13%	0.20%	0.52%	0.26%	0.30%	0.36%	0.29%	0.21%	0.71%	0.11%	0.35%	0.14%	1.34%	0.87%	0.42%	0.10%	0.33%	0.40%	0.41%	0.43%	0.69%	0.92%	0.69%	0.52%	0.77%	1.07%	0.95%	0.08%	1.09%	0.70%	0.78%	0.00%	0.00%	0.42%	0.00%	0.72%	0.00%	0.18%	0.21%	0.63%	0.39%	0.00%	0.87%	0.42%	0.65%	1.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	0	2	2	3	3	1	0	4	1	3	1	2	1	2	3	0	0	2	1	2	1	0	0	5	1	1	2	2	1	1	4	4	1	1	1	3	0	0	0	2	0	0	0	2	0	4	0	0	2	0	7	4									
