Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Хвалынская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543					
1	"Число избирателей, внесенных в списки избирателей"	20023	1543	1110	1671	1652	1592	1752	1267	528	371	638	698	365	186	510	351	797	197	265	344	376	1915	1895					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18890	1400	1000	1500	1500	1400	1500	1100	530	380	620	750	360	220	550	360	820	200	290	340	370	1900	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12347	858	608	956	843	843	887	680	427	321	561	495	229	136	367	249	608	185	186	201	309	1202	1196					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1966	78	70	106	188	75	151	68	40	32	15	148	72	30	96	66	75	11	63	100	43	300	139					
6	Число погашенных избирательных бюллетеней	4577	464	322	438	469	482	462	352	63	27	44	107	59	54	87	45	137	4	41	39	18	398	465					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1966	78	70	106	188	75	151	68	40	32	15	148	72	30	96	66	75	11	63	100	43	300	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12346	857	608	956	843	843	887	680	427	321	561	495	229	136	367	249	608	185	186	201	309	1202	1196					
9	Число недействительных избирательных бюллетеней	133	4	15	11	13	15	13	22	2	0	0	0	1	2	0	6	8	1	0	2	7	1	10					
10	Число действительных избирательных бюллетеней	14179	931	663	1051	1018	903	1025	726	465	353	576	643	300	164	463	309	675	195	249	299	345	1501	1325					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	488	17	12	27	16	30	14	9	16	14	15	50	6	30	50	23	13	3	14	6	15	48	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	474	17	12	25	16	27	14	9	16	14	15	50	6	30	50	23	13	3	14	6	15	48	51					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	120	33	1	7	13	12	3	9	0	1	3	6	1	0	7	1	0	0	0	1	3	15	4					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	3	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	181	11	2	14	11	17	9	15	5	2	9	10	6	1	2	3	10	1	2	2	3	27	19					
		1.26%	1.18%	0.29%	1.32%	1.07%	1.85%	0.87%	2.01%	1.07%	0.57%	1.56%	1.56%	1.99%	0.60%	0.43%	0.95%	1.46%	0.51%	0.80%	0.66%	0.85%	1.80%	1.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	41	4	4	4	10	0	4	2	0	0	1	0	0	0	0	1	1	0	0	0	3	1	6					
		0.29%	0.43%	0.59%	0.38%	0.97%	0.00%	0.39%	0.27%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.32%	0.15%	0.00%	0.00%	0.00%	0.85%	0.07%	0.45%					
20	3.Политическая партия «Демократическая партия России»	8	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0					
		0.06%	0.00%	0.00%	0.00%	0.10%	0.22%	0.00%	0.00%	0.21%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.28%	0.07%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1185	92	84	115	115	134	133	86	14	18	46	35	6	11	15	8	36	5	11	8	22	74	117					
		8.28%	9.84%	12.39%	10.83%	11.15%	14.60%	12.81%	11.50%	2.99%	5.10%	7.99%	5.44%	1.99%	6.63%	3.24%	2.54%	5.27%	2.55%	4.42%	2.66%	6.25%	4.93%	8.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	20	0	1	3	2	9	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.14%	0.00%	0.15%	0.28%	0.19%	0.98%	0.19%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	84	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	78					
		0.59%	0.00%	0.15%	0.00%	0.19%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	5.84%					
24	7.Политическая партия «Либерально-демократическая партия России»	671	53	36	58	52	64	56	53	23	14	42	27	6	4	18	12	24	1	6	18	3	39	62					
		4.69%	5.67%	5.31%	5.46%	5.04%	6.97%	5.39%	7.09%	4.93%	3.97%	7.29%	4.20%	1.99%	2.41%	3.89%	3.81%	3.51%	0.51%	2.41%	5.98%	0.85%	2.60%	4.64%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	882	89	82	130	77	81	109	53	11	10	10	23	9	3	13	14	48	1	20	12	12	75	0					
		6.16%	9.52%	12.09%	12.24%	7.47%	8.82%	10.50%	7.09%	2.36%	2.83%	1.74%	3.58%	2.99%	1.81%	2.81%	4.44%	7.03%	0.51%	8.03%	3.99%	3.41%	4.99%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	2	1	7	8	7	6	2	1	0	3	4	0	1	2	4	4	0	0	1	3	1	2					
		0.41%	0.21%	0.15%	0.66%	0.78%	0.76%	0.58%	0.27%	0.21%	0.00%	0.52%	0.62%	0.00%	0.60%	0.43%	1.27%	0.59%	0.00%	0.00%	0.33%	0.85%	0.07%	0.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10975	675	444	716	723	569	698	511	410	304	465	543	273	144	413	267	549	187	210	257	298	1282	1037					
		76.68%	72.19%	65.49%	67.42%	70.13%	61.98%	67.24%	68.32%	87.79%	86.12%	80.73%	84.45%	90.70%	86.75%	89.20%	84.76%	80.38%	95.41%	84.34%	85.38%	84.66%	85.35%	77.68%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	73	5	8	4	17	18	8	2	0	4	0	1	0	0	0	0	1	0	0	0	0	1	4					
		0.51%	0.53%	1.18%	0.38%	1.65%	1.96%	0.77%	0.27%	0.00%	1.13%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.07%	0.30%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
