Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Бирская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463					
1	"Число избирателей, внесенных в список избирателей"	46444	1688	2094	2210	2607	2372	2298	2650	1661	1664	2167	1519	2300	2065	2800	1659	1650	680	606	436	326	270	394	360	868	384	1032	302	336	387	171	460	762	148	693	998	739	339	575	438	460	442	434					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44130	1600	1950	2000	2400	2300	2200	2500	1500	1500	2100	1300	2200	2000	2700	1500	1500	670	600	430	320	260	390	350	870	380	1000	290	340	380	170	470	760	150	690	1000	730	330	570	430	450	430	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29673	1378	809	1842	1719	1494	1088	1146	1312	1174	1132	832	1623	942	1321	1263	1327	356	346	362	147	187	362	251	464	215	896	164	222	267	137	352	558	109	501	628	529	307	446	403	337	383	342					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1769	41	182	39	72	37	21	23	50	29	30	30	33	47	22	14	59	45	21	10	123	39	12	30	44	15	104	50	27	33	13	65	39	26	62	50	55	23	31	16	47	14	46					
6	Число погашенных избирательных бюллетеней	12688	181	959	119	609	769	1091	1331	138	297	938	438	544	1011	1357	223	114	269	233	58	50	34	16	69	362	150	0	76	91	80	20	53	163	15	127	322	146	0	93	11	66	33	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1769	41	182	39	72	37	21	23	50	29	30	30	33	47	22	14	59	45	21	10	123	39	12	30	44	15	104	50	27	33	13	65	39	26	62	50	55	23	31	16	47	14	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29661	1378	809	1842	1719	1494	1088	1138	1312	1174	1132	832	1623	942	1317	1263	1327	356	346	362	147	187	362	251	464	215	896	164	222	267	137	352	558	109	501	628	529	307	446	403	337	383	342					
9	Число недействительных избирательных бюллетеней	248	15	12	0	13	0	9	15	0	0	17	13	0	10	10	6	9	6	2	1	6	4	10	9	9	2	0	2	8	4	0	0	5	0	1	15	1	1	17	8	6	0	2					
10	Число действительных избирательных бюллетеней	31182	1404	979	1881	1778	1531	1100	1146	1362	1203	1145	849	1656	979	1329	1271	1377	395	365	371	264	222	364	272	499	228	1000	212	241	296	150	417	592	135	562	663	583	329	460	411	378	397	386					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	488	17	14	21	23	20	20	28	17	20	15	10	15	20	35	22	10	5	26	4	17	10	3	3	6	2	5	4	13	3	3	5	5	2	5	20	5	5	5	5	6	4	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	482	16	14	21	22	20	20	28	17	20	15	10	15	20	35	21	10	5	26	4	17	10	3	3	6	2	5	4	13	3	0	5	5	2	5	20	5	5	5	5	6	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	328	1	85	8	24	4	6	10	6	11	5	15	25	8	15	12	10	4	5	2	4	7	5	2	2	2	7	2	2	3	0	1	4	2	0	2	4	4	4	2	6	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	1	0	1	2	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1768	70	71	59	116	11	21	137	6	14	118	75	53	124	122	5	12	38	33	12	25	27	30	24	37	24	90	13	25	23	10	41	51	4	37	50	43	23	33	20	18	3	20					
		5.63%	4.93%	7.16%	3.14%	6.48%	0.72%	1.89%	11.80%	0.44%	1.16%	10.15%	8.70%	3.20%	12.54%	9.11%	0.39%	0.87%	9.48%	8.99%	3.23%	9.26%	11.95%	8.02%	8.54%	7.28%	10.43%	9.00%	6.07%	10.04%	7.67%	6.67%	9.83%	8.54%	2.96%	6.57%	7.37%	7.36%	6.97%	6.92%	4.77%	4.69%	0.76%	5.15%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1684	73	124	35	99	101	15	113	10	21	95	103	7	96	124	62	19	50	18	13	12	9	20	22	43	30	7	16	15	14	5	12	71	7	31	30	35	32	35	25	12	2	21					
		5.36%	5.14%	12.51%	1.86%	5.53%	6.60%	1.35%	9.73%	0.73%	1.75%	8.18%	11.95%	0.42%	9.71%	9.26%	4.86%	1.37%	12.47%	4.90%	3.49%	4.44%	3.98%	5.35%	7.83%	8.46%	13.04%	0.70%	7.48%	6.02%	4.67%	3.33%	2.88%	11.89%	5.19%	5.51%	4.42%	5.99%	9.70%	7.34%	5.97%	3.13%	0.50%	5.41%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	162	4	7	11	16	4	6	14	0	4	6	11	0	5	16	0	9	0	3	1	2	3	4	4	2	2	0	4	0	1	0	1	1	0	6	3	4	1	3	1	2	0	1					
		0.52%	0.28%	0.71%	0.58%	0.89%	0.26%	0.54%	1.21%	0.00%	0.33%	0.52%	1.28%	0.00%	0.51%	1.19%	0.00%	0.65%	0.00%	0.82%	0.27%	0.74%	1.33%	1.07%	1.42%	0.39%	0.87%	0.00%	1.87%	0.00%	0.33%	0.00%	0.24%	0.17%	0.00%	1.07%	0.44%	0.68%	0.30%	0.63%	0.24%	0.52%	0.00%	0.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6114	266	224	497	300	382	281	259	358	301	198	151	308	226	318	319	344	83	63	80	29	38	26	36	69	28	200	17	22	37	24	64	66	11	40	75	62	66	46	58	40	73	29					
		19.45%	18.75%	22.60%	26.42%	16.75%	24.95%	25.34%	22.31%	26.28%	25.02%	17.04%	17.52%	18.60%	22.85%	23.75%	24.98%	24.82%	20.70%	17.17%	21.51%	10.74%	16.81%	6.95%	12.81%	13.58%	12.17%	20.00%	7.94%	8.84%	12.33%	16.00%	15.35%	11.06%	8.15%	7.10%	11.06%	10.62%	20.00%	9.64%	13.84%	10.42%	18.39%	7.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	354	17	16	4	37	5	8	33	0	14	21	28	19	22	38	9	5	7	3	0	0	4	0	0	6	1	2	8	2	3	0	0	6	1	4	8	2	1	6	5	6	0	3					
		1.13%	1.20%	1.61%	0.21%	2.07%	0.33%	0.72%	2.84%	0.00%	1.16%	1.81%	3.25%	1.15%	2.22%	2.84%	0.70%	0.36%	1.75%	0.82%	0.00%	0.00%	1.77%	0.00%	0.00%	1.18%	0.43%	0.20%	3.74%	0.80%	1.00%	0.00%	0.00%	1.01%	0.74%	0.71%	1.18%	0.34%	0.30%	1.26%	1.19%	1.56%	0.00%	0.77%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21017	969	536	1270	1207	1025	765	588	988	842	704	474	1266	500	700	876	986	217	245	265	193	141	284	186	341	142	701	154	176	217	110	299	395	111	442	495	436	206	337	299	298	319	312					
