Выборы Президента Российской Федерации																																															
Дата голосования: 02.03.2008																																															
																																															
Наименование Избирательной комиссии:    Золотухинская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
	Число участковых избирательных комиссий	40																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																													
																																															
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488					
1	"Число избирателей, включенных в списки избирателей"	18570	411	133	378	139	269	600	1047	212	361	230	342	333	426	292	369	79	290	1019	828	968	1052	530	169	257	806	1249	530	290	65	318	313	1062	1010	652	459	249	385	110	154	184					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18050	420	130	380	150	260	550	1025	195	360	240	320	360	420	290	360	100	310	950	770	910	970	525	170	255	820	1200	540	320	70	300	290	1010	945	630	435	240	385	115	145	185					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	10948	274	93	247	83	153	295	658	99	164	145	220	125	238	141	96	43	193	658	523	594	609	304	94	163	512	720	169	205	43	149	213	665	641	482	327	132	230	68	75	105					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2750	71	22	61	39	55	123	109	50	140	51	62	117	85	110	147	33	71	50	55	33	72	110	34	62	69	71	191	67	16	90	33	15	14	52	69	68	92	31	58	52					
6	Число погашенных избирательных бюллетеней	4352	75	15	72	28	52	132	258	46	56	44	38	118	97	39	117	24	46	242	192	283	289	111	42	30	239	409	180	48	11	61	44	330	290	96	39	40	63	16	12	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2750	71	22	61	39	55	123	109	50	140	51	62	117	85	110	147	33	71	50	55	33	72	110	34	62	69	71	191	67	16	90	33	15	14	52	69	68	92	31	58	52					
