Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Черниговская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3280									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28340	1661	1400	329	1779	1765	1767	1683	73	1012	328	480	431	327	687	1443	109	378	572	198	200	767	279	2027	2017	807	1432	1735	1430	598	161	389	76									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27450	1600	1400	300	1800	1700	1800	1700	70	1000	300	400	400	300	650	1400	100	300	500	200	150	700	200	2000	2000	800	1400	1600	1500	600	150	350	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	26	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10220	772	424	88	596	566	689	413	49	400	131	174	161	99	212	486	41	138	186	83	62	298	97	761	760	262	440	494	871	158	69	219	21									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	846	9	57	32	24	27	39	46	4	98	21	37	18	9	24	42	13	32	30	4	12	3	17	12	17	17	30	95	4	22	5	9	37									
6	Число погашенных избирательных бюллетеней	16358	819	919	180	1180	1107	1072	1241	17	502	148	174	221	192	414	872	46	130	273	113	76	399	86	1227	1223	521	930	1011	625	420	76	122	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	872	9	57	32	24	27	39	46	4	98	21	52	18	9	24	42	13	32	41	4	12	3	17	12	17	17	30	95	4	22	5	9	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10206	772	424	88	594	566	687	412	49	400	131	174	161	99	212	486	41	138	186	83	62	298	97	760	752	262	440	494	871	158	69	219	21									
9	Число недействительных избирательных бюллетеней	473	36	26	4	26	18	17	15	0	20	8	9	12	1	7	16	2	5	2	1	3	12	5	31	30	10	23	32	32	4	5	61	0									
10	Число действительных избирательных бюллетеней	10605	745	455	116	592	575	709	443	53	478	144	217	167	107	229	512	52	165	225	86	71	289	109	741	739	269	447	557	843	176	69	167	58									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	606	50	30	10	30	30	30	30	2	20	10	10	10	5	15	30	3	10	10	5	5	20	6	40	40	15	30	30	50	15	5	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	235	17	6	3	24	17	20	9	0	7	4	10	3	5	1	4	1	10	10	1	1	6	6	9	5	4	3	7	37	4	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	13	6	6	9	3	8	3	3	2	2	4	4	2	5	4	2	2	0	4	7	8	4	3	8	2	5	2	11	3	6	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	371	33	24	7	6	13	10	21	2	13	6	0	7	0	14	26	2	0	0	4	4	14	0	31	35	11	27	23	13	11	4	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	167	99	3	1	8	10	10	3	0	4	0	0	0	0	0	1	0	0	0	2	0	0	0	6	1	0	3	0	13	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
