Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
1	"Число избирателей, внесенных в список избирателей"	105658	1344	2163	2146	1791	1694	2435	1956	1768	1901	1830	2408	1847	1007	1661	1618	1858	1751	1856	880	1997	2127	1762	1749	1952	1965	1671	1949	1804	2585	2141	2364	581	1580	2216	1562	1324	1572	1944	1528	1733	1525	2776	549	395	2233	1988	1681	1751	1706	1808	2009	1832	2029	2065	1868	2758	2063	2602					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81500	1000	1600	1600	1400	1300	1900	1500	1400	1500	1400	1900	1400	800	1300	1300	1400	1300	1500	600	1500	1600	1400	1400	1500	1500	1300	1500	1300	1900	1600	1900	400	1200	1800	1200	1000	1200	1500	1200	1300	1200	2100	1000	300	1600	1500	1300	1300	1300	1300	1500	1500	1600	1600	1500	2100	1600	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	71855	959	1552	1548	882	778	1235	911	1359	1461	1350	1822	1363	780	688	756	901	708	1476	578	1482	1582	765	826	1005	1474	1285	1420	1266	1861	1559	1865	390	1125	1742	1149	963	1152	1407	1134	758	719	2052	548	287	1571	1488	1243	1175	1260	1280	1456	1471	1570	1538	1416	2020	1565	1879					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1910	38	43	50	24	21	11	16	38	37	48	75	24	12	31	42	8	20	18	13	16	17	12	14	9	25	10	77	29	38	40	31	4	74	47	47	31	44	78	61	10	21	44	1	9	26	9	55	56	39	13	43	28	26	59	78	77	33	10					
6	Число погашенных избирательных бюллетеней	7735	3	5	2	494	501	654	573	3	2	2	3	13	8	581	502	491	572	6	9	2	1	623	560	486	1	5	3	5	1	1	4	6	1	11	4	6	4	15	5	532	460	4	451	4	3	3	2	69	1	7	1	1	4	3	6	3	2	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1910	38	43	50	24	21	11	16	38	37	48	75	24	12	31	42	8	20	18	13	16	17	12	14	9	25	10	77	29	38	40	31	4	74	47	47	31	44	78	61	10	21	44	1	9	26	9	55	56	39	13	43	28	26	59	78	77	33	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71823	959	1550	1547	882	777	1235	911	1359	1461	1350	1821	1363	780	688	756	901	708	1476	578	1482	1582	765	826	1005	1474	1285	1420	1266	1860	1559	1865	390	1125	1742	1149	963	1152	1407	1134	758	719	2050	548	287	1569	1488	1243	1175	1260	1278	1454	1471	1570	1521	1416	2020	1564	1879					
9	Число недействительных избирательных бюллетеней	292	0	1	1	11	7	16	9	0	2	1	6	12	3	14	10	14	8	4	8	3	3	8	9	10	4	5	2	3	1	1	2	3	1	7	2	5	4	11	4	8	8	1	34	0	1	0	0	3	1	7	1	2	0	1	2	5	2	1					
10	Число действительных избирательных бюллетеней	73441	997	1592	1596	895	791	1230	918	1397	1496	1397	1890	1375	789	705	788	895	720	1490	583	1495	1596	769	831	1004	1495	1290	1495	1292	1897	1598	1894	391	1198	1782	1194	989	1192	1474	1191	760	732	2093	515	296	1594	1497	1298	1228	1298	1284	1496	1497	1596	1579	1492	2092	1595	1888					
