Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
1	"Число избирателей, внесенных в списки избирателей"	111592	1417	2325	2230	1863	1800	2474	2058	1766	1968	1881	2441	1948	1446	1740	1737	1941	2033	2066	864	2137	2060	1851	1882	2113	2039	1736	2850	1865	2493	2139	2491	1415	1605	2331	1673	1435	1524	1747	1664	1797	1669	2477	1647	409	2329	2047	1757	1855	1857	1931	2170	1994	2179	2132	1892	2233	2067	2102					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	90500	1000	2000	2000	1500	1500	2000	1800	1500	1500	1500	2000	1500	1200	1500	1500	1500	1700	1700	800	2000	1700	1500	1500	1700	1700	1500	2500	1500	2000	1700	2000	1000	1300	2000	1300	1100	1200	1500	1300	1500	1300	2000	1300	300	2000	1500	1500	1500	1500	1500	1700	1500	1700	1700	1500	1700	1500	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	52809	517	1223	1106	990	861	1288	1040	929	1009	972	1171	915	633	805	826	985	881	1001	480	936	826	837	920	1066	954	821	1355	911	1159	961	1084	542	645	1028	766	784	709	799	806	834	821	1107	503	198	1126	1036	908	954	836	981	1055	956	911	1023	945	1103	852	1119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1692	55	24	39	29	17	23	26	18	25	34	203	22	12	17	18	20	7	27	16	36	30	23	16	15	26	25	9	23	30	67	39	21	8	32	55	20	5	8	6	22	22	19	16	11	12	21	14	11	32	20	8	12	27	28	37	90	155	9					
6	Число погашенных избирательных бюллетеней	35999	428	753	855	481	622	689	734	553	466	494	626	563	555	678	656	495	812	672	304	1028	844	640	564	619	720	654	1136	566	811	672	877	437	647	940	479	296	486	693	488	644	457	874	781	91	862	443	578	535	632	499	637	532	762	649	518	507	493	472					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1692	55	24	39	29	17	23	26	18	25	34	203	22	12	17	18	20	7	27	16	36	30	23	16	15	26	25	9	23	30	67	39	21	8	32	55	20	5	8	6	22	22	19	16	11	12	21	14	11	32	20	8	12	27	28	37	90	155	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52795	517	1223	1106	990	861	1288	1040	928	1009	972	1171	915	633	802	826	985	880	1001	480	936	826	837	920	1065	954	821	1355	911	1159	961	1084	542	645	1028	766	784	709	799	806	833	820	1107	503	198	1126	1036	908	954	836	980	1054	956	908	1023	944	1103	852	1119					
9	Число недействительных избирательных бюллетеней	575	5	12	10	10	5	27	11	5	19	16	16	15	6	14	9	9	9	8	7	12	5	12	7	13	10	9	12	12	9	8	13	3	10	12	8	3	4	12	8	5	13	11	8	1	12	10	7	8	6	9	6	14	10	15	8	13	10	14					
10	Число действительных избирательных бюллетеней	53912	567	1235	1135	1009	873	1284	1055	941	1015	990	1358	922	639	805	835	996	878	1020	489	960	851	848	929	1067	970	837	1352	922	1180	1020	1110	560	643	1048	813	801	710	795	804	850	829	1115	511	208	1126	1047	915	957	862	991	1056	954	925	1036	973	1180	997	1114					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1024	9	30	20	20	15	15	20	15	20	25	20	15	15	15	15	20	15	28	10	15	15	15	15	15	15	15	25	20	35	25	25	15	15	15	20	25	15	15	25	15	15	15	15	2	15	20	25	15	15	15	20	25	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	826	7	30	20	20	13	12	16	12	18	24	17	12	11	5	9	15	11	26	8	6	11	8	14	10	12	8	21	20	33	20	22	8	15	11	17	14	13	13	18	14	10	14	12	0	10	17	19	10	14	15	17	23	8	13	15	10	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	689	4	7	8	7	5	20	4	11	10	24	9	22	9	5	3	8	6	21	3	6	8	11	6	8	12	8	16	29	18	17	14	7	4	17	14	19	7	14	10	13	37	12	7	12	11	11	9	6	17	9	12	6	18	7	7	30	18	16					
