Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
1	"Число избирателей, внесенных в списки"	130020	1065	1109	1072	1255	1454	1880	2603	2745	2107	1399	2166	2291	2420	2085	2219	2152	2094	2621	2070	2648	2082	1997	2812	1902	1829	2064	2206	2061	1964	1914	2413	2401	1942	2017	1968	1880	649	286	1640	2083	1432	1963	1664	2670	1841	2293	2441	2189	2725	2397	2373	2694	2850	285	2127	2335	2734	2663	2859	2718	2647	2079	1060	677	329	18	68	28	175	121					
2	"Число бюллетеней, полученных участковыми комиссиями"	118383	980	1010	980	1150	1320	1710	2370	2510	1910	1270	2000	2090	2210	1900	2010	1960	1930	2410	1870	2430	1900	1820	2560	1710	1670	1880	2010	1850	1800	1740	2190	2180	1770	1830	1790	1700	590	250	1490	1880	1300	1790	1530	2410	1670	2100	2210	1990	2480	2160	2160	2440	2550	260	1950	2130	2490	2440	2620	2470	2420	1920	970	570	300	18	75	30	170	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	64767	457	420	378	459	590	664	1232	939	780	592	1211	1315	1161	1192	1072	1286	1265	1553	1169	1479	1226	1222	1484	1033	1003	1196	1315	1272	1095	1033	1193	1347	801	1035	818	730	91	145	755	725	710	944	830	1382	704	833	1175	1242	1470	1113	892	1428	1267	116	1105	1143	1251	1441	1524	1439	1394	1222	622	305	168	13	67	25	96	113					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2008	10	17	17	14	13	15	20	33	13	19	31	49	30	23	29	25	30	36	22	17	45	28	39	27	33	53	60	36	49	44	35	50	19	52	21	21	140	6	7	71	14	14	22	19	20	62	29	29	35	21	18	28	21	3	14	22	34	40	48	34	30	51	15	5	7	3	1	3	64	3					
6	Число погашенных бюллетеней	51606	513	573	585	677	717	1031	1118	1538	1117	659	758	726	1019	685	909	649	635	821	679	933	629	570	1037	650	634	631	635	542	656	663	962	783	950	743	951	949	359	99	728	1084	576	832	678	1009	946	1205	1006	719	975	1026	1250	984	1262	141	831	965	1205	959	1048	997	996	647	333	260	125	2	7	2	9	14					
7	Число бюллетеней в переносных ящиках для голосования	2008	10	17	17	14	13	15	20	33	13	19	31	49	30	23	29	25	30	36	22	17	45	28	39	27	33	53	60	36	49	44	35	50	19	52	21	21	140	6	7	71	14	14	22	19	20	62	29	29	35	21	18	28	21	3	14	22	34	40	48	34	30	51	15	5	7	3	1	3	64	3					
8	Число бюллетеней в стационарных ящиках для голосования	64713	457	420	378	456	590	664	1231	939	779	591	1207	1315	1161	1192	1072	1286	1263	1553	1162	1479	1224	1221	1483	1033	1002	1196	1314	1272	1095	1033	1191	1345	800	1034	817	730	91	145	755	723	710	939	829	1382	702	833	1175	1242	1467	1113	890	1426	1267	116	1103	1143	1251	1441	1523	1437	1394	1222	622	305	168	13	67	25	96	113					
9	Число недействительных бюллетеней	647	6	7	2	11	15	6	28	13	11	5	13	6	9	12	15	15	11	4	9	9	6	4	16	9	4	4	6	16	8	12	8	10	7	11	4	7	3	3	13	6	9	4	5	24	20	8	11	14	4	9	14	12	23	4	22	10	13	14	11	8	8	10	5	7	6	0	0	1	2	5					
10	Число действительных бюллетеней	66074	461	430	393	459	588	673	1223	959	781	605	1225	1358	1182	1203	1086	1296	1282	1585	1175	1487	1263	1245	1506	1051	1031	1245	1368	1292	1136	1065	1218	1385	812	1075	834	744	228	148	749	788	715	949	846	1377	702	887	1193	1257	1498	1125	894	1442	1265	115	1095	1155	1272	1467	1560	1463	1416	1263	632	303	169	16	68	27	158	111					
