Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Холмская судовая																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №417	УИК №420	УИК №421	УИК №422	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440					
1	"Число избирателей, внесенных в списки"	1773	25	22	22	21	22	23	18	23	21	28	21	22	22	29	22	21	49	56	54	37	31	20	22	19	18	19	19	19	11	17	15	22	47	32	9	26	11	21	12	13	11	11	16	12	12	5	19	23	50	19	22	25	67	100	18	48	20	41	23	31	27	15	15	14	17	26	18	20	17	25	24	21					
2	"Число бюллетеней, полученных участковыми комиссиями"	1773	25	22	22	21	22	23	18	23	21	28	21	22	22	29	22	21	49	56	54	37	31	20	22	19	18	19	19	19	11	17	15	22	47	32	9	26	11	21	12	13	11	11	16	12	12	5	19	23	50	19	22	25	67	100	18	48	20	41	23	31	27	15	15	14	17	26	18	20	17	25	24	21					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1751	25	22	22	21	22	23	18	23	21	28	21	22	22	29	22	21	49	56	54	37	31	20	22	19	18	19	19	19	10	17	15	22	46	32	9	26	11	21	12	13	11	11	16	12	12	5	19	23	42	17	22	25	62	96	18	47	20	41	23	31	27	15	15	14	17	26	18	20	17	25	24	21					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1751	25	22	22	21	22	23	18	23	21	28	21	22	22	29	22	21	49	56	54	37	31	20	22	19	18	19	19	19	10	17	15	22	46	32	9	26	11	21	12	13	11	11	16	12	12	5	19	23	42	17	22	25	62	96	18	47	20	41	23	31	27	15	15	14	17	26	18	20	17	25	24	21					
9	Число недействительных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0					
10	Число действительных бюллетеней	1740	25	22	22	21	22	23	18	23	21	28	21	22	22	29	22	21	49	56	52	37	31	20	22	19	18	19	19	19	10	17	15	22	43	32	9	26	11	21	12	13	11	11	16	12	12	5	19	23	42	17	22	25	62	92	18	47	20	41	23	31	27	15	15	14	17	26	18	19	17	25	23	21					
