Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №9																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	109569	1989	2405	1856	1472	1826	2081	1861	2093	2208	2555	2715	2302	2636	1991	2862	2393	1617	2458	2573	2687	2022	1892	1797	2156	1535	2373	1591	2414	2097	2267	2247	2166	1813	2312	2356	1445	1174	2132	2481	1634	1805	2520	2453	2358	2614	2555	2387	2164	1728	2255	2246									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96300	1500	2000	1500	1100	1500	2000	1500	2000	2000	2500	2500	2000	2500	1500	2500	2000	1500	2000	2500	2500	2000	1500	1500	2000	1100	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	1100	1000	2000	2000	1500	1500	2500	2000	2000	2500	2500	2000	2000	1500	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34538	670	878	494	461	603	682	578	705	692	759	860	671	711	659	948	800	501	753	824	820	591	541	603	682	591	814	591	715	682	714	715	654	474	806	810	473	294	731	764	470	540	734	737	735	878	810	767	676	566	613	698									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	207	4	11	3	3	3	7	10	7	5	9	4	9	8	10	10	10	7	3	5	2	3	0	0	2	1	4	0	4	3	3	1	3	2	0	2	1	0	3	6	1	4	3	1	1	10	6	3	1	3	2	4									
6	Число погашенных избирательных бюллетеней	61553	826	1111	1003	636	894	1311	912	1288	1303	1732	1636	1320	1781	831	1542	1190	992	1244	1671	1678	1406	959	897	1316	508	1182	909	1281	1315	1283	1282	1343	1024	1194	1188	626	706	1266	1230	1029	956	1763	1262	1264	1612	1684	1230	1323	931	1385	1298									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	207	4	11	3	3	3	7	10	7	5	9	4	9	8	10	10	10	7	3	5	2	3	0	0	2	1	4	0	4	3	3	1	3	2	0	2	1	0	3	6	1	4	3	1	1	10	6	3	1	3	2	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34245	657	737	494	448	603	675	558	691	692	759	860	671	711	658	948	799	501	752	822	820	589	540	602	682	587	814	591	712	676	713	715	654	474	801	808	473	294	727	755	467	538	734	718	735	868	807	765	676	565	613	696									
9	Число недействительных избирательных бюллетеней	763	16	17	14	18	10	9	7	36	25	17	0	18	0	14	14	27	15	11	12	12	12	7	8	9	11	17	4	13	14	31	12	17	14	15	43	12	12	27	16	8	17	27	18	4	13	17	18	11	14	11	19									
10	Число действительных избирательных бюллетеней	33689	645	731	483	433	596	673	561	662	672	751	864	662	719	654	944	782	493	744	815	810	580	533	594	675	577	801	587	703	665	685	704	640	462	786	767	462	282	703	745	460	525	710	701	732	865	796	750	666	554	604	681									
