Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Зианчуринская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280					
1	"Число избирателей, внесенных в списки"	19914	715	117	90	302	284	124	126	89	272	85	141	200	146	896	240	258	72	246	499	181	74	385	43	355	146	292	83	162	392	201	319	323	165	192	174	152	155	106	131	270	1411	1234	834	120	1561	111	465	32	298	144	97	450	609	145	517	540	201	88	622	123	71	90	74	874					
2	"Число бюллетеней, полученных участковыми комиссиями"	19852	725	117	90	300	282	124	134	100	280	86	140	202	145	911	242	252	75	240	516	181	75	400	44	370	149	316	84	164	391	191	327	312	166	201	180	157	165	117	142	269	1386	1167	780	124	1521	116	448	34	298	144	102	442	613	147	524	541	215	89	619	123	71	90	78	818					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17168	710	115	90	269	259	110	118	73	263	85	140	200	145	817	214	217	72	213	366	162	62	378	43	328	142	275	75	159	365	191	300	278	164	155	165	133	150	104	112	196	1010	936	597	114	1181	87	424	25	293	144	95	385	518	133	484	442	195	78	588	119	62	90	67	688					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	607	5	2	0	10	16	6	3	16	9	0	0	0	0	0	0	8	0	0	52	0	0	7	0	0	0	17	6	0	16	0	7	18	1	9	8	0	4	2	14	12	54	32	17	6	43	10	13	0	5	0	2	34	33	2	0	30	6	9	7	4	0	0	6	46					
6	Число погашенных бюллетеней	2077	10	0	0	21	7	8	13	11	8	1	0	2	0	94	28	27	3	27	98	19	13	15	1	42	7	24	3	5	10	0	20	16	1	37	7	24	11	11	16	61	322	199	166	4	297	19	11	9	0	0	5	23	62	12	40	69	14	2	24	0	9	0	5	84					
7	Число бюллетеней в переносных ящиках для голосования	607	5	2	0	10	16	6	3	16	9	0	0	0	0	0	0	8	0	0	52	0	0	7	0	0	0	17	6	0	16	0	7	18	1	9	8	0	4	2	14	12	54	32	17	6	43	10	13	0	5	0	2	34	33	2	0	30	6	9	7	4	0	0	6	46					
8	Число бюллетеней в стационарных ящиках для голосования	17168	710	115	90	269	259	110	118	73	263	85	140	200	145	817	214	217	72	213	366	162	62	378	43	328	142	275	75	159	365	191	300	278	164	155	165	133	150	104	112	196	1010	936	597	114	1181	87	424	25	293	144	95	385	518	133	484	442	195	78	588	119	62	90	67	688					
9	Число недействительных бюллетеней	351	2	1	0	0	1	0	4	0	5	0	1	0	0	3	5	1	1	0	2	1	0	11	0	6	9	17	4	0	6	0	2	15	0	2	16	8	1	6	3	22	29	32	22	4	22	0	10	0	0	0	0	5	11	0	4	0	9	1	3	9	4	0	1	30					
10	Число действительных бюллетеней	17424	713	116	90	279	274	116	117	89	267	85	139	200	145	814	209	224	71	213	416	161	62	374	43	322	133	275	77	159	375	191	305	281	165	162	157	125	153	100	123	186	1035	936	592	116	1202	97	427	25	298	144	97	414	540	135	480	472	192	86	592	114	58	90	72	704					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	5	2	2	3	2	2	3	2	5	2	2	2	2	5	2	5	2	3	5	2	2	5	2	5	2	5	2	2	5	2	3	5	2	2	3	5	2	2	2	5	35	35	17	6	30	2	5	2	3	2	2	5	3	2	5	3	2	2	5	2	2	2	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	171	5	0	0	3	1	1	1	0	1	1	0	0	2	1	0	1	0	0	5	0	2	0	0	0	0	0	0	0	1	2	3	3	0	0	2	2	0	1	0	1	33	33	11	0	30	0	5	2	0	0	0	5	3	0	0	0	0	0	5	0	1	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	5	0	0	1	0	0	0	2	2	0	2	0	0	0	1	1	0	1	4	3	2	3	0	1	1	2	0	0	5	0	0	2	0	3	1	0	1	1	0	0	8	5	4	0	8	0	3	0	3	1	0	5	1	0	2	2	5	0	6	4	0	0	0	2					
14	Число погашенных открепительных удостоверений	127	0	2	2	0	1	1	2	2	4	1	2	2	0	4	2	4	2	3	0	2	0	5	2	5	2	5	2	2	4	0	0	2	2	2	1	3	2	1	2	4	2	2	6	6	0	2	0	0	3	2	2	0	0	2	5	3	2	2	0	2	1	0	2	1					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	646	29	7	0	9	7	4	1	0	9	0	6	9	4	25	4	7	0	7	16	4	1	17	0	20	8	11	7	6	17	3	4	7	6	5	5	3	3	5	3	10	33	33	17	4	44	7	17	1	18	7	0	20	33	7	19	25	11	2	16	0	8	2	10	23					
		3.63%	4.05%	5.98%	0.0%	3.22%	2.54%	3.44%	0.82%	0.0%	3.30%	0.0%	4.28%	4.5%	2.75%	3.05%	1.86%	3.11%	0.0%	3.28%	3.82%	2.46%	1.61%	4.41%	0.0%	6.09%	5.63%	3.76%	8.64%	3.77%	4.46%	1.57%	1.30%	2.36%	3.63%	3.04%	2.89%	2.25%	1.94%	4.71%	2.38%	4.80%	3.10%	3.40%	2.76%	3.33%	3.59%	7.21%	3.89%	4.0%	6.04%	4.86%	0.0%	4.77%	5.98%	5.18%	3.92%	5.29%	5.47%	2.29%	2.68%	0.0%	12.90%	2.22%	13.69%	3.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	114	2	0	0	0	1	0	1	0	0	0	0	0	0	5	5	0	0	1	2	0	1	3	0	0	0	2	0	0	0	0	0	1	0	4	0	0	0	1	2	4	14	14	8	0	13	0	1	0	0	0	1	1	1	2	3	4	0	2	5	0	0	2	1	7					
		0.64%	0.27%	0.0%	0.0%	0.0%	0.36%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	2.33%	0.0%	0.0%	0.46%	0.47%	0.0%	1.61%	0.77%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	2.43%	0.0%	0.0%	0.0%	0.94%	1.58%	1.92%	1.31%	1.44%	1.30%	0.0%	1.06%	0.0%	0.22%	0.0%	0.0%	0.0%	1.03%	0.23%	0.18%	1.48%	0.61%	0.84%	0.0%	2.29%	0.84%	0.0%	0.0%	2.22%	1.36%	0.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	279	8	0	0	3	2	2	1	3	3	0	0	1	0	5	5	5	0	3	5	4	1	3	0	10	2	4	1	0	2	1	0	3	0	10	1	4	1	2	4	5	40	31	4	0	23	1	10	0	4	0	0	6	17	0	2	9	5	3	7	0	1	0	1	11					
		1.56%	1.11%	0.0%	0.0%	1.07%	0.72%	1.72%	0.82%	3.37%	1.10%	0.0%	0.0%	0.5%	0.0%	0.61%	2.33%	2.22%	0.0%	1.40%	1.19%	2.46%	1.61%	0.77%	0.0%	3.04%	1.40%	1.36%	1.23%	0.0%	0.52%	0.52%	0.0%	1.01%	0.0%	6.09%	0.57%	3.00%	0.64%	1.88%	3.17%	2.40%	3.75%	3.20%	0.65%	0.0%	1.87%	1.03%	2.28%	0.0%	1.34%	0.0%	0.0%	1.43%	3.08%	0.0%	0.41%	1.90%	2.48%	3.44%	1.17%	0.0%	1.61%	0.0%	1.36%	1.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	109	5	0	2	1	0	1	2	0	4	0	0	0	1	3	2	0	0	3	4	1	0	2	0	2	3	2	0	0	0	0	1	3	0	1	0	3	0	0	2	0	9	8	9	1	11	1	0	0	1	0	0	6	2	1	0	2	3	2	0	0	0	0	0	5					
		0.61%	0.69%	0.0%	2.22%	0.35%	0.0%	0.86%	1.65%	0.0%	1.47%	0.0%	0.0%	0.0%	0.68%	0.36%	0.93%	0.0%	0.0%	1.40%	0.95%	0.61%	0.0%	0.51%	0.0%	0.60%	2.11%	0.68%	0.0%	0.0%	0.0%	0.0%	0.32%	1.01%	0.0%	0.60%	0.0%	2.25%	0.0%	0.0%	1.58%	0.0%	0.84%	0.82%	1.46%	0.83%	0.89%	1.03%	0.0%	0.0%	0.33%	0.0%	0.0%	1.43%	0.36%	0.74%	0.0%	0.42%	1.49%	2.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%					
22	"5. ""За Русь Святую"""	31	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	2	1	0	2	0	0	0	1	0	0	0	2	0	1	2	0	0	1	0	0	1	0	4					
		0.17%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.46%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.25%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.65%	0.20%	0.16%	0.0%	0.16%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.36%	0.0%	0.20%	0.42%	0.0%	0.0%	0.16%	0.0%	0.0%	1.11%	0.0%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	67	0	0	0	0	1	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	4	0	3	2	1	0	0	1	2	0	3	1	1	0	1	1	0	2	0	1	2	0	3	5	0	5	0	1	0	1	0	5	1	1	0	0	0	7	0	3	0	0	2					
		0.37%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.48%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.91%	1.40%	0.34%	0.0%	0.0%	0.26%	1.04%	0.0%	1.01%	0.60%	0.60%	0.0%	0.75%	0.64%	0.0%	1.58%	0.0%	0.09%	0.20%	0.0%	2.5%	0.40%	0.0%	1.14%	0.0%	0.33%	0.0%	1.03%	0.0%	0.90%	0.74%	0.20%	0.0%	0.0%	0.0%	1.17%	0.0%	4.83%	0.0%	0.0%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	108	9	0	1	1	0	1	3	0	0	0	0	1	0	8	1	2	0	0	0	0	0	2	0	5	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	5	16	12	7	0	19	0	2	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	4					
		0.60%	1.25%	0.0%	1.11%	0.35%	0.0%	0.86%	2.47%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.97%	0.46%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	1.52%	0.0%	0.68%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	2.40%	1.50%	1.23%	1.14%	0.0%	1.55%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.74%	0.0%	0.21%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.54%					
25	"8. ""Народно-республиканская партия России"""	44	5	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	2	1	2	0	0	0	2	1	0	1	0	0	3	2	1	1	0	0	0	0	0	0	0	0	1	1	0	4	5	2	0	1	0	0	0	0	2					
		0.24%	0.69%	0.0%	0.0%	0.35%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.25%	0.0%	0.0%	0.0%	0.34%	0.0%	1.25%	0.26%	1.04%	0.0%	0.0%	0.0%	1.21%	0.57%	0.0%	0.64%	0.0%	0.0%	1.44%	0.18%	0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.18%	0.0%	0.82%	1.05%	0.99%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.27%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	6	3	1	1	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6					
		0.20%	0.41%	0.0%	0.0%	0.35%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.68%	1.23%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.56%	0.30%	0.16%	0.83%	0.16%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%					
27	"10. ""Аграрная партия России"""	1046	39	4	2	14	27	7	3	2	14	0	2	23	4	75	39	15	2	13	22	25	4	7	1	41	11	8	0	1	7	7	5	22	2	12	19	7	5	3	6	8	43	27	15	3	42	5	52	3	16	1	5	37	45	21	54	57	13	8	26	8	7	1	1	48					
