Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Каменск-Шахтинская городская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №2461	УИК №2462					
1	"Число избирателей, внесенных в список"	75304	1567	1090	1501	1701	2863	1182	1847	1507	1642	2220	2373	1815	1031	1684	1598	2328	1637	1606	1485	2133	1109	1604	2440	2460	2642	2688	1976	1851	2351	484	2235	2545	2220	1935	1028	1501	2042	1805	975	1226	2151	160	1066					
2	Число полученных избирательных бюллетеней	74700	1530	1050	1500	1700	2850	1150	1800	1500	1650	2250	2350	1700	1000	1650	1600	2250	1600	1600	1450	2100	1100	1600	2350	2450	2600	2650	2000	1800	2250	450	2200	2500	2200	1850	1000	1500	2000	1750	900	1150	2150	170	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45721	1060	621	845	1016	1543	704	1109	969	1024	1444	1509	1218	680	1060	892	1478	1064	1076	909	1374	649	988	1543	1507	1637	1642	1197	1163	1411	207	1375	1617	1439	1067	516	771	1134	876	401	530	1335	159	962					
5	"Число избирательных бюллетеней, выданных вне помещения"	2294	48	52	37	47	63	27	38	43	48	42	53	67	37	32	53	46	64	37	36	45	80	71	39	86	31	43	58	27	58	38	60	37	120	53	65	53	46	65	191	117	41	0	0					
6	Число погашенных избирательных бюллетеней	26685	422	377	618	637	1244	419	653	488	578	764	788	415	283	558	655	726	472	487	505	681	371	541	768	857	932	965	745	610	781	205	765	846	641	730	419	676	820	809	308	503	774	11	838					
7	Число избирательных бюллетеней в переносных ящиках	2294	48	52	37	47	63	27	38	43	48	42	53	67	37	32	53	46	64	37	36	45	80	71	39	86	31	43	58	27	58	38	60	37	120	53	65	53	46	65	191	117	41	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	45715	1060	621	845	1016	1543	704	1109	969	1024	1444	1509	1218	680	1060	892	1478	1064	1076	909	1374	649	988	1543	1507	1637	1640	1197	1163	1411	207	1375	1617	1439	1067	516	771	1134	876	401	530	1332	159	961					
9	Число недействительных избирательных бюллетеней	324	8	5	9	13	12	7	5	6	8	11	2	46	0	10	4	7	3	7	8	4	2	7	6	6	15	4	10	10	9	0	2	13	14	11	5	4	10	5	2	3	4	2	5					
10	Число действительных избирательных бюллетеней	47685	1100	668	873	1050	1594	724	1142	1006	1064	1475	1560	1239	717	1082	941	1517	1125	1106	937	1415	727	1052	1576	1587	1653	1679	1245	1180	1460	245	1433	1641	1545	1109	576	820	1170	936	590	644	1369	157	956					
11	Число полученных открепительных  удостоверений	1493	35	18	28	20	40	30	20	40	41	42	35	34	25	20	35	65	30	40	35	38	20	30	40	55	63	51	40	45	40	0	30	30	30	30	10	20	25	15	8	10	40	0	190					
12	Число выданных открепительных удостоверений	1395	30	14	28	20	39	30	20	36	37	42	35	34	23	19	34	60	30	39	33	37	19	30	40	51	56	51	38	35	34	0	27	27	24	18	6	20	22	15	6	6	40	0	190					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1069	31	10	13	9	13	10	12	29	14	15	18	129	23	10	11	11	23	7	21	29	11	29	54	9	91	22	10	12	66	7	13	7	11	17	12	8	6	13	10	8	13	159	43					
14	Число неиспользованных открепительных удостоверений	98	5	4	0	0	1	0	0	4	4	0	0	0	2	1	1	5	0	1	2	1	1	0	0	4	7	0	2	10	6	0	3	3	6	12	4	0	3	0	2	4	0	0	0					
