Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Корочанская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в списки избирателей"	31282	1777	1615	1666	520	1807	353	825	328	614	293	337	1701	1494	420	847	356	334	676	533	499	850	351	1369	672	767	616	229	246	148	206	355	1745	584	1231	328	749	285	554	281	600	245	199	1455	222					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30104	1479	1452	1560	505	1642	331	833	324	614	297	339	1538	1350	430	844	351	333	684	513	500	853	350	1357	636	747	618	226	239	139	201	364	1650	597	1256	330	746	288	564	285	597	249	190	1476	227					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21056	1125	1089	1063	312	1149	256	567	216	439	188	220	1129	1063	295	521	290	268	504	318	332	622	251	804	424	624	455	152	172	69	125	255	1294	374	841	228	453	179	398	180	456	191	135	893	137					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3951	123	84	66	93	125	31	160	65	82	49	51	155	99	40	164	25	34	138	102	101	94	64	279	33	0	103	52	44	40	70	60	93	64	184	58	150	72	91	78	88	54	55	262	76					
6	Число погашенных избирательных бюллетеней	5097	231	279	431	100	368	44	106	43	93	60	68	254	188	95	159	36	31	42	93	67	137	35	274	179	123	60	22	23	30	6	49	263	159	231	44	143	37	75	27	53	4	0	321	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3951	123	84	66	93	125	31	160	65	82	49	51	155	99	40	164	25	34	138	102	101	94	64	279	33	0	103	52	44	40	70	60	93	64	184	58	150	72	91	78	88	54	55	262	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21045	1125	1089	1063	312	1149	256	567	216	439	188	220	1129	1063	295	521	290	268	504	318	332	621	251	795	424	624	455	152	172	69	125	255	1294	374	841	228	453	179	398	180	455	191	135	893	137					
9	Число недействительных избирательных бюллетеней	240	7	7	8	2	9	0	7	1	6	1	3	13	8	2	16	5	9	4	10	10	5	0	11	6	1	6	1	1	3	1	3	20	6	3	0	8	8	10	3	8	1	0	7	0					
10	Число действительных избирательных бюллетеней	24756	1241	1166	1121	403	1265	287	720	280	515	236	268	1271	1154	333	669	310	293	638	410	423	710	315	1063	451	623	552	203	215	106	194	312	1367	432	1022	286	595	243	479	255	535	244	190	1148	213					
