Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Надтеречная																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35636	393	998	1495	1389	2021	1906	1522	1483	2740	2395	2092	1983	2406	1990	2535	1422	1693	582	796	2442	1353									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34616	382	969	1452	1349	1963	1851	1479	1441	2661	2326	2032	1926	2338	1934	2462	1381	1645	566	773	2372	1314									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33575	374	938	1415	1310	1892	1781	1443	1401	2601	2281	1958	1861	2250	1880	2358	1358	1602	539	758	2331	1244									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	172	2	3	8	7	11	8	6	7	13	12	14	12	9	9	11	6	7	4	5	12	6									
6	Число погашенных избирательных бюллетеней	869	6	28	29	32	60	62	30	33	47	33	60	53	79	45	93	17	36	23	10	29	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	172	2	3	8	7	11	8	6	7	13	12	14	12	9	9	11	6	7	4	5	12	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33575	374	938	1415	1310	1892	1781	1443	1401	2601	2281	1958	1861	2250	1880	2358	1358	1602	539	758	2331	1244									
9	Число недействительных избирательных бюллетеней	22	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1									
10	Число действительных избирательных бюллетеней	33725	375	940	1422	1316	1902	1788	1448	1407	2613	2292	1971	1872	2257	1888	2368	1363	1608	542	762	2342	1249									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	3	5	7	5	8	7	7	7	8	8	8	8	8	8	8	8	7	3	4	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	0	4	4	3	3	1	2	2	5	2	2	0	0	2	0	2	0	0	0	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	0	1	0	0	0	2	0	3	0	0	1	0	0	0	0	1	3	0	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	104	3	1	3	2	5	6	5	5	3	6	6	8	8	6	8	6	7	3	4	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	2	1	3	0	0	3	4	0	0	3	1	1	0	0	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	0	3	4	6	5	3	2	3	4	6	3	4	3	4	5	3	4	2	6	8	3									
		0.24%	0.00%	0.32%	0.28%	0.46%	0.26%	0.17%	0.14%	0.21%	0.15%	0.26%	0.15%	0.21%	0.13%	0.21%	0.21%	0.22%	0.25%	0.37%	0.79%	0.34%	0.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	274	3	6	8	12	23	26	22	19	24	22	19	9	12	9	11	9	11	6	7	12	4									
		0.81%	0.80%	0.64%	0.56%	0.91%	1.21%	1.45%	1.52%	1.35%	0.92%	0.96%	0.96%	0.48%	0.53%	0.48%	0.46%	0.66%	0.68%	1.10%	0.92%	0.51%	0.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1									
		0.06%	0.27%	0.11%	0.07%	0.08%	0.05%	0.06%	0.07%	0.07%	0.04%	0.04%	0.05%	0.00%	0.09%	0.05%	0.04%	0.07%	0.06%	0.18%	0.13%	0.04%	0.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32005	351	896	1356	1252	1814	1709	1379	1346	2488	2179	1878	1776	2131	1780	2234	1284	1512	504	713	2212	1211									
		94.84%	93.35%	95.22%	95.29%	95.06%	95.32%	95.53%	95.17%	95.60%	95.18%	95.03%	95.23%	94.82%	94.33%	94.23%	94.30%	94.13%	93.97%	92.82%	93.45%	94.41%	96.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	310	4	7	9	13	17	14	9	10	21	17	16	13	26	17	37	20	24	6	9	16	5									
		0.92%	1.06%	0.74%	0.63%	0.99%	0.89%	0.78%	0.62%	0.71%	0.80%	0.74%	0.81%	0.69%	1.15%	0.90%	1.56%	1.47%	1.49%	1.10%	1.18%	0.68%	0.40%									
