Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    район Текстильщики																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №3710	УИК №3711	УИК №3712									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59029	2050	2438	2333	2296	2451	2526	2469	2503	2523	2011	2574	2609	1823	1695	2520	1755	1572	1456	2361	1612	2029	2444	1834	2534	2319	1165	732	1741	65	196	393									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40860	1400	1700	1600	1600	1700	1700	1700	1700	1700	1300	1800	1800	1200	1100	1700	1200	1100	1000	1600	1100	1400	1700	1200	1700	1600	700	490	1200	70	250	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19738	587	780	724	743	812	859	725	748	737	627	804	854	550	574	802	615	540	517	712	533	668	829	458	957	1460	431	274	557	65	196	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1064	38	46	34	27	22	20	17	31	39	34	31	35	11	28	24	20	20	18	22	29	28	26	11	32	35	10	0	12	0	0	364									
6	Число погашенных избирательных бюллетеней	20058	775	874	842	830	866	821	958	921	924	639	965	911	639	498	874	565	540	465	866	538	704	845	731	711	105	259	216	631	5	54	486									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1064	38	46	34	27	22	20	17	31	39	34	31	35	11	28	24	20	20	18	22	29	28	26	11	32	35	10	0	12	0	0	364									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19682	587	779	724	743	801	838	725	748	737	626	804	842	549	574	799	615	540	517	712	531	664	829	458	957	1460	431	274	557	65	196	0									
9	Число недействительных избирательных бюллетеней	342	11	15	17	19	17	12	7	20	11	9	13	16	7	16	13	10	14	9	12	5	15	10	7	14	16	2	4	3	0	7	11									
10	Число действительных избирательных бюллетеней	20404	614	810	741	751	806	846	735	759	765	651	822	861	553	586	810	625	546	526	722	555	677	845	462	975	1479	439	270	566	65	189	353									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	700	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	346	11	21	13	16	20	17	18	10	11	15	10	12	4	7	12	5	8	15	20	10	15	10	12	23	9	6	3	13	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	347	21	9	16	7	14	20	29	15	14	6	13	7	6	4	8	21	1	8	0	7	9	13	7	14	5	31	39	3	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	354	14	4	12	9	5	8	7	15	14	10	15	13	21	18	13	20	17	10	5	15	10	15	13	2	16	19	22	12	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	2	0	3	0	0	1	0	0	1	1	0	2	2	1	0	1	1	0	0	3	1	1	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	622	23	18	26	27	27	34	30	8	13	10	24	35	26	13	29	22	15	21	27	17	21	30	11	30	28	23	14	11	0	2	7									
		2.99%	3.68%	2.18%	3.43%	3.51%	3.28%	3.96%	4.04%	1.03%	1.68%	1.52%	2.87%	3.99%	4.64%	2.16%	3.52%	3.46%	2.68%	3.93%	3.68%	3.04%	3.03%	3.51%	2.35%	3.03%	1.87%	5.22%	5.11%	1.93%	0.00%	1.02%	1.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	407	13	17	13	14	10	16	21	8	20	12	16	17	12	11	18	10	8	10	25	9	19	14	8	23	27	9	3	7	2	3	12									
		1.96%	2.08%	2.06%	1.72%	1.82%	1.22%	1.86%	2.83%	1.03%	2.58%	1.82%	1.92%	1.94%	2.14%	1.83%	2.19%	1.57%	1.43%	1.87%	3.41%	1.61%	2.75%	1.64%	1.71%	2.33%	1.81%	2.04%	1.09%	1.23%	3.08%	1.53%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	617	17	22	26	21	32	19	13	6	26	19	30	35	20	22	22	21	25	15	13	6	20	34	9	34	59	17	4	13	2	2	13									
		2.97%	2.72%	2.67%	3.43%	2.73%	3.89%	2.21%	1.75%	0.77%	3.35%	2.88%	3.59%	3.99%	3.57%	3.65%	2.67%	3.31%	4.46%	2.80%	1.77%	1.07%	2.89%	3.98%	1.92%	3.44%	3.95%	3.85%	1.46%	2.28%	3.08%	1.02%	3.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8762	242	314	283	300	291	350	331	502	289	248	340	349	206	241	329	250	214	244	266	245	253	321	195	417	832	153	131	308	38	96	184									
		42.23%	38.72%	38.06%	37.34%	38.96%	35.36%	40.79%	44.61%	64.44%	37.24%	37.58%	40.72%	39.79%	36.79%	40.03%	39.98%	39.37%	38.21%	45.61%	36.24%	43.75%	36.56%	37.54%	41.58%	42.16%	55.65%	34.69%	47.81%	54.13%	58.46%	48.98%	50.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	365	9	17	10	10	12	15	8	4	16	6	15	19	10	15	11	10	13	12	15	11	19	18	13	18	26	15	4	7	1	2	4									
		1.76%	1.44%	2.06%	1.32%	1.30%	1.46%	1.75%	1.08%	0.51%	2.06%	0.91%	1.80%	2.17%	1.79%	2.49%	1.34%	1.57%	2.32%	2.24%	2.04%	1.96%	2.75%	2.11%	2.77%	1.82%	1.74%	3.40%	1.46%	1.23%	1.54%	1.02%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	2	1	1	0	1	0	0	0	6	0	5	5	2	0	3	3	2	1	3	0	2	6	4	1	14	0	1	1	0	1	1									
		0.32%	0.32%	0.12%	0.13%	0.00%	0.12%	0.00%	0.00%	0.00%	0.77%	0.00%	0.60%	0.57%	0.36%	0.00%	0.36%	0.47%	0.36%	0.19%	0.41%	0.00%	0.29%	0.70%	0.85%	0.10%	0.94%	0.00%	0.36%	0.18%	0.00%	0.51%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2740	112	143	126	101	124	92	102	64	114	92	103	92	83	74	119	102	62	64	100	68	98	140	82	127	87	51	34	79	11	51	43									
		13.21%	17.92%	17.33%	16.62%	13.12%	15.07%	10.72%	13.75%	8.22%	14.69%	13.94%	12.34%	10.49%	14.82%	12.29%	14.46%	16.06%	11.07%	11.96%	13.62%	12.14%	14.16%	16.37%	17.48%	12.84%	5.82%	11.56%	12.41%	13.88%	16.92%	26.02%	11.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	446	11	23	6	21	20	18	19	7	22	12	17	24	13	9	16	8	11	8	20	9	11	18	13	20	44	18	6	9	1	3	9									
		2.15%	1.76%	2.79%	0.79%	2.73%	2.43%	2.10%	2.56%	0.90%	2.84%	1.82%	2.04%	2.74%	2.32%	1.50%	1.94%	1.26%	1.96%	1.50%	2.72%	1.61%	1.59%	2.11%	2.77%	2.02%	2.94%	4.08%	2.19%	1.58%	1.54%	1.53%	2.47%									
