Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Талицкая																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986					
1	"Число избирателей, внесенных в список"	41016	1313	2135	2389	1834	2492	705	1117	175	898	974	1557	1809	2027	1590	1253	1782	130	436	375	179	496	303	276	558	204	219	160	371	196	241	508	672	373	139	163	630	199	95	342	418	835	305	198	749	167	77	1386	200	265	220	583	513	217	1240	554	518	98	58	259	841					
2	Число полученных избирательных бюллетеней	36902	1165	1905	2070	1620	2219	644	918	182	822	865	1360	1622	1836	1444	1103	1592	134	386	329	180	456	270	249	518	189	198	158	339	201	230	455	606	346	143	166	563	195	97	311	372	754	283	201	667	176	76	1232	184	232	209	536	462	202	1094	508	475	100	60	234	759					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19358	536	934	1211	869	1249	307	460	76	399	462	737	751	829	555	619	890	84	166	168	96	243	161	129	299	114	115	103	239	130	116	184	405	245	88	102	323	100	64	148	154	441	103	83	359	89	46	746	89	140	102	356	253	140	564	212	238	63	40	59	375					
5	"Число избирательных бюллетеней, выданных вне помещения"	3988	99	150	83	54	102	50	126	42	67	50	122	137	207	255	68	92	9	90	42	9	39	37	31	72	24	28	25	33	28	29	81	54	27	15	22	84	43	21	26	135	81	117	79	83	29	21	65	25	18	16	19	28	13	135	122	85	3	5	134	202					
6	Число погашенных избирательных бюллетеней	13555	530	821	776	697	868	287	332	64	356	353	500	734	800	634	416	610	41	130	119	75	174	72	89	147	51	55	30	67	43	85	190	147	74	40	42	156	52	12	137	83	232	63	39	225	58	9	421	70	74	91	161	181	49	395	174	152	34	15	41	182					
7	Число избирательных бюллетеней в переносных ящиках	3988	99	150	83	54	102	50	126	42	67	50	122	137	207	255	68	92	9	90	42	9	39	37	31	72	24	28	25	33	28	29	81	54	27	15	22	84	43	21	26	135	81	117	79	83	29	21	65	25	18	16	19	28	13	135	122	85	3	5	134	202					
8	Число бюллетеней в стационарных ящиках для голосования	19357	536	934	1211	869	1249	307	460	76	399	462	737	751	828	555	619	890	84	166	168	96	243	161	129	299	114	115	103	239	130	116	184	405	245	88	102	323	100	64	148	154	441	103	83	359	89	46	746	89	140	102	356	253	140	564	212	238	63	40	59	375					
9	Число недействительных избирательных бюллетеней	236	19	14	8	15	13	5	2	2	0	1	7	13	9	8	6	13	0	2	2	1	4	2	3	3	3	0	0	2	2	0	2	2	1	0	0	3	0	2	0	7	7	1	0	3	1	0	4	0	0	7	2	4	0	9	3	4	2	3	3	7					
10	Число действительных избирательных бюллетеней	23109	616	1070	1286	908	1338	352	584	116	466	511	852	875	1026	802	681	969	93	254	208	104	278	196	157	368	135	143	128	270	156	145	263	457	271	103	124	404	143	83	174	282	515	219	162	439	117	67	807	114	158	111	373	277	153	690	331	319	64	42	190	570					
11	Число полученных открепительных  удостоверений	793	30	40	45	35	47	14	20	4	17	18	30	33	39	31	23	35	2	7	6	3	9	6	5	11	6	4	0	7	4	5	9	13	10	3	0	11	4	2	7	8	16	9	4	13	3	2	28	4	5	5	17	9	7	24	10	9	2	1	5	17					
12	Число выданных открепительных удостоверений	387	7	9	15	12	17	14	16	3	11	10	4	8	12	11	12	10	2	4	0	3	9	3	2	11	5	2	0	5	4	5	1	13	9	3	0	2	0	0	4	2	16	9	4	3	1	0	17	4	1	2	17	9	7	8	2	9	2	1	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	171	4	12	9	18	8	3	29	1	3	5	4	8	2	2	1	3	0	0	0	0	1	2	4	2	0	1	7	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	7	3	0	0	0	3	7	7	1	1	0	1	5	1					
14	Число неиспользованных открепительных удостоверений	406	23	31	30	23	30	0	4	1	6	8	26	25	27	20	11	25	0	3	6	0	0	3	3	0	1	2	0	2	0	0	8	0	1	0	0	9	4	2	3	6	0	0	0	10	2	2	11	0	4	3	0	0	0	16	8	0	0	0	0	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	521	15	37	38	32	48	13	20	5	14	13	15	16	14	22	16	29	0	2	5	2	6	3	10	9	1	3	5	3	4	2	5	3	3	1	2	5	3	0	0	7	11	5	5	9	1	0	20	2	3	3	1	1	3	10	1	2	4	0	4	5					
		2.23%	2.36%	3.41%	2.94%	3.47%	3.55%	3.64%	3.41%	4.24%	3.00%	2.54%	1.75%	1.80%	1.35%	2.72%	2.33%	2.95%	0.00%	0.78%	2.38%	1.90%	2.13%	1.52%	6.25%	2.43%	0.72%	2.10%	3.91%	1.10%	2.53%	1.38%	1.89%	0.65%	1.10%	0.97%	1.61%	1.23%	2.10%	0.00%	0.00%	2.42%	2.11%	2.27%	3.09%	2.04%	0.85%	0.00%	2.47%	1.75%	1.90%	2.54%	0.27%	0.36%	1.96%	1.43%	0.30%	0.62%	6.06%	0.00%	2.07%	0.87%					
19	. Малышкин Олег Александрович	566	21	23	23	17	32	4	11	7	6	9	15	19	25	20	20	19	8	8	4	3	6	4	1	10	6	3	9	5	7	5	4	9	5	3	5	9	4	5	6	4	21	3	4	10	3	0	11	1	1	3	9	8	11	20	15	5	8	1	13	15					
		2.42%	3.31%	2.12%	1.78%	1.84%	2.37%	1.12%	1.88%	5.93%	1.29%	1.76%	1.75%	2.14%	2.42%	2.47%	2.91%	1.93%	8.60%	3.12%	1.90%	2.86%	2.13%	2.02%	0.62%	2.70%	4.35%	2.10%	7.03%	1.84%	4.43%	3.45%	1.51%	1.96%	1.84%	2.91%	4.03%	2.21%	2.80%	5.88%	3.45%	1.38%	4.02%	1.36%	2.47%	2.26%	2.54%	0.00%	1.36%	0.88%	0.63%	2.54%	2.40%	2.85%	7.19%	2.86%	4.49%	1.55%	12.12%	2.22%	6.74%	2.60%					
