Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Тамбовская_177																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №843	УИК №844	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57271	1271	410	475	2341	2199	388	1436	315	1207	1085	762	679	1982	1327	1722	745	1885	2931	1110	757	524	366	536	281	622	393	1457	2886	773	2011	844	1887	891	725	188	1972	2648	2685	2703	2434	2456	1450	1512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52200	1200	410	480	2100	2000	310	1300	310	1100	1000	750	650	1800	1200	1600	700	1700	2500	1000	750	530	370	500	270	600	380	1300	2600	700	1800	800	1700	800	700	190	1800	2400	2400	2400	2200	2200	1300	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25241	347	129	96	1172	965	179	395	197	360	914	484	302	600	340	531	298	529	1449	957	392	287	220	249	100	244	145	712	924	475	1531	691	1463	675	571	99	504	911	867	828	762	833	1069	445									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2082	15	43	61	99	63	16	209	4	84	42	58	42	44	175	46	0	92	37	29	52	50	47	57	11	83	17	27	46	51	34	34	47	30	52	15	15	11	7	17	12	8	93	107									
6	Число погашенных избирательных бюллетеней	24877	838	238	323	829	972	115	696	109	656	44	208	306	1156	685	1023	402	1079	1014	14	306	193	103	194	159	273	218	561	1630	174	235	75	190	95	77	76	1281	1478	1526	1555	1426	1359	138	848									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2082	15	43	61	99	63	16	209	4	84	42	58	42	44	175	46	0	92	37	29	52	50	47	57	11	83	17	27	46	51	34	34	47	30	52	15	15	11	7	17	12	8	93	107									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25238	347	129	95	1172	965	179	395	197	360	914	484	302	600	340	531	298	529	1449	957	392	287	220	249	100	244	145	712	924	475	1531	691	1463	675	571	99	504	911	867	828	762	831	1069	445									
9	Число недействительных избирательных бюллетеней	388	12	7	2	29	23	0	3	7	0	0	2	16	9	6	24	25	4	4	1	2	0	0	3	4	4	1	3	18	0	4	2	5	0	0	0	16	37	25	19	13	41	2	15									
10	Число действительных избирательных бюллетеней	26932	350	165	154	1242	1005	195	601	194	444	956	540	328	635	509	553	273	617	1482	985	442	337	267	303	107	323	161	736	952	526	1561	723	1505	705	623	114	503	885	849	826	761	798	1160	537									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	15	5	5	30	30	5	20	5	15	15	15	10	25	20	25	10	25	35	15	10	10	5	5	5	5	5	20	35	10	25	10	25	10	10	5	25	35	35	35	30	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	336	4	1	5	14	14	2	7	0	4	3	3	2	2	5	3	0	8	18	15	6	3	1	3	3	1	4	15	17	1	8	4	16	10	4	0	13	25	14	35	12	17	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	193	1	2	1	3	3	71	2	2	4	3	4	1	2	10	2	1	3	4	1	2	2	0	1	0	2	2	7	7	6	3	0	6	1	3	0	2	6	4	8	2	6	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	414	11	4	0	16	16	3	13	5	11	12	12	8	23	15	22	10	17	17	0	4	7	4	2	2	4	1	5	18	9	17	6	9	0	6	5	12	10	21	0	18	13	13	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	4	0	0	0	0	0	1	0	0	5	0	0	3	4	2	0	0	2	2	0	0	3	1	0	0	0	0	1	3	5	0	3	2	0	0	3	4	5	5	2	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2210	14	8	14	88	107	14	6	14	12	30	11	16	53	12	58	10	4	80	40	17	10	17	17	8	16	11	92	178	45	21	19	114	35	7	6	79	191	129	197	151	166	45	48									
		8.09%	3.87%	4.65%	8.97%	6.92%	10.41%	7.18%	0.99%	6.97%	2.70%	3.14%	2.03%	4.65%	8.23%	2.33%	10.05%	3.36%	0.64%	5.38%	4.06%	3.83%	2.97%	6.37%	5.56%	7.21%	4.89%	6.79%	12.45%	18.35%	8.56%	1.34%	2.62%	7.55%	4.96%	1.12%	5.26%	15.22%	20.72%	14.76%	23.31%	19.51%	19.79%	3.87%	8.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	413	9	11	3	17	20	3	21	7	3	5	4	7	16	6	20	2	2	19	2	2	0	3	0	9	11	5	13	29	2	8	3	14	0	4	0	10	27	4	21	23	17	12	19									
		1.51%	2.49%	6.40%	1.92%	1.34%	1.95%	1.54%	3.48%	3.48%	0.68%	0.52%	0.74%	2.03%	2.48%	1.17%	3.47%	0.67%	0.32%	1.28%	0.20%	0.45%	0.00%	1.12%	0.00%	8.11%	3.36%	3.09%	1.76%	2.99%	0.38%	0.51%	0.41%	0.93%	0.00%	0.64%	0.00%	1.93%	2.93%	0.46%	2.49%	2.97%	2.03%	1.03%	3.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	220	2	2	4	17	9	5	1	1	3	0	5	5	4	3	20	3	1	11	4	1	0	2	2	1	1	1	8	14	2	3	0	8	0	1	0	10	14	13	6	9	12	4	8									
		0.81%	0.55%	1.16%	2.56%	1.34%	0.88%	2.56%	0.17%	0.50%	0.68%	0.00%	0.92%	1.45%	0.62%	0.58%	3.47%	1.01%	0.16%	0.74%	0.41%	0.23%	0.00%	0.75%	0.65%	0.90%	0.31%	0.62%	1.08%	1.44%	0.38%	0.19%	0.00%	0.53%	0.00%	0.16%	0.00%	1.93%	1.52%	1.49%	0.71%	1.16%	1.43%	0.34%	1.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18023	216	91	86	556	676	101	513	109	310	854	477	194	333	340	265	189	506	1116	839	370	296	211	240	60	244	105	496	388	386	1409	613	1161	630	568	95	189	318	357	273	284	295	988	276									
		65.97%	59.67%	52.91%	55.13%	43.75%	65.76%	51.79%	84.93%	54.23%	69.82%	89.33%	88.01%	56.40%	51.71%	66.02%	45.93%	63.42%	81.48%	75.10%	85.09%	83.33%	87.83%	79.03%	78.43%	54.05%	74.62%	64.81%	67.12%	40.00%	73.38%	90.03%	84.55%	76.89%	89.36%	91.17%	83.33%	36.42%	34.49%	40.85%	32.31%	36.69%	35.16%	85.03%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	92	2	0	2	5	0	3	3	2	0	0	1	0	4	3	2	0	0	3	3	0	0	2	0	0	1	1	3	5	1	2	1	2	0	2	0	9	6	5	9	3	4	0	3									
		0.34%	0.55%	0.00%	1.28%	0.39%	0.00%	1.54%	0.50%	0.99%	0.00%	0.00%	0.18%	0.00%	0.62%	0.58%	0.35%	0.00%	0.00%	0.20%	0.30%	0.00%	0.00%	0.75%	0.00%	0.00%	0.31%	0.62%	0.41%	0.52%	0.19%	0.13%	0.14%	0.13%	0.00%	0.32%	0.00%	1.73%	0.65%	0.57%	1.07%	0.39%	0.48%	0.00%	0.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	1	0	0	0	2	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	1	0	0	1	2	0	1	1	2									
		0.10%	0.28%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.29%	0.16%	0.19%	0.17%	0.34%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.55%	0.20%	0.00%	0.00%	0.88%	0.00%	0.00%	0.11%	0.24%	0.00%	0.12%	0.09%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1986	35	11	13	91	89	42	33	30	25	31	13	35	67	54	86	28	59	74	44	20	6	10	17	20	22	17	41	115	28	50	22	73	15	13	3	57	94	120	97	76	89	60	61									
		7.27%	9.67%	6.40%	8.33%	7.16%	8.66%	21.54%	5.46%	14.93%	5.63%	3.24%	2.40%	10.17%	10.40%	10.49%	14.90%	9.40%	9.50%	4.98%	4.46%	4.50%	1.78%	3.75%	5.56%	18.02%	6.73%	10.49%	5.55%	11.86%	5.32%	3.19%	3.03%	4.83%	2.13%	2.09%	2.63%	10.98%	10.20%	13.73%	11.48%	9.82%	10.61%	5.16%	11.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	86	0	0	1	6	3	1	0	0	2	4	0	0	1	1	2	2	2	3	1	2	0	0	0	0	0	0	3	8	1	1	1	3	0	1	0	2	6	6	11	5	4	0	3									
		0.31%	0.00%	0.00%	0.64%	0.47%	0.29%	0.51%	0.00%	0.00%	0.45%	0.42%	0.00%	0.00%	0.16%	0.19%	0.35%	0.67%	0.32%	0.20%	0.10%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.82%	0.19%	0.06%	0.14%	0.20%	0.00%	0.16%	0.00%	0.39%	0.65%	0.69%	1.30%	0.65%	0.48%	0.00%	0.54%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	117	4	3	0	8	4	2	2	1	2	0	0	1	1	1	3	3	2	7	6	2	0	0	0	0	1	1	3	1	4	3	2	5	0	0	0	6	9	8	10	2	4	3	3									
		0.43%	1.10%	1.74%	0.00%	0.63%	0.39%	1.03%	0.33%	0.50%	0.45%	0.00%	0.00%	0.29%	0.16%	0.19%	0.52%	1.01%	0.32%	0.47%	0.61%	0.45%	0.00%	0.00%	0.00%	0.00%	0.31%	0.62%	0.41%	0.10%	0.76%	0.19%	0.28%	0.33%	0.00%	0.00%	0.00%	1.16%	0.98%	0.92%	1.18%	0.26%	0.48%	0.26%	0.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0	2	2	0	0	1	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.29%	0.00%	0.19%	0.00%	0.67%	0.16%	0.13%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.19%	0.00%	0.00%	0.07%	0.00%	0.32%	0.88%	0.00%	0.22%	0.23%	0.00%	0.00%	0.12%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	170	2	2	0	5	4	4	2	0	3	0	1	2	6	2	4	0	2	5	5	1	2	1	0	0	1	0	5	9	5	3	3	10	0	3	0	6	12	12	15	14	13	2	4									
		0.62%	0.55%	1.16%	0.00%	0.39%	0.39%	2.05%	0.33%	0.00%	0.68%	0.00%	0.18%	0.58%	0.93%	0.39%	0.69%	0.00%	0.32%	0.34%	0.51%	0.23%	0.59%	0.37%	0.00%	0.00%	0.31%	0.00%	0.68%	0.93%	0.95%	0.19%	0.41%	0.66%	0.00%	0.48%	0.00%	1.16%	1.30%	1.37%	1.78%	1.81%	1.55%	0.17%	0.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2796	55	33	26	414	74	17	13	26	75	13	25	58	113	69	70	19	20	149	27	23	16	14	22	6	25	19	57	169	40	47	39	98	20	18	7	81	132	139	140	128	134	33	93									
		10.23%	15.19%	19.19%	16.67%	32.57%	7.20%	8.72%	2.15%	12.94%	16.89%	1.36%	4.61%	16.86%	17.55%	13.40%	12.13%	6.38%	3.22%	10.03%	2.74%	5.18%	4.75%	5.24%	7.19%	5.41%	7.65%	11.73%	7.71%	17.42%	7.60%	3.00%	5.38%	6.49%	2.84%	2.89%	6.14%	15.61%	14.32%	15.90%	16.57%	16.54%	15.97%	2.84%	16.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	0	1	0	1	0	0	3	0	1	11	0	0	1	1	2	2	1	4	1	0	0	1	1	0	0	0	1	2	2	1	1	3	0	0	0	1	2	2	0	0	9	1	0									
		0.20%	0.00%	0.58%	0.00%	0.08%	0.00%	0.00%	0.50%	0.00%	0.23%	1.15%	0.00%	0.00%	0.16%	0.19%	0.35%	0.67%	0.16%	0.27%	0.10%	0.00%	0.00%	0.37%	0.33%	0.00%	0.00%	0.00%	0.14%	0.21%	0.38%	0.06%	0.14%	0.20%	0.00%	0.00%	0.00%	0.19%	0.22%	0.23%	0.00%	0.00%	1.07%	0.09%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	716	10	3	5	34	17	3	4	3	8	7	3	8	35	15	20	12	17	9	10	4	7	6	4	3	1	1	14	33	9	12	15	10	5	4	1	53	72	51	45	66	49	11	17									
		2.62%	2.76%	1.74%	3.21%	2.68%	1.65%	1.54%	0.66%	1.49%	1.80%	0.73%	0.55%	2.33%	5.43%	2.91%	3.47%	4.03%	2.74%	0.61%	1.01%	0.90%	2.08%	2.25%	1.31%	2.70%	0.31%	0.62%	1.89%	3.40%	1.71%	0.77%	2.07%	0.66%	0.71%	0.64%	0.88%	10.21%	7.81%	5.84%	5.33%	8.53%	5.84%	0.95%	3.08%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
