Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Буинская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18624	718	475	571	218	530	333	168	211	154	293	114	169	621	166	73	172	141	285	174	434	74	99	657	136	291	229	308	214	539	668	608	893	109	551	367	123	153	226	628	413	473	1135	287	162	107	394	463	259	492	127	101	358	185	312	307	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19000	731	478	589	230	541	336	170	212	153	296	116	171	644	174	75	172	144	288	178	439	76	101	678	140	294	233	312	219	553	678	622	912	112	561	375	128	159	235	640	420	477	1146	292	164	109	408	474	263	500	127	104	368	192	315	315	161									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17799	669	441	557	214	468	310	160	190	143	282	108	168	484	166	73	172	139	277	166	428	72	98	542	136	266	225	297	209	516	642	584	876	105	535	362	119	147	222	616	398	473	1071	283	162	107	388	463	259	486	125	101	358	184	305	302	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	538	31	32	0	0	47	20	8	20	10	8	4	0	115	0	0	0	0	8	6	4	1	1	35	0	18	0	8	5	17	16	22	8	4	11	5	4	5	0	9	5	0	22	4	0	0	6	0	0	4	0	0	0	0	5	5	5									
6	Число погашенных избирательных бюллетеней	663	31	5	32	16	26	6	2	2	0	6	4	3	45	8	2	0	5	3	6	7	3	2	101	4	10	8	7	5	20	20	16	28	3	15	8	5	7	13	15	17	4	53	5	2	2	14	11	4	10	2	3	10	8	5	8	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	538	31	32	0	0	47	20	8	20	10	8	4	0	115	0	0	0	0	8	6	4	1	1	35	0	18	0	8	5	17	16	22	8	4	11	5	4	5	0	9	5	0	22	4	0	0	6	0	0	4	0	0	0	0	5	5	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17798	669	441	557	214	468	310	160	190	143	282	108	168	484	166	73	172	139	277	166	428	72	98	542	136	266	225	297	209	516	642	584	876	105	535	362	119	147	222	616	398	473	1071	283	162	107	388	463	259	486	125	101	358	184	305	301	150									
9	Число недействительных избирательных бюллетеней	25	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	18311	699	473	557	214	515	330	167	210	153	290	112	168	592	166	73	172	139	285	172	432	73	99	572	136	279	225	305	214	533	658	606	884	109	546	367	123	152	221	625	398	473	1093	287	162	107	394	463	259	490	125	101	358	184	310	306	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	378	14	9	11	5	10	6	3	3	2	3	1	2	27	3	1	3	2	5	3	3	1	1	14	2	5	4	5	3	10	13	28	16	1	10	14	2	3	7	12	7	8	22	5	2	1	17	8	4	11	2	2	6	3	5	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	248	9	9	11	5	3	2	1	0	2	1	1	1	27	2	1	0	1	1	1	3	0	1	14	2	0	0	0	2	10	7	28	9	1	6	6	2	3	7	2	4	3	6	5	1	0	11	7	2	9	0	2	6	0	3	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	1	8	1	0	1	3	0	1	5	3	2	3	0	0	1	2	1	2	0	0	0	0	2	0	1	0	0	0	1	3	1	1	0	0	0	0	0	0	1	0	2	5	1	0	0	0	2	2	2	0	1	1	0	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	130	5	0	0	0	7	4	2	3	0	2	0	1	0	1	0	3	1	4	2	0	1	0	0	0	5	4	5	1	0	6	0	7	0	4	8	0	0	0	10	3	5	16	0	1	1	6	1	2	2	2	0	0	3	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	3	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	4	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.11%	0.29%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.58%	0.00%	0.00%	0.00%	0.69%	0.00%	0.70%	0.00%	0.66%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	54	4	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	14	0	5	2	0	5	0	0	0	0	0	1	2	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0									
		0.29%	0.57%	0.21%	0.00%	0.00%	0.00%	0.00%	1.79%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.35%	0.58%	0.00%	1.37%	0.00%	2.43%	0.00%	1.76%	0.89%	0.00%	2.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.54%	0.00%	0.00%	0.45%	0.16%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.29%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	20	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0									
		0.11%	0.29%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.23%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.20%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
