Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Санчурская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8112	1162	1276	592	747	723	209	295	522	117	176	157	709	253	271	177	527	199									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8290	1185	1265	600	765	760	210	305	540	120	185	165	725	260	270	185	545	205									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3433	519	563	296	341	268	91	138	198	36	83	74	187	146	119	79	195	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	996	97	80	35	60	117	28	17	94	24	17	14	195	30	44	32	97	15									
6	Число погашенных избирательных бюллетеней	3861	569	622	269	364	375	91	150	248	60	85	77	343	84	107	74	253	90									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	996	97	80	35	60	117	28	17	94	24	17	14	195	30	44	32	97	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3433	519	563	296	341	268	91	138	198	36	83	74	187	146	119	79	195	100									
9	Число недействительных избирательных бюллетеней	158	19	48	11	23	13	1	4	5	1	1	5	1	11	0	5	6	4									
10	Число действительных избирательных бюллетеней	4271	597	595	320	378	372	118	151	287	59	99	83	381	165	163	106	286	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	181	25	26	12	16	16	4	6	11	3	4	3	15	11	6	8	11	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	6	9	4	4	5	0	1	4	0	4	0	9	11	3	6	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	5	6	3	1	5	2	0	3	3	1	1	0	5	1	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	115	19	17	8	12	11	4	5	7	3	0	3	6	0	3	2	11	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	11	11	1	5	10	3	0	3	0	5	0	2	3	1	0	2	0									
		1.29%	1.79%	1.71%	0.30%	1.25%	2.60%	2.52%	0.00%	1.03%	0.00%	5.00%	0.00%	0.52%	1.70%	0.61%	0.00%	0.68%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	19	9	10	5	8	4	3	8	1	4	3	12	6	4	2	6	1									
		2.37%	3.08%	1.40%	3.02%	1.25%	2.08%	3.36%	1.94%	2.74%	1.67%	4.00%	3.41%	3.14%	3.41%	2.45%	1.80%	2.05%	0.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	103	12	11	8	8	17	3	6	6	3	3	1	7	5	2	3	4	4									
		2.33%	1.95%	1.71%	2.42%	1.99%	4.42%	2.52%	3.87%	2.05%	5.00%	3.00%	1.14%	1.83%	2.84%	1.23%	2.70%	1.37%	3.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2096	256	244	132	161	158	69	73	143	38	58	58	231	65	120	52	172	66									
		47.32%	41.56%	37.95%	39.88%	40.15%	41.04%	57.98%	47.10%	48.97%	63.33%	58.00%	65.91%	60.47%	36.93%	73.62%	46.85%	58.90%	57.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	4	1	2	2	2	0	1	0	1	0	0	1	2	0	0	1	1									
		0.41%	0.65%	0.16%	0.60%	0.50%	0.52%	0.00%	0.65%	0.00%	1.67%	0.00%	0.00%	0.26%	1.14%	0.00%	0.00%	0.34%	0.87%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	0	0	0	1	0	0	0	0	1	0	2	1	0	1	1	1									
		0.20%	0.16%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.52%	0.57%	0.00%	0.90%	0.34%	0.87%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	900	141	118	60	117	77	21	47	67	10	11	7	46	51	15	24	58	30									
		20.32%	22.89%	18.35%	18.13%	29.18%	20.00%	17.65%	30.32%	22.95%	16.67%	11.00%	7.95%	12.04%	28.98%	9.20%	21.62%	19.86%	26.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	2	1	0	1	0	2	0	1	0	1	0	3	1	0	0	0	0									
		0.27%	0.32%	0.16%	0.00%	0.25%	0.00%	1.68%	0.00%	0.34%	0.00%	1.00%	0.00%	0.79%	0.57%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	3	4	0	0	0	1	0	0	0	2	0	2	0	0	0	1	0									
		0.29%	0.49%	0.62%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	2.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.34%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0									
		0.09%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	9	8	1	1	2	0	0	0	0	0	0	1	2	1	1	0	1									
		0.61%	1.46%	1.24%	0.30%	0.25%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	1.14%	0.61%	0.90%	0.00%	0.87%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	599	84	116	74	50	49	8	15	47	2	2	11	52	20	11	21	34	3									
		13.52%	13.64%	18.04%	22.36%	12.47%	12.73%	6.72%	9.68%	16.10%	3.33%	2.00%	12.50%	13.61%	11.36%	6.75%	18.92%	11.64%	2.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	2	1	2	1	5	0	0	1	0	0	0	1	1	1	0	0	0									
		0.34%	0.32%	0.16%	0.60%	0.25%	1.30%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.26%	0.57%	0.61%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	313	53	71	30	26	43	7	6	11	4	11	3	21	8	8	2	5	4									
		7.07%	8.60%	11.04%	9.06%	6.48%	11.17%	5.88%	3.87%	3.77%	6.67%	11.00%	3.41%	5.50%	4.55%	4.91%	1.80%	1.71%	3.48%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
